d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784
"1","bgm_M152","Lost Princess","bgm_M152","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","01:33","00:58"
"2","bgm_M153","Connecting Happy!!","bgm_M153","角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","01:56","01:01"
"3","bgm_M61","踏上旅程","bgm_M61_juke","主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","01:48","00:00"
"4","bgm_M62","穿過森林的風","bgm_M62_juke","主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","01:35","00:00"
"5","bgm_M90","梅莎路提姆","bgm_M90_juke","戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","01:18","00:00"
"6","bgm_M32","初音的禮物大作戰","bgm_M32_juke","故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","01:02","00:00"
"7","bgm_M47","席茲","bgm_M47_juke","故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","02:34","00:00"
"8","bgm_M149","Smiley Contrast","bgm_M149","角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","01:40","00:57"
"9","bgm_M97","牛頭怪","bgm_M97_juke","戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:59","00:00"
"10","bgm_M98","小小甜心大冒險","bgm_M98_juke","故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","01:00","00:00"
"11","bgm_M102","阿爾瑪","bgm_M102_juke","故事劇情頭目戰\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","02:31","00:00"
"12","bgm_M145","小小冒險","bgm_M145","角色歌曲\n\n時間 / 01:22\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","01:22","00:45"
