5bb495b7eeeff9edac413a71ccde7186a2f3f5583cbe2436648294a1a10bedb7,bd5337118f0f6d315a08740221bb2bc608fe2f4397d6b4b5d3a6aeba6dca91a4,270f9d676509717d3933ff9f555a33163406424cd0501c4ad79fa0e14bea4f58,a3aa9f86f093362448dcf35f540c91c77104ea247a1fd134dff91fc3be7058ae,120947e50d518d63a22d015ab7826f16048f664a98e38498ce526b2d45a00110,fca498b627af2dea088b980648ce25589201ba347edd6cf2402370b78410a432,d653cfc19267e68a2140252db292724a3778138685d1fb1be4f95915799bf44e,f9aef6157fb26d614d44e66119349f228f63c4bbadbaa29031aaeb0a8e93df90,d0a658ecd8f14e4ada877b601a89739ee9dbd094fcf0a1e6d891e363ba2e8ab3,5553f31a4ca555eca445920297e4b2e0f4b70d2416342f80f7be98f96618caa5,0d3abd31719e4ed77c4f35dd0188c28a02d958540868dcc5f871172c757b98a8,792ff4cade5ec27f030abad79231558fa2e9eb6a2cc547d470ca6d697161a204,f9b6c22933d3957374204d89250ac3a7a0ec04d82eef6e98ddd9af028b10fd60,f427d1b4b51ccd6dea908c23e3fa60b7dd32ee01c72b742dd85d041084175223,98c8884caacda5a907608b0835dcd65d55eaeb795dccb872be3d85be8b9d0603,73124eee4ff1432d7f82001fd6754de0dc9b06df851f4c99de0887eebbfde32b,b67491b5eab9075b5c5620e315ef8dcbff677ef11330d14eaadd6a8a0ce4e5be,02aeef22c208f478da8c60345b7c2797b3a2d258fd8e11d353abe956318271c3,7dfda4b70365de025346a9a842be9f76361a130081e2700e6db8ce1a381d5f99,32bd32d03477eed378cde68fc75bfefcc1fea8867e9f486d47adb3fd8cdb5fef,6d6ad7cb87fa37b1335bfa30c028557013d5923a43ead4df3e6cf63cb8e62467,592631684db345d39ddd7376dafa43eafdf85bcdfe3babd87de267358ec5f885,8f5b3aa15ca51022ce282bd138800c1b008b861775abaa2a7eada52fd5c26be2,1da2b46b173413b90e494b1024482353000a23fe0ab952c3622c6caa4dee8937
"30","5","0","-120","8","2","在戰鬥中獲得勝利。","15063001","5","300010","5","【暮光流星群】出動！","0","91002","-356","1","2","2","0","31056","31009","31013","2015/12/17 15:00:00","11063"
"30","5","0","-168","8","2","在戰鬥中獲得勝利。","15063002","5","300010","5","背面世界的戰鬥訓練","0","91002","-214","1","2","2","0","31053","31043","31005","2015/12/17 15:00:00","11063"
"30","5","0","-65","8","2","在戰鬥中獲得勝利。","15063003","5","300010","5","前往背面世界的畢業旅行？","0","91002","-84","1","2","2","0","31018","31016","31050","2015/12/17 15:00:00","11063"
"150","0","0","109","8","0","在戰鬥中獲得勝利。","15063004","0","300020","0","《EX》成群的危險暗影","0","91002","-116","2","0","0","0","0","0","0","2015/12/17 15:00:00","11063"
"30","5","0","-120","8","2","在戰鬥中獲得勝利。","15063005","5","300010","5","小小反轉大冒險","0","91002","614","1","2","2","0","31004","31020","31036","2015/12/17 15:00:00","11063"
"30","5","0","51","8","2","在戰鬥中獲得勝利。","15063006","5","300010","5","目標，出征背面世界？","0","91002","655","1","2","2","0","31044","31006","31022","2015/12/17 15:00:00","11063"
"150","0","0","30","8","0","在戰鬥中獲得勝利。","15063007","0","300020","0","《EX》成群的危險暗影","0","91002","881","2","0","0","0","0","0","0","2015/12/17 15:00:00","11063"
"30","5","0","-179","8","2","在戰鬥中獲得勝利。","15064001","0","300010","5","代替招呼的背面世界火拼！","0","91002","-247","1","2","0","0","31065","31066","0","2015/12/17 15:00:00","11064"
"30","5","0","-105","8","2","在戰鬥中獲得勝利。","15064002","5","300010","5","新生意的甜～美香氣","0","91002","0","1","2","2","0","31032","31048","31034","2015/12/17 15:00:00","11064"
"150","0","0","-90","8","0","在戰鬥中獲得勝利。","15064003","0","300020","0","《EX》危險的魔物‧胡狼與眼蔓","0","91002","159","2","0","0","0","0","0","0","2015/12/17 15:00:00","11064"
"30","0","0","-79","8","2","在戰鬥中獲得勝利。","15064004","0","300010","10","用火箭拳擊退魔物！","0","91002","453","1","0","0","0","90005","0","0","2015/12/17 15:00:00","11064"
"30","5","0","58","8","2","在戰鬥中獲得勝利。","15064005","5","300010","5","在背面世界野餐？","0","91002","570","1","2","2","0","31028","31021","31023","2015/12/17 15:00:00","11064"
"150","0","0","-18","8","0","在戰鬥中獲得勝利。","15064006","0","300020","0","《EX》危險暗影與怪鳥獸","0","91002","905","2","0","0","0","0","0","0","2015/12/17 15:00:00","11064"
