db3f35990725f335f5bd7faa66134f6c3e23435355403e126262ae5543fff8f6,017ecfcc0833c850511a7c9a8d1c887cd639d505961b8804f38cedd257c2cd41,e10dfc22e3de6a81f82998e562e149b7772110c5a56015cb150b0eb18e279837,2a9feb4d8fc14c37ba102d99018503694cd6d738c37b596573f8de96094a86b0,91bbc00e9cbe5f759ecc37987bcaff8e7e049e330c31302baaea13c3a3b72f50,8ab99fa853d1462af28f13da923b11fa2469ee65f2d50f5e34d083338ddce0a8,c8551cb262b416bac36578ef45048eb99e2c3661851b4cad64b954c58488141b,4bbea1a28bf3d7ed503292c82986f970df6e1f14dde056afdbe33f47e497fe8c
"1000100","紅色又酸酸甜甜的水果。","1","ㄨㄛ","蘋果","10001","ㄧㄥ","1"
"1000101","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","2","ㄕ","禁忌的果實","10001","ㄧㄣ","1"
"1000102","吃了可以增強記憶力，提高智能的水果。","2","ㄨㄛ","智慧之果","10001","ㄓ","1"
"1000200","又強又黑還很強壯。最愛香蕉的生物。","1","ㄧㄥ","黑猩猩","10002","ㄟ","1"
"1000201","動物分類中的一種。","2","ㄟ","靈長類","10002","ㄧㄥ","1"
"1000202","形容大猩猩兇猛叫聲的擬聲語。","2","ㄡ","嗚吼嗚吼","10002","ㄨ","1"
"1000203","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","3","ㄧㄢ","擲岩猴仙","10002","ㄓ","1"
"1000300","統稱特定的銅管樂器的說法。","1","ㄚ","喇叭","10003","ㄚ","1"
"1000301","銅管樂器中的一種。","2","ㄠ","小號","10003","ㄧㄠ","1"
"1000302","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","2","ㄧ","管樂器","10003","ㄨㄢ","1"
"1000400","生長在溫暖地區，黃色且味道酸甜的水果。","1","ㄧ","鳳梨","10004","ㄥ","1"
"1000401","在某些地區就是這樣叫這種水果的。","1","ㄨㄛ","菠蘿","10004","ㄛ","1"
"1000402","「鳳梨」的台語讀音。","1","ㄞ","旺來","10004","ㄨㄤ","1"
"1000500","也有人稱其為寶石女王，鮮艷的紅色寶石。","1","ㄕ","紅寶石","10005","ㄨㄥ","1"
"1000501","用在裝飾品中，既美麗又珍貴的礦物。","1","ㄕ","寶石","10005","ㄠ","1"
"1000502","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","2","ㄕ","魔法石","10005","ㄛ","1"
"1000503","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","3","ㄣ","秋乃的胸針","10005","ㄧㄡ","1"
"1000504","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","3","ㄕ","紫藤紅輝石","10005","ㄗ","1"
"1000600","用穀物釀成的酒類。","1","ㄧㄡ","啤酒","10006","ㄧ","1"
"1000601","用單手拿著，裝飲料用的容器。","1","ㄟ","酒杯","10006","ㄧㄡ","1"
"1000602","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","2","ㄧㄡ","麥酒","10006","ㄞ","1"
"1000603","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","3","ㄨㄟ","生命之水","10006","ㄥ","1"
"1000700","用弓與箭組成的武器。","1","ㄧㄢ","弓箭","10007","ㄨㄥ","1"
"1000701","「箭」的別種說法。","1","ㄕ","箭矢","10007","ㄧㄢ","1"
"1000702","指可以飛得很遠的攻擊型武器。","2","ㄧ","遠距離武器","10007","ㄩㄢ","1"
"1000703","羅馬神話中的小愛神。","2","ㄜ","邱比特","10007","ㄧㄡ","1"
"1000704","獵殺動物的行為。","2","ㄧㄝ","打獵","10007","ㄚ","1"
"1000705","人類獵殺動物以取得資源的行為。","2","ㄧㄝ","狩獵","10007","ㄡ","1"
"1000800","在音樂上用來表示音高的記號。","1","ㄨ","音符","10008","ㄧㄣ","1"
"1000801","音樂中音符的流動。","1","ㄩ","旋律","10008","ㄩㄢ","1"
"1000802","將音階由低到高排列 3個。","2","ㄧ","ㄉㄡㄖㄨㄟㄇㄧ","10008","ㄡ","1"
"1000803","數個音符根據樂理結成的組合。","2","ㄧㄢ","和弦","10008","ㄜ","1"
"1000900","為了在畫上著色的材料。","1","ㄧㄠ","顏料","10009","ㄧㄢ","1"
"1000901","水性的顏料。","1","ㄞ","水彩","10009","ㄨㄟ","1"
"1000902","盛裝膏狀物的容器。","2","ㄨㄢ","軟管","10009","ㄨㄢ","1"
"1000903","藍色。或是憂鬱的顏色。","2","ㄜ","藍色","10009","ㄢ","1"
"1001000","以刀刃進行攻擊的武器總稱。","1","ㄧㄢ","劍","10010","ㄧㄢ","1"
