218e5bcced1dfbb944679f44c5d6c7a065d35bd0b10704651673a377a194f482,ae3249ba2d94827394bde54886ba8934e75cceab968b9d5637e3c9796a46a34c,47f6252f6078cff1e514f97098b9b0c9bb6194fe005b3aee3590c9d86ea0822e,982cb83e9d1bab476ad01e5ba88ec5f1604d16826517dfb8e68948a818ab5c55,abc08117cc15eb55630249281b9c488cff1bb13f22aca0e2f64189904dbf1672,dd4fb60a403e2430991b70ec2745665036a1c206054cf7d29579d2f9414501a5,7dbf3a232f88cdc60272bba85312867b8251773af00345e53202cf062ebf4f88
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","107601","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72004021","20004","10"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108001","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72005021","20005","12"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72007021","20007","15"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72009021","20009","17"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","108901","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72010021","20010","19"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","109001","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72011021","20011","21"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","109301","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72013021","20013","22"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","110101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72015021","20015","23"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","110501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72016021","20016","24"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","111201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","72018021","20018","25"
