49f37dd8b54a85e76bcaf667008e1c4eedf96c8fd0c73a2b5cb82c39cab9a68b,c75567e6930735766b5ffdb1f208cab75262e4f106c30a7e209eda27efefdf60,2ce3488ce545733147a9ad5d3c5e63720330f65d43e7737984a51d3b3779fee1,7e7dd7bcb2e3e0f3e5aba8cba501521c8c1de2b55b3296f442b86bc001b9514b,a399c32365e86f00e67aa4129507e89b9b18b5873d0f40d70a03578a62f05c4b,1690a8a99c0ac7ec445625d562d85fbaf5ac1f183f6459f10b97881d9fec9565,ca32b1576065d5f944916819a3b79f02cf49c703d859356e5e7b719d449d7d84,24408a0d2276861ededc96d225f0c333c949aa5f44f9f65794a5ef235f8bada8,56fff89a1ceccbbc8ba002505eeecfbfff3d7ebafe1cfcba585d1b395aa30784,318485a9f042d1dca8348b0da9041d100406125c994a7ee16b8bc0ae21131064,650e63d5e7c5eefb6fe81c99e086b817e99912cbc8fd470071bbcdc9fd340963,6ec23e48ce73e329121c9c19fd6800ce10a812839a3db3fb682c80306eb84a24
"1000","31000101","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","1","31000101","進行1場戰鬥","10","3"
"1000","31000102","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","5","31000102","進行5場戰鬥","10","3"
"1000","31000103","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","10","31000103","進行10場戰鬥","10","3"
"1000","31000104","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","15","31000104","進行15場戰鬥","10","3"
"1000","31000105","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","20","31000105","進行20場戰鬥","10","3"
"1000","31000106","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","25","31000106","進行25場戰鬥","10","3"
"1000","31000107","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","30","31000107","進行30場戰鬥","10","3"
"1000","31000108","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","35","31000108","進行35場戰鬥","10","3"
"1000","31000109","0","2023/04/24 15:59:59","2023/04/17 16:00:00","7003","0","40","31000109","進行40場戰鬥","10","3"
"1001","31001101","3001","2023/04/24 15:59:59","2023/04/17 16:00:00","7004","0","5000000","31001101","對黑之王賈巴沃克造成500萬累積傷害","10","3"
