a01917ce25b502ac92f17c79088830bec10f7c15dee6c64d2354b03aba0b8b7b,df009468a13071e5f8d928133685f2382d3756f0c891e1a2bd7024e00a5dfef8,5d2750c64c9d11e91c0a462e5a3c03cb08e27fa87136bc2b0c50daf68434cc65,f5a032539e67d0f0b8ec1182c6e5a2dbee7a8e604e666301b8653a68fd519b1b,2cb9d7ec48ce6fc64148a5a6ccc5614aae5383bb1dd93c05d63aea807430835b,c7fa73cc3bfaa5eb07b8f45fc2fb6f00cf77d67197493c6bd46fd20c334c342a,1061438447d90b7251e7910828c651744ef88f31493bfeaa3112bc5ef3e9cd62,02e10f31672c4692cbad9dad63c75550bcbf6989e0d201421388f88089fa8d7a,46c32a9ad21ddacfc1e19dde7f4675e47bd248596ce77e2a787b02ac737c9a97,d6983002178836c7c7488718fcec64015fa36ecc9a2fba54dc51c292f7fc71f1
"20","100","1","1","10000","1","0","獲得20個零件","3","1"
"25","100","2","1","10001","2","0","獲得25個零件","3","1"
"30","100","3","1","10002","2","0","獲得30個零件","3","1"
"35","100","4","1","10003","3","0","獲得35個零件","3","1"
"40","100","5","1","10004","3","0","獲得40個零件","3","1"
"45","100","6","1","10005","4","0","獲得45個零件","3","1"
"50","100","7","1","10006","4","0","獲得50個零件","3","1"
"1500","101","101","2","20000","3","0","將總戰力提升至1500以上","2","1"
"2000","101","102","2","20001","3","0","將總戰力提升至2000以上","2","1"
"2500","101","103","2","20002","3","0","將總戰力提升至2500以上","2","1"
"3000","101","104","2","20003","3","0","將總戰力提升至3000以上","2","1"
"3500","101","105","2","20004","3","0","將總戰力提升至3500以上","2","1"
"4000","101","106","2","20005","4","0","將總戰力提升至4000以上","2","1"
"4500","101","107","2","20006","4","0","將總戰力提升至4500以上","2","1"
"5000","101","108","2","20007","4","0","將總戰力提升至5000以上","2","1"
"6000","101","109","2","20008","4","0","將總戰力提升至6000以上","2","1"
"7000","101","110","2","20009","4","0","將總戰力提升至7000以上","2","1"
"8000","101","111","2","20010","5","0","將總戰力提升至8000以上","2","1"
"9000","101","112","2","20011","5","0","將總戰力提升至9000以上","2","1"
"10000","101","600","2","20012","5","0","將總戰力提升至10000以上","2","1"
"100","200","201","3","30000","2","0","累積獲得100pt戰鬥點數","4","2"
"200","200","202","3","30001","2","0","累積獲得200pt戰鬥點數","4","2"
"300","200","203","3","30002","2","0","累積獲得300pt戰鬥點數","4","2"
"400","200","204","3","30003","2","0","累積獲得400pt戰鬥點數","4","2"
"500","200","205","3","30004","2","0","累積獲得500pt戰鬥點數","4","2"
"600","200","206","3","30005","3","0","累積獲得600pt戰鬥點數","4","2"
"700","200","207","3","30006","3","0","累積獲得700pt戰鬥點數","4","2"
"800","200","208","3","30007","3","0","累積獲得800pt戰鬥點數","4","2"
"900","200","209","3","30008","3","0","累積獲得900pt戰鬥點數","4","2"
"1000","200","210","3","30009","3","0","累積獲得1000pt戰鬥點數","4","2"
"5","400","401","5","50000","7","0","從布武機那邊獲得5個零件","1","4"
"10","400","402","5","50001","7","0","從布武機那邊獲得10個零件","1","4"
"15","400","403","5","50002","7","0","從布武機那邊獲得15個零件","1","4"
"20","400","404","5","50003","7","0","從布武機那邊獲得20個零件","1","4"
"25","400","405","5","50004","7","0","從布武機那邊獲得25個零件","1","4"
"30","400","406","5","50005","7","0","從布武機那邊獲得30個零件","1","4"
"35","400","407","5","50006","7","0","從布武機那邊獲得35個零件","1","4"
"40","400","408","5","50007","7","0","從布武機那邊獲得40個零件","1","4"
"45","400","409","5","50008","7","0","從布武機那邊獲得45個零件","1","4"
"50","400","700","5","50009","6","0","從布武機那邊獲得50個零件","1","4"
"800","209","999","6","60000","7","30009","累積獲得800pt戰鬥點數（可以不限次數達成）","4","2"
"14","300","799","7","70000","6","0","通過關卡14","3","3"
"50","301","800","7","70001","8","0","通過關卡50","3","3"
