6bcaee999b558346b8d681f944fbcf4f09f455256306ac85eff52bfa87406f79,34862b02906221b640b72ff2b83b318f2e7b41c9a37e6c44108c0941590e57bc,3781d651600ba5c576ceef0fd5f0ff59ffe449590f76a4a84df01c6c2db517b7,c63131fe4a68394bcb2980d3ec6267383916907d8f8f2a05cbc625e9896f3caa,bc393e7722f8b39c4d8131909e2481dbc8f0c3df57cd7e429a8da3e14ddba154,05945a1e09a9001a7145510194b6eb49a04d7820ba652ebd57d792cd7536fea3,dcc80b096b1dcf190db82b517de0c311ac110c215250b8898a98c28844b168c1,8585ba2d424320c30d0e94cd3ba662792325f1817eeea23dbd0bb1d9ca1fe5f7
"內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","53001","未鑑定的平凡寶物","100","1","200","未鑑定的\n平凡寶物","1"
"內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","53002","未鑑定的貴重寶物","200","1","400","未鑑定的\n貴重寶物","2"
"內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","53003","未鑑定的頂級寶物","400","1","800","未鑑定的\n頂級寶物","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53004","平凡寶石","100","0","200","平凡寶石","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53005","貴重寶石","200","0","400","貴重寶石","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53006","頂級寶石","400","0","800","頂級寶石","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53007","平凡金屬塊","100","0","200","平凡金屬塊","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53008","貴重金屬塊","200","0","400","貴重金屬塊","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53009","頂級金屬塊","400","0","800","頂級金屬塊","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53010","平凡卷軸","100","0","200","平凡卷軸","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53011","貴重卷軸","200","0","400","貴重卷軸","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53012","頂級卷軸","400","0","800","頂級卷軸","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53013","平凡皇冠","100","0","200","平凡皇冠","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53014","貴重皇冠","200","0","400","貴重皇冠","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53015","頂級皇冠","400","0","800","頂級皇冠","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53016","平凡符文","100","0","200","平凡符文","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53017","貴重符文","200","0","400","貴重符文","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53018","頂級符文","400","0","800","頂級符文","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53019","平凡王冠","100","0","200","平凡王冠","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53020","貴重王冠","200","0","400","貴重王冠","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53021","頂級王冠","400","0","800","頂級王冠","3"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53022","平凡古遺物","100","0","200","平凡古遺物","1"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53023","貴重古遺物","200","0","400","貴重古遺物","2"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53024","頂級古遺物","400","0","800","頂級古遺物","3"
