563c579ba9d1b23643cfb9236b44b1da6c48cbc920421fa3033566137a221918,21783c7ca8448c6c99343906418f59e480ab3f0a9f4472b0f5c9e8b8764a66fd,b4fa550b0b6045114e92eee76b6a41c6b3ebabb496c81810cf027744de83bc0b,75f0b59ef7bb7ffe9330e09fc7b838e102c7f15fa0e7beda455a93bbe58ebe5e,c2d26c35f853eceefcfd860643921ffb8a43399f99b7dad186029a2160e4efa6,06a64050f13cfd9d9c3da69c90a79819e36b280b9cabdc57bed6c152ab489631,8fda9b6190c1cac7c94a9552a5a88beac7a964f83792fbef5ee66047469c54b9,99f47af46457139d130fdd3e0b65dca3d1eb39b3ff808168c534e1e12727b0f2,1d65522501f7055f4545a7e774bcea9411ad31b8ae03575fd9c3b17489e26f6f,c625e7b29ee60ec54fca93d78f5139821a44c72d1d4af52ac1a4fc0c32a7d9f4,448a48f993a80aa1a2b52712da9d04e59dbc9d9f99989989cd2ce19a09933bc0
"167","100","1001","1.65","1","1","1","drama_idle","1","129811","-224"
"-49","100","1002","1.65","1","0","1","drama_idle","1","129911","-224"
"","1","1003","0.2","1","","129811","","3","drama_idle",""
"drama_talk_arm_crossed_loop","0","1004","0.2","1","0","129911","","3","drama_talk_arm_crossed_in","1"
"0","0","1005","","1","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_1_000",""
"1","5","1006","0","1","0","129911","0","11","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","0"
"","","1007","","1","","0","","91","",""
"","1","1008","0.2","1","","129911","","3","drama_idle_arm_crossed",""
"drama_talk_doya_loop_smile","0","1009","0.2","1","0","129811","","3","drama_talk_doya_in_smile","1"
"0","0","1010","","1","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_1_001",""
"1","5","1011","0","1","0","129811","0.3","11","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","0"
"","","1012","","1","","0","","91","",""
"","1","1013","0.2","1","","129811","","3","drama_idle_arm_crossed",""
"drama_talk_smile_loop","0","1014","0.2","1","0","129911","","3","drama_talk_smile_in","1"
"0","0","1015","","1","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_1_002",""
"1","4","1016","0","1","0","129911","0.5","11","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","0"
"","","1017","","1","","0","","91","",""
"","1","1018","0.2","1","","129911","","3","drama_idle",""
"","1","1019","0.2","1","","129811","","3","drama_idle",""
"167","100","2001","1.65","2","1","1","drama_idle","1","129811","-224"
"-49","100","2002","1.65","2","0","1","drama_idle","1","129911","-224"
"","1","2003","0.2","2","","129911","","3","drama_idle",""
"drama_talk_admire_loop","0","2004","0.2","2","","129811","","3","drama_talk_admire_in","1"
"0","0","2005","","2","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_2_000",""
"1","6","2006","0","2","0","129811","0.5","11","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","0"
"","","2007","","2","","0","","91","",""
"","1","2008","0.2","2","","129811","","3","drama_idle_admire",""
"drama_talk_arm_crossed_loop","0","2009","0.2","2","","129911","","3","drama_talk_arm_crossed_in","1"
"0","0","2010","","2","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_2_001",""
"1","4","2011","0","2","0","129911","0.3","11","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","0"
"","","2012","","2","","0","","91","",""
"","1","2013","0.2","2","","129911","","3","drama_idle_arm_crossed",""
"drama_talk_guts2_loop","0","2014","0.2","2","","129811","","3","drama_talk_guts2_in","1"
"0","0","2015","","2","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_2_002",""
"1","5","2016","0","2","0","129811","0.3","11","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","0"
"","","2017","","2","","0","","91","",""
"","1","2018","0.2","2","","129811","","3","drama_idle",""
"","1","2019","0.2","2","","129911","","3","drama_idle",""
"167","100","3001","1.65","3","1","1","drama_idle","1","129811","-224"
"-49","100","3002","1.65","3","0","1","drama_idle","1","129911","-224"
"","1","3003","0.2","3","","129811","","3","drama_idle",""
"","1","3004","0.2","3","","129911","","3","drama_talk_thinking",""
"0","0","3005","","3","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_3_000",""
"1","5","3006","0","3","0","129911","0.8","11","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","0"
"","","3007","","3","","0","","91","",""
"","1","3008","0.2","3","","129911","","3","drama_idle_thinking",""
"drama_talk_sad_loop","0","3009","0.2","3","","129811","","3","drama_talk_sad_in","1"
"0","0","3010","","3","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_3_001",""
"1","6","3011","0","3","0","129811","0.5","11","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","0"
"","","3012","","3","","0","","91","",""
"","1","3013","0.2","3","","129811","","3","drama_idle_sad",""
"drama_talk_arm_crossed_loop","0","3014","0.2","3","","129911","","3","drama_talk_arm_crossed_in","1"
"0","0","3015","","3","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_3_002",""
"1","4","3016","0","3","0","129911","0.3","11","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","0"
"","","3017","","3","","0","","91","",""
"","1","3018","0.2","3","","129811","","3","drama_idle",""
"","1","3019","0.2","3","","129911","","3","drama_idle",""
"167","100","4001","1.65","4","1","1","drama_idle","1","129811","-224"
"-49","100","4002","1.65","4","0","1","drama_idle","1","129911","-224"
"","1","4003","0.2","4","","129911","","3","drama_idle",""
"drama_talk_doya_loop_shy","0","4004","0.2","4","","129811","","3","drama_talk_doya_in_shy","1"
"0","0","4005","","4","","vo_minigame_1013","","21","vo_minigame_1013_top_talk_4_000",""
