bc9695eee3bf8ee84be0f2f283c1d9f56d4533e8b84d7155d9f6c485e3ca4689,31a250c4469b22c0bbcdac22ae15f25321960bd570914b18a06c21137401d8cc,8ce4086876cb69452aca8dd87264245d4d9ac11da2fdb59c3538a81788fc3ddd,9fa89701884b1cc955b219a13a8da8c8efaa4469300635f060646cf05adc0e73,021150c76ab65fa331d3ff403a3e38780dc162a43a36f5998cd96668b6f509fd,367b5b09e8638e64d8726947b961bc0f6ac2078b13bcc0225503f6e96b687bda
"550101103","550101102","550101105","550101101","550101104","74001101"
"550101203","550101202","550101205","550101201","550101204","74001102"
"550101303","550101302","550101305","550101301","550101304","74001103"
"550101403","550101402","550101405","550101401","550101404","74001104"
"550101503","550101502","550101505","550101501","550101504","74001105"
"550101108","550101107","550101110","550101106","550101109","74001201"
"550101208","550101207","550101210","550101206","550101209","74001202"
"550101308","550101307","550101310","550101306","550101309","74001203"
"550101408","550101407","550101410","550101406","550101409","74001204"
"550101508","550101507","550101510","550101506","550101509","74001205"
"550101111","550101113","0","550101112","0","74001301"
"550101211","550101213","0","550101212","0","74001302"
"550101311","550101313","0","550101312","0","74001303"
"550101411","550101413","0","550101412","0","74001304"
"550101511","550101513","0","550101512","0","74001305"
"550101116","550101114","0","550101115","0","74001401"
"550101216","550101214","0","550101215","0","74001402"
"550101316","550101314","0","550101315","0","74001403"
"550101416","550101414","0","550101415","0","74001404"
"550101516","550101514","0","550101515","0","74001405"
"0","0","0","550101117","0","74001501"
"0","0","0","550101217","0","74001502"
"0","0","0","550101317","0","74001503"
"0","0","0","550101417","0","74001504"
"0","0","0","550101517","0","74001505"
"0","0","0","550101999","0","74001999"
"550102103","550102102","550102105","550102101","550102104","74002101"
"550102203","550102202","550102205","550102201","550102204","74002102"
"550102303","550102302","550102305","550102301","550102304","74002103"
"550102403","550102402","550102405","550102401","550102404","74002104"
"550102503","550102502","550102505","550102501","550102504","74002105"
"550102108","550102107","550102110","550102106","550102109","74002201"
"550102208","550102207","550102210","550102206","550102209","74002202"
"550102308","550102307","550102310","550102306","550102309","74002203"
"550102408","550102407","550102410","550102406","550102409","74002204"
"550102508","550102507","550102510","550102506","550102509","74002205"
"550102111","550102113","0","550102112","0","74002301"
"550102211","550102213","0","550102212","0","74002302"
"550102311","550102313","0","550102312","0","74002303"
"550102411","550102413","0","550102412","0","74002304"
"550102511","550102513","0","550102512","0","74002305"
"550102116","550102114","0","550102115","0","74002401"
"550102216","550102214","0","550102215","0","74002402"
"550102316","550102314","0","550102315","0","74002403"
"550102416","550102414","0","550102415","0","74002404"
"550102516","550102514","0","550102515","0","74002405"
"0","0","0","550102117","0","74002501"
"0","0","0","550102217","0","74002502"
"0","0","0","550102317","0","74002503"
"0","0","0","550102417","0","74002504"
"0","0","0","550102517","0","74002505"
"550103104","550103103","0","550103101","550103102","74003101"
"550103204","550103203","0","550103201","550103202","74003102"
"550103304","550103303","550103305","550103301","550103302","74003103"
"550103404","550103403","550103405","550103401","550103402","74003104"
"550103504","550103503","550103505","550103501","550103502","74003105"
"550103107","550103106","0","550103105","550103108","74003201"
"550103207","550103206","550103209","550103205","550103208","74003202"
"550103308","550103307","550103310","550103306","550103309","74003203"
"550103408","550103407","550103410","550103406","550103409","74003204"
"550103508","550103507","550103510","550103506","550103509","74003205"
"550103111","550103110","0","550103109","550103112","74003301"
"550103212","550103211","550103214","550103210","550103213","74003302"
"550103313","550103312","550103315","550103311","550103314","74003303"
"550103413","550103412","550103415","550103411","550103414","74003304"
