f3a2210bdb811b7391704a4b2cdad3f931777b748711ae740d553673726f19a8,408fd463b41e01eed99a262e0a3c31d398049bce5c85983eecd9262317c5ada4,22028a79141ae56e9cc8513c6a54c73f541f8efd37691de8854ada6143f42e50,13790c9cfa358a84ee947ebbed5e11f05a835938874036b8b591f74f100bd591,dac7c4869da35dcd0c002537496059edc9199a958a08cf46b9dfac8e71e4f2b1,5fab2da512b43e40ca3b7d91b86321b4db899c83c6c1923121ed112677bb8c21,70aee5852c7ab119e63fbc8c403686bc80b8cdd3954b6b1ab4d8928c54951c44,fc0092cbb666983de91475f6da9ad847ba16427481df35f149bdf897b02cde6c,24e3308a95c028063e1b63cd4f8fa4a3d47901f33e4e263b548e10fcd7577b35,df129dfbe525e33b4a77874b5f9a9e2d7648eb6be022a4b12a29158593215722,6c97ae7968c09583d72ac5b8b81d827d5b6e7aaf7452b71cb9cb2b666925f11e,56ea4ba7cfe3521498a245817ddddfad0a76239562779daa7bd0d615611f805b,31b498e152e20f7cb611124c55e0f2f07fc7be643aa2b8bd70de74f5e270ac99,8d9b00be92b19966d563fb04374ea789a7890e7592b4a7c04e9d9ff9ba46e4da,fac9bee81a93d5608f38f2894767a7e53988e62bf9598d8d95b687ae2e682090,5f9d88ad8a81bbe2ff5452640e782f095fc7f0a43f36c0953e94dd8baac124b4,a7721406296f8c4b1c8e51514e0ca006fa557e8809190d150ddddf5827f27318,86a0c04a3519b9fc0f80870bd67ead0d940d0bfb332dd9e00f7c8a6729bcfacf,cc982a1dd35f727548b540b7cc0858c330bf9988adef5c5d3f1017e443094bbd,8bfe8fc0d3a40c721f6c51d5654f499fdd092bae11619affc9c1b973cea605be,7f73d7db2fad83629e3d7475751d78085ef1cb41ef55b74632b57334ed9b08e5,7eae52c935b44acc0224f93e9645077af2e8fbdffb86f78732c5f4289879beaa
"210","-30","1","1001","0","1","10","101001","0.7","101001","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10010101","1","1"
"200","0","1","1001","0","1","10","101001","1","101001","-30","2","0.75","-260","1.2","-120","0","bgm_M64","0","10010102","2","1"
"200","-10","1","1001","-50","1","0","101001","1","101001","-30","3","0.75","-40","1.1","0","100","bgm_M64","0","10010103","3","1"
"200","0","1","1001","0","1","0","101001","1","101001","-30","4","0.7","240","1","-50","0","bgm_M64","0","10010104","4","1"
"250","0","1","1001","0","1","0","101011","1","101011","-30","5","1.2","480","1.3","-40","200","bgm_M55","0","10010105","5","1"
"210","-30","1","1002","0","1","10","101001","0.7","101021","-30","1","0.6","-480","0.8","-155","250","bgm_M64","0","10020101","1","1"
"200","0","1","1002","0","1","10","101001","1","101021","-30","2","0.75","-265","1.2","-120","250","bgm_M64","0","10020102","2","1"
"200","-10","1","1002","-30","1","0","101001","1","101021","-30","3","0.9","-30","1.4","30","100","bgm_M64","-15","10020103","3","1"
"200","0","1","1002","-30","1","0","101001","1.25","101021","-30","4","1","220","1.5","-90","100","bgm_M64","0","10020104","4","1"
"250","0","1","1002","0","1","0","101011","1.6","101031","-30","5","1.4","440","1.8","0","200","bgm_M55","0","10020105","5","1"
"210","-30","1","1003","0","1","10","101041","0.7","101041","-30","1","0.6","-470","0.8","-155","250","bgm_M64","0","10030101","1","1"
"200","0","1","1003","0","1","10","101041","1","101041","-30","2","0.75","-210","1.2","-95","250","bgm_M64","0","10030102","2","1"
"200","-10","1","1003","-50","1","0","101041","1","101041","-30","3","0.75","50","1.1","-120","100","bgm_M64","0","10030103","3","1"
"200","0","1","1003","-30","1","0","101041","1.2","101041","-30","4","0.8","195","1.5","35","100","bgm_M64","0","10030104","4","1"
"210","0","1","1003","-50","1","0","101042","1.35","101042","-30","5","1.1","450","1.8","-55","150","bgm_M55","0","10030105","5","1"
"210","-30","1","1004","0","1","10","101161","0.7","101161","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10040101","1","1"
"200","0","1","1004","0","1","10","101161","1","101161","-30","2","0.75","-260","1.2","-120","0","bgm_M64","0","10040102","2","1"
"200","-10","1","1004","-30","1","0","101161","1","101161","-30","3","0.9","-20","1.4","55","100","bgm_M64","-15","10040103","3","1"
"200","0","1","1004","-30","1","0","101161","1","101161","-30","4","0.9","180","1.3","-30","0","bgm_M64","0","10040104","4","1"
"250","-30","1","1004","-50","1","0","101162","0.9","101162","-30","5","0.9","470","1.2","-60","200","bgm_M55","-40","10040105","5","1"
"210","-30","1","1005","0","1","10","101161","0.7","101171","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10050101","1","1"
"200","0","1","1005","0","1","10","101161","1","101171","-30","2","0.75","-260","1.2","-120","0","bgm_M64","0","10050102","2","1"
"200","-10","1","1005","-30","1","0","101161","1","101171","-30","3","0.9","-20","1.4","45","100","bgm_M64","-15","10050103","3","1"
"200","0","1","1005","0","1","0","101161","1","101171","-30","4","0.7","190","1","-70","0","bgm_M64","0","10050104","4","1"
"240","0","1","1005","-30","1","0","101162","1","101172","-30","5","1","445","1.3","-25","200","bgm_M55","-40","10050105","5","1"
"210","-30","1","1006","0","1","10","101161","0.7","101191","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10060101","1","1"
"200","0","1","1006","0","1","10","101161","1","101191","-30","2","0.75","-260","1.2","-100","0","bgm_M64","0","10060102","2","1"
"200","-10","1","1006","0","1","0","101161","1","101191","-30","3","0.8","-10","1.1","65","100","bgm_M64","-15","10060103","3","1"
"200","0","1","1006","0","1","0","101161","1","101191","-30","4","0.8","190","1.2","-110","0","bgm_M64","0","10060104","4","1"
"280","-45","1","1006","-50","1","-10","101162","1","101192","-30","5","0.9","485","1.15","-70","270","bgm_M55","0","10060105","5","1"
"210","-30","1","1007","0","1","10","101161","0.7","101201","-30","1","0.6","-480","0.8","-120","250","bgm_M64","0","10070101","1","1"
"240","0","1","1007","0","1","10","101161","1","101201","-30","2","0.9","-260","1.2","-120","120","bgm_M64","0","10070102","2","1"
