b92de49c2b6b0f2f0bc10dd9b8cc9e96cbdd695ee658c6daad0ea655c6ee4e19,186b726af10003cb19d3f5849ea52e1e8a583b0d6c2835d03dbd58302910391c,44da535a5f5ac574081d4ceb74551ad6ea238b8bc12dffe60505c624c732d8c8,7e5d8bd6451ea27e4ed219d6b6ad0c4fac6685f7d7a507356ff03852be3f4aac,f04b62c96a485f1ae9dc303b0183a807d265a74ded8edd6b33b6027609044b00,9c1c60fdddbafd7c3c23fee66acfa808c1463fade0472d592a8a23605cf0fab9
"5201083","10201001","2","5","10201","201"
"5213062","10213001","2","3","10213","1021301"
"1021301","10213002","3","2","10213","5213063"
"5213064","10213003","2","3","10213","1021302"
"1021302","10213004","3","2","10213","5213065"
"5213066","10213005","2","3","10213","1021303"
"1021303","10213006","3","2","10213","5213067"
"5213068","10213007","2","3","10213","1021304"
"1021304","10213008","3","2","10213","5213069"
"5213070","10213009","2","3","10213","1021305"
"1021305","10213010","3","2","10213","5213071"
"5213072","10213011","2","3","10213","1021306"
"1021306","10213012","3","2","10213","5213073"
"5213074","10213013","2","3","10213","1021307"
"1021307","10213014","3","2","10213","5213075"
"5213076","10213015","2","3","10213","1021311"
"1021311","10213016","3","2","10213","5213077"
"5213078","10213017","2","3","10213","1021312"
"1021312","10213018","3","2","10213","5213079"
"5213080","10213019","2","3","10213","1021313"
"1021313","10213020","3","2","10213","5213081"
"5213082","10213021","2","3","10213","1021314"
"1021314","10213022","3","2","10213","5213083"
"5213084","10213023","2","3","10213","1021315"
"1021315","10213024","3","2","10213","5213085"
"5213086","10213025","2","3","10213","1021316"
"1021316","10213026","3","2","10213","5213087"
"5213088","10213027","2","3","10213","1021317"
"1021317","10213028","3","2","10213","5213089"
"5213090","10213029","2","3","10213","1021321"
"1021321","10213030","3","2","10213","5213091"
"5213092","10213031","2","3","10213","1021322"
"1021322","10213032","3","2","10213","5213093"
"5213094","10213033","2","3","10213","1021323"
"1021323","10213034","3","2","10213","5213095"
"5213096","10213035","2","3","10213","1021324"
"1021324","10213036","3","2","10213","5213097"
"5213098","10213037","2","3","10213","1021325"
"1021325","10213038","3","2","10213","5213099"
"5213100","10213039","2","3","10213","1021326"
"1021326","10213040","3","2","10213","5213101"
"5213102","10213041","2","3","10213","1021327"
"1021327","10213042","3","2","10213","5213103"
