6b43a568d1d42d425cbdcf3e8409ed6b7a0850a1c9b2907a8dad8805034f42fd,a95400a5b19df8fbdc24c4f42cdd52854c169a0d5270cae0a8bd87ee486e618e,a6ab349ea5356e0dadd08cbfcc3b2bc15a5708daa91fa117d58e9af7126a2ac4,42d23c1eeaeaed17b15adabe020b370eb2a175fe36544faf82bac5579257cb83,918c448e93cb00a5a3df7553cdd5472b91758d93e0d23e4795fb43a2c5917ea8,e84011e41eb31e90ea39b6fd9df328e9921173eec5ddac5be0e550ba3cad8eee,25bd9490bc78d739a4569cfe14e0f37d25ac9e54b58b74ef68a9e2700f7f50d0
"10201101","10201","1","5201401","0","2025/06/01 16:00:00","10201101"
"10201151","10201","1","5201402","0","2025/06/07 16:00:00","10201102"
"23","10201","2","5201411","5201010","2025/06/01 16:00:00","10201201"
"0","10201","3","5201601","0","2025/06/07 16:00:00","10201401"
"10202101","10202","1","5202401","0","2025/07/01 16:00:00","10202101"
"23","10202","2","5202411","0","2025/07/01 16:00:00","10202201"
"10203101","10203","1","5203401","0","2025/08/01 16:00:00","10203101"
"23","10203","2","5203411","5203007","2025/08/01 16:00:00","10203201"
"10204101","10204","1","5204401","0","2025/09/01 16:00:00","10204101"
"23","10204","2","5204411","5204006","2025/09/01 16:00:00","10204201"
"10205101","10205","1","5205401","0","2025/10/01 16:00:00","10205101"
"23","10205","2","5205411","0","2025/10/01 16:00:00","10205201"
"10206101","10206","1","5206401","0","2025/11/01 16:00:00","10206101"
"23","10206","2","5206411","5206007","2025/11/01 16:00:00","10206201"
"10207101","10207","1","5207401","0","2025/12/01 16:00:00","10207101"
"23","10207","2","5207411","5207007","2025/12/01 16:00:00","10207201"
"10208101","10208","1","5208401","0","2026/01/01 16:00:00","10208101"
"23","10208","2","5208411","5208007","2026/01/01 16:00:00","10208201"
"10209101","10209","1","5209401","0","2026/02/01 16:00:00","10209101"
"23","10209","2","5209411","5209007","2026/02/01 16:00:00","10209201"
"10210101","10210","1","5210401","0","2026/03/01 16:00:00","10210101"
"23","10210","2","5210411","5210000","2026/03/01 16:00:00","10210201"
"10211101","10211","1","5211401","0","2026/04/01 16:00:00","10211101"
"23","10211","2","5211411","5211006","2026/04/01 16:00:00","10211201"
"10212101","10212","1","5212401","0","2026/05/01 16:00:00","10212101"
"23","10212","2","5212411","5212007","2026/05/01 16:00:00","10212201"
