78a379ebb4f0f850266f7ec7682a8717f1742c8b4ebcc8838bdfa2f6a89753f3,fc4e5578312ab4fb90c3a389b7de0e9e307908395b1401235f1f84643d9444d1,f6073d78dbf2a68437b07d379cb679eb2883d301832f0f5b36a6d529e79e35c3,38ef772edb82b4e0c127578b55da29b8726a8d6bbd79272819f8a81d572f45c4,82e25bd9fb792680c15ff50ac5cf10ff5ac7866a98b6bb9c41985b9f222c9d50
"101","單手劍","90009","#D23232","red"
"102","雙手劍","90009","#D23232","red"
"103","短劍","90009","#D23232","red"
"104","槍","90009","#D23232","red"
"105","斧","90009","#D23232","red"
"106","弓","90009","#D23232","red"
"107","拳","90009","#D23232","red"
"108","盾","90009","#D23232","red"
"109","杖","90009","#D23232","red"
"110","書本","90009","#D23232","red"
"201","衣服","90010","#476FD8","blue"
"202","鎧甲","90010","#476FD8","blue"
"203","白長袍","90010","#476FD8","blue"
"204","黑長袍","90010","#476FD8","blue"
"301","戒指","90011","#E5681E","yellow"
"302","手鐲","90011","#E5681E","yellow"
"303","項鍊","90011","#E5681E","yellow"
"304","寶珠","90011","#E5681E","yellow"
"305","耳環","90011","#E5681E","yellow"
