ccbca93988bb023f1a4b167e2e1bb01df774e1e174846b7e40f79b25c2dff90a,07f7ffe858d2f9e0389ff778f436d962f903551412d8d0a3da4e2c4f67d04b2f,c8add7744bd958c5821c7281dd4eddb160c2435b2839131e88f804b9ebab7325,7b2612e3d7561589af660e232912dda427c1553d4e0f4cb9c1961d5102ce1cb4,ac032c5470f1785c7f3405abad455f6a8ba5bcca328a348001adaadfe91c4569
"91002","100","30109001","1","8"
"20002","10","30109001","2","2"
"91002","100","30109002","3","8"
"94002","40000","30109002","4","12"
"91002","300","30109003","5","8"
"91002","500","30109004","6","8"
"91002","500","30109005","7","8"
"94002","1000000","30109005","8","12"
"91002","500","30109006","9","8"
"94002","500000","30109006","10","12"
"91002","600","30110001","11","8"
"94002","200000","30110006","12","12"
