89fec7d3e439b05dbc5dbd53e846f3b9eb3a837c859c0170130d675ea41b6a51,8ad3c89491c3ae63ef9b3d3a3e71a97b2cc00a20858ec9ee132878609e128cba,5912e58fa1c1a88a40a758184a08c8eeda9fc94dabb91316b3e6b06d239edd3c,81d6f078bd3bd96d007f2075f42d2f1e69b15da922a676021b68844fc7e38fd9,b73cf6f71dd2da4227087e1b59f46a5afb9267aa194f191ff353680be935bddc
"31058","9105801","2","1","10"
"31020","9102001","2","2","10"
"31002","9100201","2","3","10"
"31055","9105501","2","4","10"
"31016","9101601","2","5","10"
"31124","9112401","2","6","10"
"31044","9104401","2","7","10"
"31023","9102301","2","8","10"
"31059","9105901","2","9","10"
"31042","9104201","2","10","10"
"31040","9104001","2","11","10"
"31021","9102101","2","12","10"
"31063","9106301","2","13","10"
"31065","9106501","2","14","10"
"31009","9100901","2","15","10"
"31017","9101701","2","16","10"
"31056","9105601","2","17","10"
"31053","9105301","2","18","10"
"31027","9102701","2","19","10"
"31108","9110801","2","20","10"
"31043","9104301","2","21","10"
"31125","9112501","2","22","10"
"31004","9100401","2","23","10"
"31037","9103701","2","24","10"
"31061","9106101","2","25","10"
"31018","9101801","2","26","10"
"31013","9101301","2","27","10"
"31011","9101101","2","28","10"
"31001","9100101","2","29","10"
"31030","9103001","2","30","10"
"31060","9106001","2","31","10"
"31015","9101501","2","32","10"
"31054","9105401","2","33","10"
"31109","9110901","2","34","10"
"31010","9101001","2","35","10"
"31066","9106601","2","36","10"
"31028","9102801","2","37","10"
"31008","9100801","2","38","10"
"31049","9104901","2","39","10"
"31047","9104701","2","40","10"
"31014","9101401","2","41","10"
"31094","9109401","2","42","10"
"31038","9103801","2","43","10"
"31048","9104801","2","44","10"
"31045","9104501","2","45","10"
"31022","9100601","2","46","10"
"31006","9100601","2","47","10"
"31005","9100501","2","48","10"
"31126","9112601","2","49","10"
"31092","9109201","2","50","10"
"31025","9102501","2","51","10"
"31031","9103101","2","52","10"
"31012","9101201","2","53","10"
"31026","9102601","2","54","10"
"31050","9105001","2","55","10"
"31003","9100301","2","56","10"
"31007","9100701","2","57","10"
"31029","9102901","2","58","10"
"31036","9103601","2","59","10"
"31093","9109301","2","60","10"
"31071","9107101","2","61","10"
"31110","9111001","2","62","10"
"31046","9104601","2","63","10"
"31033","9103301","2","64","10"
"31051","9105101","2","65","10"
"31057","9105701","2","66","10"
"31032","9103201","2","67","10"
"31052","9105201","2","68","10"
"31034","9103401","2","69","10"
"31070","9107001","2","70","10"
"31058","9105802","2","71","10"
"31020","9102002","2","72","10"
"31002","9100202","2","73","10"
"31055","9105502","2","74","10"
"31016","9101602","2","75","10"
"31044","9104402","2","77","10"
"31023","9102302","2","78","10"
"31059","9105902","2","79","10"
"31042","9104202","2","80","10"
"31040","9104002","2","81","10"
"31021","9102102","2","82","10"
"31063","9106302","2","83","10"
"31065","9106502","2","84","10"
"31009","9100902","2","85","10"
"31017","9101702","2","86","10"
"31056","9105602","2","87","10"
"31068","9106802","2","88","10"
"31053","9105302","2","89","10"
"31027","9102702","2","90","10"
"31108","9110802","2","91","10"
"31043","9104302","2","92","10"
"31004","9100402","2","94","10"
"31037","9103702","2","95","10"
