50491a5e2cc99a20176f3e1232b8b2ccb1831d1924efb15064ca3dacc51debe1,bd4defd5b959a5d12efa76b868022b2b8dca3385c47112c30f7d681301c8a5f8,8bdbad772c321e092357e57275189f20a73f8902c83e7f0e853741d37b95fc39,53a42ca339e9a9d655c82c5b83082662e0cb0419837ee47791e7c264e70d2ab7,5ef32a0a3adb012afc252dca23c2ea68b38aaa070d705dbaf6af56c1c75c4ae6,ac27264ae5563166c39d042c60897bd5e8ed4847bffc8baa6e410090bc5da25d
"2","5201009","2","10201","0","102010201"
"3","5201010","2","10201","0","102010202"
"502510","0","3","10201","0","102010301"
"501220","0","2","10202","0","102020201"
"501201","0","3","10202","0","102020301"
"500801","0","2","10203","0","102030201"
"500031","0","3","10203","0","102030301"
"502360","0","2","10204","0","102040201"
"500030","0","3","10204","0","102040301"
"502170","0","2","10205","0","102050201"
"502080","0","3","10205","0","102050301"
"501030","0","2","10206","0","102060201"
"500160","0","3","10206","0","102060301"
"500690","0","2","10207","0","102070201"
"500163","0","3","10207","0","102070301"
"532300","0","3","10208","0","102080201"
"502460","0","2","10209","0","102090201"
"502290","0","3","10209","0","102090301"
"502080","0","3","10210","0","102100201"
"501460","0","2","10211","0","102110201"
"500037","0","3","10211","0","102110301"
"500341","0","2","10212","0","102120201"
"501470","0","3","10212","0","102120301"
"2","5213006","1","10213","0","102130102"
"3","5213010","1","10213","0","102130103"
"4","5213013","1","10213","0","102130104"
"502790","0","3","10213","0","102130301"
"502820","0","2","10214","0","102140201"
"502230","0","3","10214","0","102140301"
"2","5215007","1","10215","0","102150102"
"500194","0","2","10215","0","102150201"
"502830","0","3","10215","0","102150301"
