21214dd6bfc1dd86a3d3fde4e5f1232a0c49c863789090eb9c49f394d7987cae,b750546c81ccc2802020550091ff0af8328121e4ce9089d4d62c5928acc681b3,8e91a92ab26a949add5d9ba404b8cc8093aa14e9bb46cb83b5e5daaa346a37a8,25fd7e34c4b457e686f25059b254fefce328593b6189169b972724cfd6fcbefe,644c1f8712ac1945b1399f8e98260b2b4a21d18f0fbdde206e2874ea4911d25f,0d798763134e23f57485267c81e3246d9160083c8e717bfb5f5f8b0d0fe965ee,0dbe8e7a0a599660eb80c2e4009d0e0fe29f69b9542c143bcd4b8573c145e067,9b05103ea3997aff618cd7d05e88993dfe0c90833d5e4a34137582fb3df241b0,32734d2a8570cc01d7f83f4927e8fb1870dc0b8306e90a28ed89dfda45d8af89,69b3315eaafa7d17835385102e0e76d41a1b28f9c986d28121f83f7880bb35a5,8fa73c989ba57ebf1b21b698b4a8bde79aefdec7bd9aa1a76d30f4e50232bf0f,26f15eed5e9b0e6bacea97337e098159f3530f3b1e745f9c1f642a2cd6e4c4bb
"-1","0","戰鬥開始時，我方的TP提升250。","3","3001","2","0","TP提升250","3001","3001","0","1"
"-1","0","戰鬥開始時，我方的TP提升250。","3","3002","2","0","TP提升250","3002","3002","0","1"
"-1","0","戰鬥開始時，我方的TP提升250。","3","3003","2","0","TP提升250","3003","3003","0","1"
"-1","0","戰鬥開始時，我方的TP提升250。","3","3004","2","0","TP提升250","3004","3004","0","1"
"-1","0","戰鬥開始時，我方的TP提升1000。","3","3006","2","0","TP提升1000","3006","3006","0","3"
"-1","0","戰鬥開始時，我方的TP提升1000。","3","3007","2","0","TP提升1000","3007","3007","0","3"
"25200","0","戰鬥開始90秒內，使我方的物理攻擊力提升。","3","3001","3","3500000000000","提升物理攻擊90秒","30011","30011","9006503","1"
"72000","0","戰鬥開始90秒內，使敵人的物理防禦力下降","3","3001","3","2400000000000","降低物理防禦90秒","30012","30012","9006504","1"
"39600","0","戰鬥開始90秒內，每秒恢復我方的HP","3","3002","3","2400000000000","每秒HP恢復90秒","30021","30021","9006506","1"
"72000","0","戰鬥開始90秒內，每秒提升我方的TP","3","3002","3","1200000000000","每秒TP提升90秒","30022","30022","9006507","1"
"43200","0","戰鬥開始15秒內，我方進入無敵狀態","3","3003","3","2320000000000","無敵15秒","30031","30031","9006509","1"
"72000","0","戰鬥開始90秒內，使敵人的魔法攻擊力下降","3","3003","3","1600000000000","降低魔法攻擊90秒","30032","30032","9006510","1"
"32400","0","戰鬥開始15秒內，敵人陷入暈眩狀態","3","3004","3","3360000000000","暈眩15秒","30041","30041","9006512","1"
"43200","0","戰鬥開始90秒內，使敵人的物理防禦力下降","3","3004","3","2400000000000","降低物理防禦90秒","30042","30042","9006513","1"
"43200","0","戰鬥開始90秒內，使我方的魔法攻擊力提升","3","3005","3","10382000000000","提升魔法攻擊90秒","30051","30051","9006516","2"
