999453a01a0f44b1b2d57ab355d0b3875d3f5d4fb55af80057192ad79abc8177,c7abc05184ce2d73e88b838acff5f9b939819c18a7e782f0dd365ad8b0cddc60,7a7907d620c12303fe6ea7d2fe3ae184495ffae5f6767434458b5279e87c308c,29f0a12376b43ffde2e91badb4e2093e5b74df14da4733ced710c3b0168ae72f,8f34b1834e404379a5c752c0dc4db6fca9c6143834388d83b39b3e0a5711f5d3,3e2d277050605cdd800eb8b3102bc4b8c3adb25771d54ba97d8dac57cb8a75f3
"20001","0","2000101","2000102","20001115","20001201"
"20001","2000101","2000102","2000103","0","0"
"20001","2000102","2000103","0","0","0"
"20002","0","2000201","2000202","20002115","20002201"
"20002","2000201","2000202","2000203","0","0"
"20002","2000202","2000203","0","0","0"
"20003","0","2000301","2000302","20003115","20003201"
"20003","2000301","2000302","2000303","0","0"
"20003","2000302","2000303","0","0","0"
"20004","0","2000401","2000402","20004115","20004201"
"20004","2000401","2000402","2000403","0","0"
"20004","2000402","2000403","0","0","0"
"20005","0","2000501","2000502","20005115","20005201"
"20005","2000501","2000502","2000503","0","0"
"20005","2000502","2000503","0","0","0"
"20006","0","2000601","2000602","20006115","20006201"
"20006","2000601","2000602","2000603","0","0"
"20006","2000602","2000603","0","0","0"
"20007","0","2000701","2000702","20007115","20007201"
"20007","2000701","2000702","2000703","0","0"
"20007","2000702","2000703","0","0","0"
"20008","0","2000801","2000802","20008115","20008201"
"20008","2000801","2000802","2000803","0","0"
"20008","2000802","2000803","0","0","0"
"20009","0","2000901","2000902","20009115","20009201"
"20009","2000901","2000902","2000903","0","0"
"20009","2000902","2000903","0","0","0"
"20010","0","2001001","2001002","20010115","20010201"
"20010","2001001","2001002","2001003","0","0"
"20010","2001002","2001003","0","0","0"
"20011","0","2001101","2001102","20011115","20011201"
"20011","2001101","2001102","2001103","0","0"
"20011","2001102","2001103","0","0","0"
"20012","0","2001201","2001202","20012115","20012201"
"20012","2001201","2001202","2001203","0","0"
"20012","2001202","2001203","0","0","0"
"20013","0","2001301","2001302","20013115","20013201"
"20013","2001301","2001302","2001303","0","0"
"20013","2001302","2001303","0","0","0"
"20014","0","2001401","2001402","20014115","20014201"
"20014","2001401","2001402","2001403","0","0"
"20014","2001402","2001403","0","0","0"
"20015","0","2001501","2001502","20015115","20015201"
"20015","2001501","2001502","2001503","0","0"
"20015","2001502","2001503","0","0","0"
"20016","0","2001601","2001602","20016115","20016201"
"20016","2001601","2001602","2001603","0","0"
"20016","2001602","2001603","0","0","0"
"20017","0","2001701","2001702","20017115","20017201"
"20017","2001701","2001702","2001703","0","0"
"20017","2001702","2001703","0","0","0"
"20018","0","2001801","2001802","20018115","20018201"
"20018","2001801","2001802","2001803","0","0"
"20018","2001802","2001803","0","0","0"
"20019","0","2001901","2001902","20019115","20019201"
"20019","2001901","2001902","2001903","0","0"
"20019","2001902","2001903","0","0","0"
"20020","0","2002001","2002002","20020115","20020201"
"20020","2002001","2002002","2002003","0","0"
"20020","2002002","2002003","0","0","0"
"20021","0","2002101","2002102","20021115","20021201"
"20021","2002101","2002102","2002103","0","0"
"20021","2002102","2002103","0","0","0"
"20022","0","2002201","2002202","20022115","20022201"
"20022","2002201","2002202","2002203","0","0"
"20022","2002202","2002203","0","0","0"
"20023","0","2002301","2002302","20023115","20023201"
"20023","2002301","2002302","2002303","0","0"
"20023","2002302","2002303","0","0","0"
"20024","0","2002401","2002402","20024115","20024201"
"20024","2002401","2002402","2002403","0","0"
"20024","2002402","2002403","0","0","0"
"20025","0","2002501","2002502","20025115","20025201"
"20025","2002501","2002502","2002503","0","0"
"20025","2002502","2002503","0","0","0"
"20026","0","2002601","2002602","20026115","20026201"
"20026","2002601","2002602","2002603","0","0"
"20026","2002602","2002603","0","0","0"
"20027","0","2002701","2002702","20027115","20027201"
"20027","2002701","2002702","2002703","0","0"
"20027","2002702","2002703","0","0","0"
