a3bc1d749edba795b9c4b9bb448ba3b82ae38332ef67055c56b9f36ebb66e0e6,66b94e722e02722e22a239e6580217792d59ce224c528701b16455d830a8c9fd,894922ea8c3ae765973d8586b633c42f58e4f54392ce39050a697633924da28c,56242fd2caa71eea7251750a402736ac7ab6b43be61f6ca74f961274e9385675,37ad482a5f7286ac2528c3eac193f2ce97e86a2f24dca5388099a7d3e46dd277,7ce8d491bbe0d3421341ad59fe9e8c6d7f8394085e6b99940955854a6d577cf1,e559829c434d86b3f0222c3ceb1d92043ee10716c285651b9668b75097081ef9,62d75e89c53e1d172bea456d72fec2ff088dbfd4f33894a9ec1d07e7b6560b7c,9f16294ecb353404e2623d47eb7a08f51d2d439b713d28c29c5b62a9dac075a2,3cb8051347664e2e6b85d9189ad6aa7fb961bad07f074de7e4ad1b96b54266aa
"1001","126501","萊拉耶爾","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","","1","10001","0","1"
"1002","105301","莫妮卡","取得最大1000里程","","","2","10001","0","2"
"1003","126401","克蘿茜","取得{0}個料理","","","3","1","0","1"
"1004","100501","茉莉","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","1","0","3"
"1005","101301","七七香","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","2","0","2"
"1006","104301","真琴","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","4","0","2"
"1007","102701","惠理子","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","3","0","3"
"1008","100901","杏奈","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","","6","7","0","1"
"1009","105101","深月","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","","1","10001","0","1"
"1010","101801","伊緒","取得最大1000里程","","","2","10001","0","2"
"1011","129701","涅妃‧涅羅","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","","8","0","0","2"
"1012","101601","鈴奈","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","1","0","3"
"1013","105601","流夏","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","2","0","2"
"1014","102001","美美","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","3","0","3"
"1015","129601","安涅默涅","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","","6","7","0","1"
"1016","100401","禊","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，可以讓對手休息{1}個回合","","10","1","1","2"
"1017","127701","琳德","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","","13","2","1","3"
"1018","127801","烏爾姆","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，\n可以讓對手休息{1}個回合","","10","1","1","2"
"1019","104801","美冬","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","","1","10001","0","1"
"1020","104701","純","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","2","0","2"
"1021","105001","美咲","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","","6","7","0","1"
"1022","103201","秋乃","取得最大2000里程","","","2","10002","0","1"
"1023","130901","庫露露","取得{0}張抽獎券","","","12","1","0","1"
"1024","102501","鈴莓","取得{0}個料理","","","3","1","0","1"
