4d529b5b431ecb37f4a20de7894b6f133588dbee4182f824b812da4f0b9ddea4,8e610eb37a46209ffde9bde988ee5e27300e7a292ffdc45f65a1c8cac0fcdb4f,49489c5b71182fc5f77ca0693544b6ea1c0575043a6da8772cbbb17cdbe84460,a4a17898efe4fae7bf9453ec4c5b556fa348787ba0d252b4e71a947da07262b9,f6f24b5d43774916040e4694a8a105cb2c3289c14bc4f453a55d845cdd05e0c9,b5a65c847b9680cdccb35981deb8442670a4a57fbec46174f2ed6c75c690a6f4,6a9bc1e10d10989542b4cd08da100ffd42040afe403b5723d12bdb56be8553bc,3b6e7e2ea053febe1d6f4070242458397fb056fec9bde7e0b2b7a800d45a2ad6,3fd3c2efbcd2dd92bcc4b80649b0118889cd0a306dc5743a7c425b70fad8aadb,2aa042549d9d514a160c3ad4e7df5c555d9846e564e3fc55790a9375c637ac6c,cf14fb6af8daec4e581794e0f9ee82cf40edbeb48a9be04b16b2ac88f85e9dbe,1d376d352ba6ed9c41785011752f4858e8bf43bfbfcd3f4aa5ed1ea615f8eaba,34747e0db08b2f4b95d3363d3bdf8f8ded873c33be9373850d8bfae76d20a0f1
"0","小幅度提升攻擊力跟攻擊速度","倭","10000101","2210101","0","100001","2","0","提升攻擊力15％、\n提升攻擊速度10％。","130011","0","0"
"0","小幅度提升最大HP跟攻擊速度","若菜","10000201","2210201","0","100002","2","0","提升最大HP15％、\n提升攻擊速度10％。","130111","0","0"
"0","小幅度降低敵人的移動速度與攻擊速度","布武機","0","2210301","0","100003","2","0","戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。","130211","0","0"
"1","中幅度提升最大HP","貪吃佩可","10000401","0","0","100004","2","0","提升最大HP25％。","105811","0","0"
"2","中幅度降低敵人的移動速度","凱留","0","2210501","0","100005","2","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","106011","0","0"
"3","大幅度提升COST","可可蘿","10000601","0","0","100006","2","0","提升COST上限50％。","105911","0","0"
"4","中幅度提升移動速度","雪菲","0","2210701","0","100007","3","0","提升移動速度25％。","106411","0","0"
"5","小幅度提升攻擊力跟移動速度","莉莉","10000801","2210801","0","100008","2","0","提升攻擊力15％、\n提升移動速度10％。","131311","0","0"
"6","小幅度提升最大HP跟移動速度","可璃亞","10000901","2210901","0","100009","2","0","提升最大HP15％、\n提升移動速度10％。","131411","0","0"
"7","小幅度提升COST上限跟移動速度","普蕾西亞","10001001","2211001","0","100010","2","0","提升COST上限25％、\n提升移動速度10％。","131511","0","0"
