75a248fb8d4e13db845f432318fed353275f69ea373d0b18cd90cab548120f80,4bf07342da246ebe98a176f66bbf52e48da732bff43e3956d76f4ec18c95f7b4,db90e33b660c3e2c1d841f3894c00da86e047333d7515343d8c6a4ff17635855,14e9c632f676231d311c780405688493aa6cc67c39669d60e7ff80c2caa3388d,6f1ad0beb2aa9434327f1291faa528e1629bdb3f52effbbc31534508e0e10a1b,a9a307a151b1e75d3115ebdcddde43fa69749f341e8a673c813399d4815ac2fc
"100101","vo_btl_100101_win_001","vo_btl_100101","10010101","勝利1",""
"100101","vo_btl_100101_win_002","vo_btl_100101","10010102","勝利2",""
"100101","vo_btl_100101_win_003","vo_btl_100101","10010103","勝利3",""
"100101","vo_btl_100101_lose_001","vo_btl_100101","10010104","失敗1",""
"100101","vo_btl_100101_lose_002","vo_btl_100101","10010105","失敗2",""
"100101","vo_btl_100101_lose_003","vo_btl_100101","10010106","失敗3",""
"100101","vo_btl_100101_retire_001","vo_btl_100101","10010107","暈眩1",""
"100101","vo_btl_100101_retire_002","vo_btl_100101","10010108","暈眩2",""
"100101","vo_btl_100101_retire_003","vo_btl_100101","10010109","暈眩3",""
"100101","vo_btl_100101_cutin_001","vo_btl_100101","10010110","技能切入1",""
"100101","vo_btl_100101_cutin_002","vo_btl_100101","10010111","技能切入2",""
"100101","vo_btl_100101_cutin_003","vo_btl_100101","10010112","技能切入3",""
"100101","vo_btl_100101_skill_000_001","vo_btl_100101","10010113","必殺技1",""
"100101","vo_btl_100101_skill_000_002","vo_btl_100101","10010114","必殺技2",""
"100101","vo_btl_100101_skill_000_003","vo_btl_100101","10010115","必殺技3",""
"100101","vo_btl_100101_wavestart","vo_btl_100101","10010116","戰鬥開始",""
"100101","vo_btl_100101_nextwave","vo_btl_100101","10010117","到下一波",""
"100101","vo_btl_100101_lastwave","vo_btl_100101","10010118","到最後一波",""
"100101","vo_cmn_100101_battlestart_001","vo_cmn_100101","10010119","讀取戰鬥前",""
"100101","vo_cmn_100101_battleresult_001","vo_cmn_100101","10010120","戰鬥結果1",""
"100101","vo_cmn_100101_battleresult_002","vo_cmn_100101","10010121","戰鬥結果2",""
"100101","vo_cmn_100101_mypage_001","vo_cmn_100101","10010122","主頁1",""
"100101","vo_cmn_100101_mypage_002","vo_cmn_100101","10010123","主頁2",""
"100101","vo_cmn_100101_mypage_003","vo_cmn_100101","10010124","主頁3",""
"100101","vo_cmn_100101_mypage_004","vo_cmn_100101","10010125","主頁4",""
"100101","vo_cmn_100101_mypage_005","vo_cmn_100101","10010126","主頁5",""
"100101","vo_cmn_100101_gacha_001","vo_cmn_100101","10010127","轉蛋登場台詞",""
"100101","vo_cmn_100101_profile_001","vo_cmn_100101","10010128","自我介紹",""
"100101","vo_room_100101_auto_001","vo_room_100101","10010129","公會小屋1",""
"100101","vo_room_100101_auto_002","vo_room_100101","10010130","公會小屋2",""
"100101","vo_room_100101_auto_003","vo_room_100101","10010131","公會小屋3",""
"100101","vo_room_100101_auto_004","vo_room_100101","10010132","公會小屋4",""
"100101","vo_room_100101_auto_005","vo_room_100101","10010133","公會小屋5",""
"100101","vo_room_100101_tap_001","vo_room_100101","10010134","點選公會小屋1",""
