511788243220121081916976655bd9a68e0956e8af7e4cc18c14561ce64a485e,bfa9123a4320c2c66b114b682de713755e789649dd61c4986d33e021bb4537b2,1702681c2eb5dea78450d29d6312505c7d4d892b215be29bc113d0bc483b8b6f,a1b39b4246cfc6a53be1d46ac0904f4e3b26925db127dcc825a1366137d45129,54d2f1818930580c5c7de1d5db47a853380ed16ec66b6eb3f29ddbb8bb111113,1a65d1c853daa5c8de25a7fd278bcd40422bbcf95c2963f2723382d1d59b4b75,921b9abdc928cf0c8d3c51c39cebb71f024261480b9a962cffa4f507661cd759,e8bc994eddd9becd505263ae742c1ffcdf08dcd02e2e26a880882337998f7eb1,bdbdb679d26ba045be4b23a869c84b045f1db7b4249ee23a8a78e016137a8d20,e2ff50c0299caa67271ea2d49cebca5b5544d2d3ff467908459c6eb445123109,75f1b6a0ff5faa76d84c3cc89126db56133825b27bf43f5e281474fce3945550,a9e5d5e559198e37ff1b1319f3f461f40f15b6c11795749f22cd2d333c01ebf6,b7e2b63b8a733e69ce57e8e719c3789c54f25434b97f3cc37bfba55d61fafe07,3601d11176e33b8c29d0b7c50010c724a3c98e627c2110ca1e9104ef2a06d5a7,da894361cbb399559d925d911e9a7272da18e88ca8d2985103648e72fd7d4cda,4745755bc8398fa6e2bfc5574254870b4dc2da2c7428831292b42522840fa1a8,9077a9a02e071111e9afc07b4189df2c434c8dfdde9b7292b4f5dd53d30ea872,9a44d6020b19a4c4f94de2b0169adbb250aa206246da78fdcd70877ef89e1b93,d356da6b3c01e8a0349270f3b30ffa6628b40fd4a8629b794910262d5953eb02
"","0","0","90","1","0","610010401","2","0","0","610010004","0","5010321","0","0","1.5","0","10010","5"
"","0","0","90","2","0","610010402","3","108","0","610010005","0","5010322","0","0","1.5","0","10010","5"
"","0","0","90","3","0","0","1","0","0","610010006","0","0","0","0","1.5","0","10010","5"
"","70","0","90","1","5011321","0","1","0","0","610011004","0","5011322","0","0","1.5","0","10011","5"
"","40","0","90","2","0","0","1","0","0","610011005","0","5011323","0","0","1.5","0","10011","5"
"","0","0","90","3","0","0","1","0","0","610011006","0","0","0","0","1.5","0","10011","5"
"","0","1","90","1","0","610012401","2","0","0","610012004","600","5012321","0","3","1.5","0","10012","5"
"","51","1","90","2","0","0","1","0","0","610012005","0","5012322","0","0","1.5","0","10012","5"
"","0","1","90","3","0","0","1","0","0","610012006","0","0","0","0","1.5","0","10012","5"
"","0","1","90","1","0","610013401","2","0","50","610013004","600","5013321","0","3","1.5","0.9","10013","5"
"","50","0","90","2","0","0","1","0","84","610013005","0","5013322","0","0","1.5","1","10013","5"
"","0","0","90","3","0","0","1","0","84","610013006","0","0","0","0","1.5","1","10013","5"
"","0","1","90","1","0","610015401","2","0","1","610015004","600","5015321","0","3","1.5","0.9","10015","5"
"","50","1","90","2","0","0","1","0","-50","610015005","0","5015322","0","0","1.5","1.3","10015","5"
"","0","1","90","3","0","0","1","0","-50","610015006","0","0","0","0","1.5","1.3","10015","5"
"","0","1","90","1","0","610017401","2","0","50","610017004","600","5017321","0","3","1.5","0.9","10017","5"
"","50","1","90","2","0","0","1","0","84","610017005","0","5017322","0","0","1.5","1","10017","5"
