49109959532333cb2b8ef4f3bfc110fe6f53711e249b8b18e460a39a78d96854,cb30c605c278f45269cb0e8901a0b340e50728bfd919b3bcc3881cc39aa80c9c,d84316bcfb54f4839bc562ec5dc9727dbfac8340da373332ea951fa6b1bb1279,454fb3dc995182afbe7fca0194f2af2b84c071a82cd3d7f4881c1660e50f2d54,d8f9f6528c7fa261ca35142a233ad60edb7041f4451a3aa47139ca3cc42da953,e3517d3e97adf903a4cb2a720b9193782f1581e96af2d7087abe4d9763121266,52dec137057f8b06e69061d544ef33a63d76dfc010e11acf2e18528f7c002d85,6cc678fc18ac0d18b56ec71ff486ef0c703374a87d47310b4e48f99ff183e4ac
"1","1","100","未鑑定的\n平凡寶物","53001","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","200","未鑑定的平凡寶物"
"2","1","200","未鑑定的\n貴重寶物","53002","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","400","未鑑定的貴重寶物"
"3","1","400","未鑑定的\n頂級寶物","53003","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","800","未鑑定的頂級寶物"
"1","0","100","平凡寶石","53004","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡寶石"
"2","0","200","貴重寶石","53005","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重寶石"
"3","0","400","頂級寶石","53006","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級寶石"
"1","0","100","平凡金屬塊","53007","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡金屬塊"
"2","0","200","貴重金屬塊","53008","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重金屬塊"
"3","0","400","頂級金屬塊","53009","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級金屬塊"
"1","0","100","平凡卷軸","53010","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡卷軸"
"2","0","200","貴重卷軸","53011","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重卷軸"
"3","0","400","頂級卷軸","53012","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級卷軸"
"1","0","100","平凡皇冠","53013","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡皇冠"
"2","0","200","貴重皇冠","53014","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重皇冠"
"3","0","400","頂級皇冠","53015","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級皇冠"
"1","0","100","平凡符文","53016","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡符文"
"2","0","200","貴重符文","53017","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重符文"
"3","0","400","頂級符文","53018","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級符文"
"1","0","100","平凡王冠","53019","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡王冠"
"2","0","200","貴重王冠","53020","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重王冠"
"3","0","400","頂級王冠","53021","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級王冠"
"1","0","100","平凡古遺物","53022","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200","平凡古遺物"
"2","0","200","貴重古遺物","53023","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400","貴重古遺物"
"3","0","400","頂級古遺物","53024","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800","頂級古遺物"
