e2828abb1ecb457373b1b2c16cbd36416e82bce755433effdf783ca445bd89d5,ded98b6249902c241781535f6a8b24878e5b7b5d85f74534a933460007ea0dfd,123e5871c6ce40cd7553ef6470ce31af99dfb648e37b104364ec122f923cb097,bbceaf9a5d7af067eba22a5c8ee9306b19a4f57c3d634be6aca9d685138a337a,eaf7d288e2cf34075cbabed3763b9913df285326a508a683d9de2fcf84d78d47,38f2d546c4ba42c8ccb23cac9f5138a3045ac407b4ac4bf317014c9708c54d20
"1","1","10009101","1","0","10009106"
"2","1","10009101","1","0","10009112"
"3","1","10010101","1","0","10010110"
"4","1","10019101","2","0","1001901"
"5","1","10021101","1","0","10021112"
"6","1","10025101","1","0","10025109"
"7","2","10025","3","500810","5025001"
"8","1","20009101","1","0","20009106"
"9","1","20009101","1","0","20009112"
"10","1","20010101","1","0","20010110"
"12","2","10042","3","501001","5042001"
"13","1","20015101","2","0","2001501"
"14","2","10044","3","501031","5044001"
"15","1","20016101","1","0","20016112"
"16","2","10046","3","501103","5046002"
"17","1","10049101","1","0","10049109"
"19","1","10066101","1","0","10066112"
"20","2","10066","3","501291","5066005"
"21","2","10069","3","501001","5042001"
"22","2","10071","3","501031","5044001"
"23","2","10068","3","501341","5068001"
"24","2","10070","3","501353","5070004"
"25","2","10070","3","500016","5070005"
"26","2","10072","3","501364","5072004"
"27","2","10072","3","501365","5072006"
"28","2","10073","3","501103","5046002"
"29","2","10074","3","501383","5074001"
"30","1","10076101","1","0","10076112"
"31","2","10076","3","505036","5076005"
"32","2","10078","3","501451","5078004"
"33","2","10080","3","501463","5080005"
"34","1","10082101","1","0","10082105"
"35","1","10082102","1","0","10082108"
"36","1","10082103","1","0","10082111"
"37","2","10082","3","501160","5082002"
"38","2","10082","3","501031","5082004"
"39","2","10082","3","501483","5082005"
"40","2","10084","3","500368","5084001"
"41","2","10084","3","510306","5084002"
"42","2","10084","3","500039","5084003"
"43","2","10085","3","500368","5085002"
"44","2","10085","3","510203","5085003"
"45","2","10085","3","500272","5085004"
"46","2","10085","3","501501","5085005"
"47","2","10088","3","501810","5088005"
"50","2","20025","3","501001","5042001"
"51","2","10090","3","501541","5090002"
"55","2","20026","3","501031","5044001"
"56","1","10093101","1","0","10093112"
"57","2","10093","3","501291","5066005"
"58","2","20027","3","501103","5046002"
"59","2","10092","3","501031","5092001"
"60","2","10092","3","501551","5092004"
"61","2","10094","3","501593","5094001"
"62","2","10095","3","501341","5068001"
"67","2","20018","3","500810","5025001"
"68","2","10096","3","501613","5096002"
"73","2","10097","3","501353","5070004"
"74","2","10097","3","500016","5070005"
"75","2","10098","3","501031","5098000"
"76","1","10098101","1","0","10098104"
"77","1","10098102","1","0","10098111"
"78","2","10099","3","501364","5072004"
"79","2","10099","3","501365","5072006"
"80","2","10100","3","500837","5100003"
"82","2","10101","3","501383","5074001"
"83","2","10101","3","501383","5074001"
"84","2","10102","3","501873","5102002"
"85","1","10103101","1","0","10103112"
"86","2","10103","3","505036","5076005"
"88","2","10108","3","501911","5108002"
"89","2","10104","3","500133","5104003"
"90","2","10105","3","501451","5078004"
"93","2","10110","3","501931","5110005"
"94","2","10111","3","500013","5111005"
"95","2","10107","3","501463","5080005"
"96","1","10109101","1","0","10109105"
"97","1","10109102","1","0","10109108"
"98","1","10109103","1","0","10109111"
"99","2","10109","3","501160","5082002"
"100","2","10109","3","501031","5082004"
"101","2","10109","3","501483","5082005"
"103","2","10112","3","500368","5084001"
"104","2","10112","3","510306","5084002"
"105","2","10112","3","500039","5084003"
"106","2","10113","3","500368","5085002"
"107","2","10113","3","510203","5085003"
"108","2","10113","3","500272","5085004"
"109","2","10113","3","501501","5085005"
"110","1","10110101","2","0","1011001"
"111","1","20037101","1","0","20037112"
"112","2","20037","3","501291","5066005"
"113","2","10115","3","501810","5088005"
"114","2","10114","3","500016","5114000"
"115","2","10114","3","501952","5114003"
"116","2","20038","3","501341","5068001"
"117","2","10117","3","501541","5090002"
"121","2","20039","3","501353","5070004"
"122","2","20039","3","500016","5070005"
"123","2","10116","3","500837","5116004"
"124","2","10119","3","501031","5092001"
"125","2","10119","3","501551","5092004"
"126","2","10118","3","500133","5118002"
"127","2","10118","3","500810","5118003"
"128","2","10118","3","500133","5118007"
"129","2","20040","3","501364","5072004"
"130","2","20040","3","501365","5072006"
"132","2","10124","3","501614","5124003"
"133","2","20041","3","501383","5074001"
"135","2","10121","3","501593","5094001"
"136","2","10122","3","502003","5122000"
"137","2","10122","3","502015","5122002"
"138","2","10123","3","501613","5096002"
"139","2","20042","3","505036","5076005"
"140","2","20043","3","501451","5078004"
"141","2","10125","3","501031","5098000"
"143","2","10127","3","500837","5100003"
"144","2","20044","3","501463","5080005"
"145","2","10128","3","502063","5128001"
"146","2","10129","3","501873","5102002"
"147","1","20045101","1","0","20045105"
"148","1","20045102","1","0","20045108"
"149","1","20045103","1","0","20045111"
"150","2","20045","3","501160","5082002"
"151","2","20045","3","501031","5082004"
"152","2","20045","3","501483","5082005"
"153","2","20046","3","500368","5084001"
"154","2","20046","3","510306","5084002"
"155","2","20046","3","500039","5084003"
"156","2","20047","3","500368","5085002"
"157","2","20047","3","510203","5085003"
"158","2","20047","3","500272","5085004"
"159","2","20047","3","501501","5085005"
"160","2","10130","3","500016","5130001"
"161","2","10130","3","500133","5130007"
"162","2","10131","3","500133","5104003"
"163","2","10136","3","500143","5136002"
"164","2","10136","3","500175","5136004"
"165","2","10137","3","501622","5137002"
"166","2","10137","3","500133","5137005"
"167","2","20048","3","501810","5088005"
"168","2","10134","3","500553","5134007"
"169","2","10135","3","501911","5108002"
"170","2","10138","3","501931","5110005"
"171","2","10139","3","500013","5111005"
"172","2","20049","3","501541","5090002"
"173","1","10138101","2","0","1013801"
"174","2","10141","3","500016","5114000"
"175","2","10141","3","501952","5114003"
"180","2","10140","3","502224","5140002"
"181","2","20050","3","501031","5092001"
"182","2","20050","3","501551","5092004"
"183","2","10142","3","501683","5142001"
"184","2","10143","3","500837","5116004"
"185","2","10145","3","500133","5118002"
"186","2","10145","3","500810","5118003"
"187","2","10145","3","500133","5118007"
"188","2","20051","3","501593","5094001"
"189","2","20052","3","501613","5096002"
"1014601","2","10146","3","502283","5146001"
"1014901","2","10149","3","502003","5122000"
"1014902","2","10149","3","502015","5122002"
"1015101","2","10151","3","501614","5124003"
"1015401","2","10154","3","502373","5154007"
"1015601","2","10156","3","502074","5156001"
"1015602","2","10156","3","502394","5156002"
"1015701","2","10157","3","502063","5128001"
"1015801","2","10158","3","500880","5158003"
"1015901","2","10159","3","500016","5130001"
"1015902","2","10159","3","500133","5130007"
"1016301","2","10163","3","500553","5134007"
"1016401","2","10164","3","500143","5136002"
"1016402","2","10164","3","500175","5136004"
"1016501","2","10165","3","501622","5137002"
"1016502","2","10165","3","500133","5137005"
"1016601","2","10166","3","502224","5140002"
"1016701","2","10167","3","501683","5142001"
"1016901","2","10169","3","502283","5146001"
"2005301","2","20053","3","501031","5098000"
"2005401","2","20054","3","500837","5100003"
"2005501","2","20055","3","501873","5102002"
"2005601","2","20056","3","500133","5104003"
"2005801","2","20058","3","501911","5108002"
"2005901","2","20059","3","501931","5110005"
"2006001","2","20060","3","500013","5111005"
"2006101","2","20061","3","500016","5114000"
"2006102","2","20061","3","501952","5114003"
"2006201","2","20062","3","500837","5116004"
"2006301","2","20063","3","500133","5118002"
"2006302","2","20063","3","500810","5118003"
"2006303","2","20063","3","500133","5118007"
"2006501","2","20065","3","502003","5122000"
"2006502","2","20065","3","502015","5122002"
"2006601","2","20066","3","501614","5124003"
"2006701","2","20067","3","500143","5136002"
"2006702","2","20067","3","500175","5136004"
"2006801","2","20068","3","501622","5137002"
"2006802","2","20068","3","500133","5137005"
