277f31c468ef444838336e9d2a8c4444130040370010b70dfc80175e531ebb60,e64aed32d4efae587dff3a289bebb5d4d73a15c0426589a3ce18876f33bbfb80,65578f82c64878ad0d8fafb6f9ab0154afdca3d3c0c80a1117c40f741f16d6c9,e934d6ddd81897da27c54eea23f61c941bcbc3652e760d893d3b24a52af08644,e8e675cbf07fc7a6d3218ebf0acb332b13da0db5bdbe2fa52fd54c150cb4e0d8,385b5b146c4fac3b24affcc23251abbc933d4f3e66c089b861218ea93e5cfa53,a59c16f663273e3e6459f6a7a2a6642297eefde5249a8609389fb4affc07831b,40445cf50860fa6637b1e86ab8848ce95eee05161c497d72a38c33665c1cb679,0becd04176ff948f041d05bb40bad895917400ee8c3c94ad5563e5df4791d0f7,50bed4ed0564f5049f0a58245374aea7f88056cb969d055c513172490285a12e,2ba7ab8e857f26ed2ea28c107dea2ace49f5384bf1965216e50632b8ea5e8a56
"5","1007001","-750","100","-300","2","1007001001","0","2.08","113511","svd_idle_normal"
"5","1007001","750","100","-300","1","1007001002","1","2.08","113411","svd_idle_normal"
"5","1007001","0","0","0","3","1007001003","0","1","333","svd_white_loop"
"6","1007001","1","1","0","333","1007001004","0","0","1",""
"7","1007001","0","0","","113511","1007001005","","","2",""
"2","1007001","0.5","-300","0","113511","1007001006","","","-750",""
"6","1007001","1","1","0","113411","1007001007","0","0","1",""
"31","1007001","-40","-140","0.8","1","1007001008","","0","11",""
"34","1007001","0","0","","11","1007001009","","","2",""
"7","1007001","0","0","","113411","1007001010","","","6",""
"2","1007001","0.5","-300","0","113411","1007001011","","","750",""
"31","1007001","-40","-250","1","4","1007001012","","0","14",""
"31","1007001","-40","250","1","5","1007001013","","0","15",""
"93","1007001","","","","1","1007001014","","","",""
"6","1007001","1","1","0.4","333","1007001015","0","0.8","1",""
"3","1007001","svd_idle_see","0","1","113511","1007001016","0","0.2","svd_idle_see_pre",""
"2","1007001","1.1","-300","0","113411","1007001017","","","640",""
"2","1007001","1.1","-300","0","113511","1007001018","","","-600",""
"93","1007001","","","","1","1007001019","","","",""
"32","1007001","","","","11","1007001020","","","1",""
"91","1007001","","","","0","1007001021","","","",""
"94","1007001","0","260","80","113511","1007001022","","","240",""
"32","1007001","","","","11","1007001023","","","0",""
"3","1007001","","1","","113511","1007001024","","0.2","svd_run",""
"7","1007001","0","1.2","","113511","1007001025","","","0",""
"2","1007001","1.2","-300","0","113511","1007001026","","","-250",""
"3","1007001","","1","","113411","1007001027","","0.2","svd_run",""
"7","1007001","0","1.2","","113411","1007001028","","","0",""
"2","1007001","1.2","-300","0","113411","1007001029","","","250",""
"6","1007001","1","1","1","113411","1007001030","0","0.2","1",""
"93","1007001","","","","1.2","1007001031","","","",""
"91","1007001","","","","0","1007001032","","","",""
"3","1007001","","0","","113511","1007001033","","0.2","svd_kime_eriko",""
"3","1007001","","0","","113411","1007001034","","0.2","svd_kime_shizuru",""
"93","1007001","","","","1.4","1007001035","","","",""
"32","1007001","","","","14","1007001036","","","1",""
"32","1007001","","","","15","1007001037","","","1",""
"93","1007001","","","","0.6","1007001038","","","",""
"3","1007001","","1","","113411","1007001039","","0.2","svd_idle_joy1",""
"3","1007001","","1","","113511","1007001040","","0.2","svd_talk_wish",""
"21","1007001","0","0","","vo_svd","1007001041","","","vo_svd_0121",""
"11","1007001","0","6","0","113511","1007001042","0","0","我一定會為大人\n獻上永生難忘的\n最棒的暑假……","1"
"91","1007001","","","","0","1007001043","","","",""
"3","1007001","","1","","113511","1007001044","","0.2","svd_idle_wish",""
"3","1007001","","1","","113411","1007001045","","0.2","svd_talk_joy1",""
"21","1007001","0","0","","vo_svd","1007001046","","","vo_svd_0122",""
"11","1007001","0","8","0","113411","1007001047","0","0","來制定一個每到夏天\n都能回味無窮的\n夏日計畫吧！","1"
"91","1007001","","","","0","1007001048","","","",""
"3","1007001","","1","","113411","1007001049","","0.2","svd_idle_joy1",""
"3","1007001","","1","","113511","1007001050","","0.2","svd_talk_thinking",""
"21","1007001","0","0","","vo_svd","1007001051","","","vo_svd_0123",""
"11","1007001","0","6","0","113511","1007001052","0","0","咦……？但我明年夏天\n也會和大人一起過。\n不需要特別留下回憶呢……","1"
"91","1007001","","","","0","1007001053","","","",""
"3","1007001","","1","","113511","1007001054","","0.2","svd_idle_thinking",""
"3","1007001","svd_talk_anger","0","1","113411","1007001055","0.2","0.2","svd_surprise",""
"21","1007001","0","0","","vo_svd","1007001056","","","vo_svd_0124",""
"11","1007001","0","8","0","113411","1007001057","0","0","啊！惠理子妳太狡猾了！\n姐姐我也要永遠永遠\n和弟弟在一起！","1"
"93","1007001","","","","3","1007001058","","","",""
"3","1007001","svd_talk_joy1","0","1","113411","1007001059","0.4","0.2","svd_jump",""
"91","1007001","","","","1007001057","1007001060","","","",""
"3","1007001","","1","","113411","1007001061","","0.2","svd_idle_joy1",""
"102","1007001","","","","","1007001062","","","",""
"32","1007001","","","","14","1007001063","","","0",""
"32","1007001","","","","15","1007001064","","","0",""
"93","1007001","","","","1","1007001065","","","",""
"12","1007001","","1","","113511","1007001066","0","0","7",""
"3","1007001","","1","","113511","1007001067","","0.2","svd_talk_normal",""
"93","1007001","","","","3","1007001068","","","",""
"3","1007001","","1","","113511","1007001069","","0.2","svd_idle_normal",""
"12","1007001","","1","","113411","1007001070","0","0","10",""
"3","1007001","","1","1","113411","1007001071","","0.2","svd_talk_normal",""
"93","1007001","","","","3","1007001072","","","",""
"3","1007001","","1","1","113411","1007001073","","0.2","svd_idle_normal",""
"12","1007001","","1","","113511","1007001074","0","0","7",""
"3","1007001","","1","","113511","1007001075","","0.2","svd_talk_memory",""
"93","1007001","","","","3","1007001076","","","",""
"3","1007001","","1","","113511","1007001077","","0.2","svd_idle_memory",""
"12","1007001","","1","","113411","1007001078","0","0","10",""
"3","1007001","","1","1","113411","1007001079","","0.2","svd_talk_memory",""
"93","1007001","","","","3","1007001080","","","",""
"3","1007001","","1","1","113411","1007001081","","0.2","svd_idle_memory",""
"101","1007001","","","","1007001066","1007001082","","","",""
"6","1007001","1","1","0","333","1007001083","0","1","1",""
"4","1007001","","","","113511","1007001084","","","1",""
"3","1007001","","1","","113511","1007001085","","0.2","svd_run",""
"2","1007001","0.8","-300","0","113511","1007001086","","","-750",""
"4","1007001","","","","113411","1007001087","","","0",""
"3","1007001","","1","","113411","1007001088","","0.2","svd_run",""
"2","1007001","0.8","-300","0","113411","1007001089","","","750",""
"93","1007001","","","","0.6","1007001090","","","",""
"6","1007001","1","1","0","113511","1007001091","0","0.2","1",""
"6","1007001","1","1","0","113411","1007001092","0","0.2","1",""
"91","1007001","","","","0","1007001093","","","",""
"5","1007002","-650","100","-300","2","1007002001","0","2.08","113511","svd_idle_normal"
"5","1007002","650","100","-300","1","1007002002","1","2.08","113411","svd_idle_normal"
"5","1007002","0","0","0","3","1007002003","0","1","333","svd_white_loop"
"6","1007002","1","1","0","333","1007002004","0","0","1",""
"6","1007002","1","1","0","113511","1007002005","0","0","1",""
"6","1007002","1","1","0","113411","1007002006","0","0","1",""
"93","1007002","","","","1","1007002007","","","",""
"6","1007002","1","1","0.4","333","1007002008","0","0.8","1",""
"3","1007002","","1","","113511","1007002009","","0.2","svd_run",""
"2","1007002","1.2","-300","0","113511","1007002010","","","-250",""
"6","1007002","1","1","1","113511","1007002011","0","0.4","1",""
"93","1007002","","","","1.2","1007002012","","","",""
"91","1007002","","","","0","1007002013","","","",""
"3","1007002","","1","","113511","1007002014","","0.1","svd_idle_normal",""
"93","1007002","","","","0.6","1007002015","","","",""
"3","1007002","","1","","113511","1007002016","","0.2","svd_talk_memory",""
"21","1007002","0","0","","vo_svd","1007002017","","","vo_svd_0221",""
"11","1007002","0","6","0","113511","1007002018","0","0","大人游泳時的英姿……\n已經被我深深地\n烙印在腦海裡了。","1"
"91","1007002","","","","0","1007002019","","","",""
"3","1007002","","1","","113511","1007002020","","0.2","svd_idle_memory",""
"3","1007002","","1","","113411","1007002021","","0.2","svd_run",""
"2","1007002","1.2","-300","0","113411","1007002022","","","250",""
"6","1007002","1","1","1","113411","1007002023","0","0.4","1",""
"93","1007002","","","","1.2","1007002024","","","",""
"3","1007002","","1","","113411","1007002025","","0.1","svd_idle_joy1",""
"93","1007002","","","","0.3","1007002026","","","",""
"3","1007002","","1","","113411","1007002027","","0.2","svd_talk_memory",""
"21","1007002","0","0","","vo_svd","1007002028","","","vo_svd_0222",""
"11","1007002","0","6","0","113411","1007002029","0","0","弟弟賣力滑動手腳的樣子……\n真可愛呀……","1"
"91","1007002","","","","0","1007002030","","","",""
"3","1007002","","1","","113411","1007002031","","0.2","svd_idle_memory",""
"3","1007002","","1","","113511","1007002032","","0.2","svd_talk_memory",""
"21","1007002","0","0","","vo_svd","1007002033","","","vo_svd_0223",""
"11","1007002","0","6","0","113511","1007002034","0","0","大人游泳時濺起的水花，\n一定能製成比任何秘藥\n都更有效的靈藥！","1"
"91","1007002","","","","0","1007002035","","","",""
"3","1007002","","1","","113511","1007002036","","0.2","svd_idle_memory",""
"3","1007002","","1","","113411","1007002037","","0.2","svd_talk_worry",""
"21","1007002","0","0","","vo_svd","1007002038","","","vo_svd_0224",""
"11","1007002","0","6","0","113411","1007002039","0","0","惠理子……\n那樣好像有點太過火了……","1"
"91","1007002","","","","0","1007002040","","","",""
"3","1007002","","1","","113411","1007002041","","0.2","svd_idle_worry",""
"3","1007002","","1","","113511","1007002042","","0.2","svd_talk_thinking",""
"21","1007002","0","0","","vo_svd","1007002043","","","vo_svd_0225",""
"11","1007002","0","6","0","113511","1007002044","0","0","看來靜流是不需要呢。\n那我就一人獨吞吧……","1"
"91","1007002","","","","0","1007002045","","","",""
"3","1007002","","1","","113511","1007002046","","0.2","svd_idle_thinking",""
"12","1007002","","0","","113411","1007002047","0","0","4",""
"3","1007002","","0","","113411","1007002048","","0.2","svd_surprise",""
"93","1007002","","","","1","1007002049","","","",""
"3","1007002","","1","","113411","1007002050","","0.2","svd_talk_joy2",""
"21","1007002","0","0","","vo_svd","1007002051","","","vo_svd_0226",""
"11","1007002","0","8","0","113411","1007002052","0","0","我想要！\n想用漂亮的小瓶子裝起來！","1"
"91","1007002","","","","0","1007002053","","","",""
"3","1007002","","1","","113411","1007002054","","0.2","svd_idle_joy1",""
"102","1007002","","","","","1007002055","","","",""
"93","1007002","","","","1","1007002056","","","",""
"12","1007002","","1","","113511","1007002057","0","0","8",""
"3","1007002","","1","","113511","1007002058","","0.2","svd_talk_memory",""
"93","1007002","","","","3","1007002059","","","",""
"3","1007002","","1","","113511","1007002060","","0.2","svd_idle_memory",""
"12","1007002","","1","","113411","1007002061","0","0","1",""
"3","1007002","","1","1","113411","1007002062","","0.2","svd_talk_worry",""
"93","1007002","","","","3","1007002063","","","",""
"3","1007002","","1","1","113411","1007002064","","0.2","svd_idle_worry",""
"12","1007002","","1","","113511","1007002065","0","0","11",""
"3","1007002","svd_idle_guts2","0","1","113511","1007002066","0.2","0.2","svd_talk_guts2",""
"93","1007002","","","","3","1007002067","","","",""
"3","1007002","","1","","113511","1007002068","","0.2","svd_idle_guts2",""
"12","1007002","","1","","113411","1007002069","0","0","7",""
"3","1007002","","1","1","113411","1007002070","","0.2","svd_talk_joy1",""
"93","1007002","","","","3","1007002071","","","",""
"3","1007002","","1","1","113411","1007002072","","0.2","svd_idle_joy1",""
"101","1007002","","","","1007002057","1007002073","","","",""
"6","1007002","1","1","0","333","1007002074","0","1","1",""
"4","1007002","","","","113511","1007002075","","","1",""
"3","1007002","","1","","113511","1007002076","","0.2","svd_run",""
"2","1007002","0.8","-300","0","113511","1007002077","","","-750",""
"4","1007002","","","","113411","1007002078","","","0",""
"3","1007002","","1","","113411","1007002079","","0.2","svd_run",""
"2","1007002","0.8","-300","0","113411","1007002080","","","750",""
"93","1007002","","","","0.6","1007002081","","","",""
"6","1007002","1","1","0","113511","1007002082","0","0.2","1",""
"6","1007002","1","1","0","113411","1007002083","0","0.2","1",""
"91","1007002","","","","0","1007002084","","","",""
"5","1007003","-750","100","-300","1","1007003001","0","2.08","113511","svd_idle_normal"
"5","1007003","650","100","-300","2","1007003002","1","2.08","113411","svd_idle_normal"
"5","1007003","0","0","0","3","1007003003","0","1","333","svd_white_loop"
"6","1007003","1","1","0","333","1007003004","0","0","1",""
"7","1007003","0","0","","113511","1007003005","","","2",""
"2","1007003","0.5","-300","0","113511","1007003006","","","-750",""
"6","1007003","1","1","0","113411","1007003007","0","0","1",""
"31","1007003","-40","-140","0.8","6","1007003008","","0","16",""
"34","1007003","0","0","","16","1007003009","","","2",""
"93","1007003","","","","1","1007003010","","","",""
"6","1007003","1","1","0.4","333","1007003011","0","0.8","1",""
"3","1007003","svd_idle_see_sad","0","1","113511","1007003012","0","0.2","svd_idle_see_sad_pre",""
"2","1007003","1.1","-300","0","113511","1007003013","","","-600",""
"93","1007003","","","","1","1007003014","","","",""
"32","1007003","","","","16","1007003015","","","1",""
"91","1007003","","","","0","1007003016","","","",""
"94","1007003","0","260","80","113511","1007003017","","","240",""
"32","1007003","","","","16","1007003018","","","0",""
"12","1007003","","1","","113511","1007003019","0","0","17",""
"3","1007003","","1","","113511","1007003020","","0.2","svd_walk_sad",""
"7","1007003","0","2","","113511","1007003021","","","0",""
"2","1007003","2.4","-300","0","113511","1007003022","","","-250",""
"93","1007003","","","","2.4","1007003023","","","",""
"3","1007003","","1","","113511","1007003024","","0.2","svd_idle_sad",""
"93","1007003","","","","0.5","1007003025","","","",""
"91","1007003","","","","0","1007003026","","","",""
"3","1007003","","1","","113511","1007003027","","0.2","svd_talk_sad",""
"21","1007003","0","0","","vo_svd","1007003028","","","vo_svd_0321",""
"11","1007003","0","7","0","113511","1007003029","0","0","本來想送弟弟一隻\n巨大的獨角仙\n當作禮物的……","1"
"91","1007003","","","","0","1007003030","","","",""
"3","1007003","","1","","113511","1007003031","","0.2","svd_idle_sad",""
"3","1007003","","1","","113411","1007003032","","0.2","svd_walk",""
"2","1007003","2","-300","0","113411","1007003033","","","250",""
"6","1007003","1","1","1","113411","1007003034","0","0.4","1",""
"93","1007003","","","","2","1007003035","","","",""
"3","1007003","","1","","113411","1007003036","","0.2","svd_idle_normal",""
"93","1007003","","","","0.4","1007003037","","","",""
"3","1007003","","1","","113411","1007003038","","0.2","svd_talk_thinking",""
"21","1007003","0","0","","vo_svd","1007003039","","","vo_svd_0322",""
"11","1007003","0","6","0","113411","1007003040","0","0","確實是有些可惜。\n但也因此看到了\n更有價值的事物呢。","1"
"91","1007003","","","","0","1007003041","","","",""
"3","1007003","","1","","113411","1007003042","","0.2","svd_idle_thinking",""
"3","1007003","","1","","113511","1007003043","","0.2","svd_talk_joy1",""
"21","1007003","0","0","","vo_svd","1007003044","","","vo_svd_0323",""
"11","1007003","0","6","0","113511","1007003045","0","0","溫柔的弟弟很迷人唷！\n下次再挑戰\n抓獨角仙吧！","1"
"91","1007003","","","","0","1007003046","","","",""
"3","1007003","","1","","113511","1007003047","","0.2","svd_talk_sad",""
"21","1007003","0","0","","vo_svd","1007003048","","","vo_svd_0324",""
"11","1007003","0","6","0","113511","1007003049","0","0","如果還是抓不到，\n到時候就……","1"
"91","1007003","","","","0","1007003050","","","",""
"3","1007003","","1","","113511","1007003051","","0.2","svd_idle_sad",""
"3","1007003","","1","","113411","1007003052","","0.2","svd_talk_sad",""
"21","1007003","0","0","","vo_svd","1007003053","","","vo_svd_0325",""
"11","1007003","0","6","0","113411","1007003054","0","0","如果還有下次……就由\n我們來假扮獨角仙吧。\n我會扮演得惟妙惟肖。","1"
"93","1007003","","","","5","1007003055","","","",""
"3","1007003","","1","","113411","1007003056","","0.2","svd_talk_wish2",""
"91","1007003","","","","1007003054","1007003057","","","",""
"3","1007003","","1","","113411","1007003058","","0.2","svd_idle_wish2",""
"102","1007003","","","","","1007003059","","","",""
"93","1007003","","","","1","1007003060","","","",""
"12","1007003","","1","","113511","1007003061","0","0","12",""
"3","1007003","svd_idle_normal","0","1","113511","1007003062","0.2","0.2","svd_cmn_think",""
"93","1007003","","","","3","1007003063","","","",""
"3","1007003","","1","","113511","1007003064","","0.2","svd_idle_normal",""
"12","1007003","","1","","113411","1007003065","0","0","10",""
"3","1007003","","1","1","113411","1007003066","","0.2","svd_talk_normal",""
"93","1007003","","","","3","1007003067","","","",""
"3","1007003","","1","1","113411","1007003068","","0.2","svd_idle_normal",""
"12","1007003","","1","","113511","1007003069","0","0","1",""
"3","1007003","","1","","113511","1007003070","","0.2","svd_talk_sad",""
"93","1007003","","","","3","1007003071","","","",""
"3","1007003","","1","","113511","1007003072","","0.2","svd_idle_sad",""
"12","1007003","","1","","113411","1007003073","0","0","7",""
"3","1007003","","1","1","113411","1007003074","","0.2","svd_talk_wish",""
"93","1007003","","","","3","1007003075","","","",""
