efb04529128ddb0756a183b0dfa070404bb98c678555e4d0b6a22b376fbaf185,83d70bb6baddb23a804564482fc7e3b909249d064fae7cde2a5e7b0ad6f409d2,0b4412f0df907f137989327fa00c8a21054768a089be4a414c93648e91a768c6,8aeab14da56071fa4f4a54b5493fd59361006c97aacd535c70588b174ccc5655,a1489e9383073de217a427a5f3a6e44c8ac1065350cac6c07e2ab4bada209e3a,c39a2f447ca48030fcc81ace3e73133400af594f228b910ed523efce76c7def9
"102010201","2","5201009","2","0","10201"
"102010202","3","5201010","2","0","10201"
"102010301","502510","0","3","0","10201"
"102020201","501220","0","2","0","10202"
"102020301","501201","0","3","0","10202"
"102030201","500801","0","2","0","10203"
"102030301","500031","0","3","0","10203"
"102040201","502360","0","2","0","10204"
"102040301","500030","0","3","0","10204"
"102050201","502170","0","2","0","10205"
"102050301","502080","0","3","0","10205"
"102060201","501030","0","2","0","10206"
"102060301","500160","0","3","0","10206"
"102070201","500690","0","2","0","10207"
"102070301","500163","0","3","0","10207"
"102080201","532300","0","3","0","10208"
"102090201","502460","0","2","0","10209"
"102090301","502290","0","3","0","10209"
"102100201","502080","0","3","0","10210"
"102110201","501460","0","2","0","10211"
"102110301","500037","0","3","0","10211"
"102120201","500341","0","2","0","10212"
"102120301","501470","0","3","0","10212"
"102130102","2","5213006","1","0","10213"
"102130103","3","5213010","1","0","10213"
"102130104","4","5213013","1","0","10213"
"102130301","502790","0","3","0","10213"
"102140201","502820","0","2","0","10214"
"102140301","502230","0","3","0","10214"
"102150102","2","5215007","1","0","10215"
"102150201","500194","0","2","0","10215"
"102150301","502830","0","3","0","10215"
"102160201","500361","0","2","0","10216"
"102160301","500360","0","3","0","10216"
"102160501","500140","0","5","0","10216"
