4624602584400da2eca015ed3fce8cf8cd92d7e329da16205e22405cc494fc25,aa597ad54c2c9cc6f2f8f6c0fe5bdc78cf6ddb909b23d193607880226077b6ee,3b7450421c937c9ed5bff1b65217001fbe4bd4de2a5f4d8b7c75028cb4d8a0a4,c88250394b574317627cbf244b6bca8a9d3e16778d0c80b2bc927c4961b92bdc,ca119089093c9b007eb1ca51ae35713d07d32eec3de08d305ecfd5393e243609,5b7d215882f2ca55d699b625ada0430a5fd9e0b8181004323fa5f81d776b47f1,3cda1dbcbb9bb6979761590f377e3ac8aefbfb4dc80afd44b27dd49c35f06b29,fec0c0fda19fa02ce800ce7f59b91c178fa9a2030139dd64fe8a3cfa785cb411,aab41f21f22d10be7c9715b3bb52f6fde4d0fbe085b2a2cc38aac8fa5549faee,707dedb23883a664ec80bf38d796745ae501ac8aa52cd1f105c619bdc0b8e503,1da546687b061edcce3d72983725048b3c5c028f1b61abf25cce92f942f9db16
"bsm_idle_yamato","1","1","1001","100","0","1","0","130011","1.3","0"
"","1","3","1002","0","1","130011","0","bsm_drama_arm_crossed","0.2","bsm_drama_arm_crossed_loop"
"","1","21","1003","0","","vo_minigame_1014","","vo_minigame_1014_top_1000","","0"
"1","1","11","1004","5","0","130011","0","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","0","1"
"","1","91","1005","","","0","","","",""
"","1","3","1006","1","","130011","","bsm_idle_yamato","0.3",""
"bsm_idle_yamato","2","1","2001","100","0","1","0","130011","1.3","0"
"","2","3","2002","1","","130011","","bsm_drama_thinking","0.2",""
"","2","21","2003","0","","vo_minigame_1014","","vo_minigame_1014_top_1001","","0"
"1","2","11","2004","6","0","130011","0","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","0","1"
"","2","91","2005","","","0","","","",""
"","2","3","2006","1","","130011","","bsm_idle_yamato","0.3",""
"bsm_idle_yamato","3","1","3001","100","0","1","0","130011","1.3","0"
"","3","3","3002","0","1","130011","0","bsm_drama_doya","0.2","bsm_drama_doya_loop"
"","3","21","3003","0","","vo_minigame_1014","","vo_minigame_1014_top_1002","","0"
"1","3","11","3004","7","0","130011","0","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","0","1"
"","3","91","3005","","","0","","","",""
"","3","3","3006","1","","130011","","bsm_idle_yamato","0.3",""
"bsm_idle_wakana","4","1","4001","100","0","1","0","130111","1.3","0"
"","4","3","4002","0","1","130111","0","bsm_drama_guts","0.2","bsm_drama_guts_loop"
"","4","21","4003","0","","vo_minigame_1014","","vo_minigame_1014_top_2000","","0"
"1","4","11","4004","8","0","130111","0","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","0","1"
"","4","91","4005","","","0","","","",""
"","4","3","4006","1","","130111","","bsm_idle_wakana","0.3",""
"bsm_idle_wakana","5","1","5001","100","0","1","0","130111","1.3","0"
"","5","3","5002","1","","130111","","bsm_drama_wish","0.2",""
"","5","21","5003","0","","vo_minigame_1014","","vo_minigame_1014_top_2001","","0"
"1","5","11","5004","8","0","130111","0","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","0","1"
"","5","91","5005","","","0","","","",""
"","5","3","5006","1","","130111","","bsm_idle_wakana","0.3",""
"bsm_idle_wakana","6","1","6001","100","0","1","0","130111","1.3","0"
"","6","3","6002","1","","130111","","bsm_drama_pazzled","0.2",""
"","6","21","6003","0","","vo_minigame_1014","","vo_minigame_1014_top_2002","","0"
"1","6","11","6004","7","0","130111","0","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","0","1"
"","6","91","6005","","","0","","","",""
"","6","3","6006","1","","130111","","bsm_idle_wakana","0.3",""
"bsm_idle_fubuki","7","1","7001","100","0","1","0","130211","1.3","0"
"","7","3","7002","1","","130211","","bsm_drama_smile","0.2",""
"","7","21","7003","0","","vo_minigame_1014","","vo_minigame_1014_top_3000","","0"
"1","7","11","7004","5","0","130211","0","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","0","1"
"","7","91","7005","","","0","","","",""
"","7","3","7006","1","","130211","","bsm_idle_fubuki","0.2",""
"bsm_idle_fubuki","8","1","8001","100","0","1","0","130211","1.3","0"
"","8","3","8002","0","1","130211","","bsm_drama_doya","0.2","bsm_drama_doya_loop"
"","8","21","8003","0","","vo_minigame_1014","","vo_minigame_1014_top_3001","","0"
"1","8","11","8004","7","0","130211","0","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","0","1"
"","8","91","8005","","","0","","","",""
"","8","3","8006","1","","130211","","bsm_idle_fubuki","0.2",""
"bsm_idle_fubuki","9","1","9001","100","0","1","0","130211","1.3","0"
"","9","3","9002","0","1","130211","0","bsm_drama_laugh","0.2","bsm_drama_laugh_loop"
"","9","21","9003","0","","vo_minigame_1014","","vo_minigame_1014_top_3002","","0"
"1","9","11","9004","7","0","130211","0","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","0","1"
"","9","91","9005","","","0","","","",""
"","9","3","9006","1","","130211","","bsm_idle_fubuki","0.2",""
