0fd0e9770db88280d3a3f6d0fb4edd5cd8970096ced9b7ccf6d725d8b29d8c4b,6e32842081df46c43df23d989e5e19254fcadcc9c01e121b102e03dcb2a22144,19f2ee0293279d31f8a171dead5632abfcb29cb29165e649036293d6a8d597f1,d9fb607b904d5186b527ae01cb1c8dded569afcb1df29d75373f6f44ce092d09,3a6a3012acb5a4a3ee1d4d0fb8a174335aabe6625eaea7d5062ff3f713ef72b9,1a5bfc032ce1d429290b2c7e1cec1a33ad3539efa33daee2872614a11ab8861d,bf41472db6438431773dc7fdb7f31b07f0be89e332fafe42a529d2efc03dbf3d,e7ef0ebb6100c60e13ae05f3548cd38386e19dde7a5744c6a5b7e661e4905833,bc367559f83cec9eaf7db50bc9d4e15e0ce0947423e790c05871bb86c23568f1,e7e8531b2947679b01d3f4878ae7e2781d9bbcfc682e8b9b9ad256444da42c2d,8a9870072d60e78259b26ca4bf04b291faecb525745ebe2e724cf589418cb15b,f26e52914a2f41473c02fa2af85bb5d9ae36f2b833eccfcb1786fbf5e9528895,282d131a4a9078f9cff5294001208ee6fcd6124f631ebf010608b0b83358ea4e,56b6a886b0811f0857df3ba5dc1ab81990f8a927f6440ad37f4babbba0b56452,9b6bf202e6c2bb8a6c4843bffd415e8285540f589596b14d463b5d81c659b470,8df496b23ce821d9cb7e9d4a75bfee876ca06b564d61c56775ab87ed0ca7e79f,06fe21500f4ed23ba27141f2e2cc10708e4649db0ca758df61baf2ca104ea903,4ae1a3955106f746f5cb9cb30f7515fab35edfb844786715e5d052cef8928059,9e1f5b44fae52258594df21dfe12e24a5e036f0b232b2e58e6c27fbbd47574b8,02d2a374864cf440e296aabc1b906cc574b09dd73985c162a0ca7d5dec4bb7db,c47797b1d4185ef2bb10daa3e4433b27a871768997037cbd4c68c6f82bb66cc8,21ae580c2a739cc3263105f18ed4a1076075ea8d18cab1bc63176a6713924d22,12f6959f86deca7e1a6a473265496961d80e78e9a56cf4891bb6b512eede4fe2,1712d8a94a5c8c112b31d64a45478eb7dd81c107aeef01063304d18bbefeca31,c606c1f7990a704743703a99fb64d503499a243f6dd32cf896d306ec9cf54023,14fc1d767d1f0105b732f059bd29692ecc064345c5336bf4feba5f820aa69708,a97adeab7ddf3236ad251b3769469781b05efdb5846aaaa2b10707fb7f4ec5c8,3b8ec91b549239872dcc7763492666e441912c4cfd3079c15d325fc73bf8d41a,5ed8754852b00b1b3568bf63e28ddf5c532928e5bc97f61785d3a6ff75cc28b4,63e3e508b57c33c64da37042bdcc778eb039abae9dc6d28915a1da9d15a9b7a9,24d95823143a0768efa402efc501571927e219c7a6b6854c34f3b845b5229480
"1","0","0","0","0","0","0","0","0","101011","60","101011","0","0","0","0","0","6","0","1","1","鐵劍","四處都可買到，價格低廉的劍。\n對大多數習劍之人來說，這是他們\n第一次獲得的，很重要的一把劍。","0","15","1","1","0","0","0","0"
"7","0","0","0","0","0","0","0","0","101071","60","101071","0","0","0","0","0","6","0","1","1","殺手筆劍","外觀宛如一隻筆的短劍。\n攻擊力雖低，\n但十分方便攜帶。","0","0","1","1","25","0","0","0"
"10","0","0","0","0","5","0","0","0","101101","60","101101","0","0","0","0","0","4","0","1","1","木製拳套","能夠強化拳頭威力的木製武器。\n雖然做工簡樸，但比起徒手攻擊，\n可減輕對拳頭帶來的負擔","0","0","1","1","0","0","0","0"
"13","0","0","0","0","0","0","0","1","101131","60","101131","0","0","0","0","0","3","0","1","1","獵人弓","標準的木製弓。\n主要受到獵人們的喜愛，\n無論是射程或威力，\n都十分適合用來狩獵動物。","0","0","1","1","0","0","0","0"
"16","0","0","0","0","0","0","0","0","101161","60","101161","0","0","0","0","0","4","0","1","1","鋼之戟","士兵經常使用的戟。\n攻擊距離較長，且易於使用，\n所以經常被使用於戰鬥之中。","0","0","1","1","0","1","0","0"
"19","0","0","0","0","0","0","0","0","101191","60","101191","0","0","0","0","0","8","0","1","1","單手斧","小型單手斧。\n本來是要做為擲斧用的，\n但由於使用上非常方便，\n因此也被拿來當成近戰攻擊使用。","0","0","1","1","0","0","0","0"
"25","0","0","0","0","0","0","0","0","101251","60","101251","8","0","0","0","0","0","0","1","1","檀香之杖","以生長在神秘森林裡，\n名叫阿斯特賴亞檜木的檀木\n所削製而成的法杖。\n其散發的香氣能緩和傷者的心情。","0","0","1","1","0","0","0","0"
"28","0","0","0","0","0","0","0","0","101281","60","101281","0","0","0","0","0","2","0","2","1","皮革工作服","原本是工匠在穿的圍裙。\n上面的大口袋保留了原本的特徵。\n新人冒險者身上得攜帶的物品較多，\n所以這些口袋對他們來說非常重要。","0","50","2","1","0","0","0","0"
"37","0","0","0","0","0","0","0","0","101371","60","101371","1","0","0","0","0","0","0","2","1","旅行長袍","冒險者在最初時選擇的一套裝備。\n道具名稱蘊含了祝福冒險者\n踏出第一步的意思，\n因此名稱也成為賣點之一。","0","55","2","1","0","0","0","0"
"40","0","0","0","0","0","0","0","0","101401","60","101401","0","0","0","0","0","2","0","2","1","木製盾","以名為阿斯特賴亞雪松的針葉樹，\n所製作而成的盾。\n因為方便加工而且便宜，\n所以經常用在學生的模擬戰。","0","15","2","1","0","1","0","0"
"43","1","0","0","0","0","0","0","0","101431","60","101431","0","0","0","0","0","0","0","2","1","皮靴","即使不是冒險者也很喜歡的基本款。\n很輕，也很適合走路，\n穿得越久就會越合腳。","0","15","2","1","0","0","0","0"
"52","0","0","0","0","0","0","0","1","101521","60","101521","3","0","0","0","0","0","0","2","1","時尚貝雷帽","原本是畫家愛用的帽子，\n但因為很適合用來遮陽跟擋風，\n所以很受新手冒險者的歡迎。","0","0","2","1","0","0","0","0"
"55","0","0","0","0","0","0","0","0","101551","60","101551","0","0","0","0","0","3","0","2","1","幹勁手鍊","只要裝備之後，就會湧出幹勁的\n不可思議的手鍊。\n具有提升攻擊力的效果。","0","0","3","1","25","1","0","0"
"58","0","0","0","0","0","0","0","0","101581","60","101581","0","0","0","0","0","0","0","2","1","守護墜飾","有著四葉幸運草圖案的\n護身符。\n據說能夠帶來幸運，\n能保護持有者的安全。","0","0","3","1","50","1","0","0"
"61","0","0","0","0","0","0","0","1","101611","60","101611","3","0","0","0","0","0","0","2","1","氣魄手環","帶有魔力的手鍊。\n戴上之後氣魄就會高漲，\n有能使裝備者的魔法攻擊力\n提升的效果。","0","0","3","1","25","0","0","0"
"1","0","0","0","0","0","0","0","0","102011","160","102011","0","0","0","0","0","13","0","6","2","齒輪劍","刀刃與刀柄是用齒輪接合的\n一把很稀有的劍。\n這是由鐘錶商人與鐵匠所合作\n開發出來的武器。","0","30","6","1","0","0","0","0"
"1","0","0","0","0","0","0","0","0","102013","320","102013","0","0","0","0","0","27","0","14","2","湛藍之血","模仿某把獻給貴族的名劍\n所製造出來的一把劍。\n不僅兼具了外表的美觀，\n銳利度也很不錯，實用性相當高。","0","60","9","1","0","0","0","0"
