6c4e15e33799146e6246870319dc2c331e1a732e27e5c6217874f953d23dd673,35776e1134a91de2d770c28cddb17a3358acb96564f5e01a45412fd5b96f3ba6,f7cb8a8ab6f542be38ff6fdd5b7b1feb6f276d7dda3fca0d4286d510b9f96b06,2b67bf7fa3a55b4d85b4cc97e0fd7f1b1fd6b84f41a8065d2fbb8e63aa143afd,302eccc2327609db129a577086b34a143f5063708d5d49179cbc60031383ec6d,74655d98eaa34cadf14778436d940d91c4ecdceccb084bf5a41f4438903bfab1,2beb0f0a5236f3be650335620b070f7dc41a119699a8686ed34d43a858dd9dc4,2c3b3f32500744a661501dab4b20a476d47baeaefcabf20f60a1ad3b695b28d2,e9a3e7fe6fb0a392f236c8bdd60f4d3ffd16c3c84ec438b11c29865fe4e7ae22,fbe5d82f6be7d86ea9c843fda8f16fb2bbcff1c69110726efeb0cf81e58b537b
"1","","2","1010001","0","1","0","vo_10011600","0","vo_10011600_0101"
"1","　從明天開始","1","1010002","0","2","8","0","0","0"
"1","","4","1010003","1.625","3","0","0","1","0"
"1","就要入學聖德蕾莎女學院了！","1","1010004","0","4","10","0","0","0"
"1","","4","1010005","4","5","0","0","1","0"
"1","","2","1010006","0","6","0","vo_10011600","0","vo_10011600_0102"
"1","　為什麼","1","1010007","0","7","8","0","0","0"
"1","","4","1010008","1.375","8","0","0","1","0"
"1","事情會變成這個樣子呢？\n","1","1010009","0","9","9","0","0","0"
"1","","4","1010010","3.33333333333333","10","0","0","1","0"
"1","","2","1010011","0","11","0","vo_10011600","0","vo_10011600_0103"
"1","雖然美里老師","1","1010012","0","12","8","0","0","0"
"1","","4","1010013","1.75","13","0","0","1","0"
"1","說我一定沒問題的……","1","1010014","0","14","10","0","0","0"
"1","","4","1010015","3","15","0","0","1","0"
"1","但是我一定辦不到啊～！\n","1","1010016","0","16","8","0","0","0"
"1","","4","1010017","3.875","17","0","0","1","0"
"1","","2","1010018","0","18","0","vo_10011600","0","vo_10011600_0104"
"1","可是。","1","1010019","0","19","8","0","0","0"
"1","","4","1010020","2.375","20","0","0","1","0"
"1","可是……","1","1010021","0","21","8","0","0","0"
"1","","4","1010022","2.5","22","0","0","1","0"
"1","","2","1010023","0","23","0","vo_10011600","0","vo_10011600_0105"
"1","可是、","1","1010024","0","24","8","0","0","0"
"1","","4","1010025","1.375","25","0","0","1","0"
"1","如果、","1","1010026","0","26","8","0","0","0"
"1","","4","1010027","1.5","27","0","0","1","0"
"1","我可以在聖德蕾莎女學院好好努力。\n\n","1","1010028","0","28","8","0","0","0"
"1","","4","1010029","4.875","29","0","0","1","0"
"1","","2","1010030","0","30","0","vo_10011600","0","vo_10011600_0106"
"1","……是不是就能","1","1010031","0","31","6","0","0","0"
"1","","4","1010032","1.58333333333333","32","0","0","1","0"
"1","交到朋友呢？","1","1010033","0","33","8","0","0","0"
"1","","4","1010034","1.75","34","0","0","1","0"
"2","","2","1020001","0","1","0","vo_10011600","0","vo_10011600_0201"
"2","　一想到要用「日安」向別人打招呼，","1","1020002","0","2","8","0","0","0"
"2","","4","1020003","2.375","3","0","0","1","0"
"2","我孤單的心靈就會緊張到怦怦狂跳。\n","1","1020004","0","4","8","0","0","0"
"2","","4","1020005","4","5","0","0","1","0"
"2","","2","1020006","0","6","0","vo_10011600","0","vo_10011600_0202"
"2","不過，","1","1020007","0","7","8","0","0","0"
"2","","4","1020008","1.125","8","0","0","1","0"
"2","此時BB團團長卻突然現身！","1","1020009","0","9","8","0","0","0"
"2","","4","1020010","3.75","10","0","0","1","0"
"2","","2","1020011","0","11","0","vo_10011600","0","vo_10011600_0203"
"2","　BB團的羈絆","1","1020012","0","12","8","0","0","0"
"2","","4","1020013","1.875","13","0","0","1","0"
"2","不管走到哪裡都不會改變呢！\n","1","1020014","0","14","8","0","0","0"
"2","","4","1020015","3.75","15","0","0","1","0"
"2","","2","1020016","0","16","0","vo_10011600","0","vo_10011600_0204"
"2","然後，","1","1020017","0","17","8","0","0","0"
"2","","4","1020018","1","18","0","0","1","0"
"2","我認識了和那個人一起來到","1","1020019","0","19","8","0","0","0"
