eb26f2aa7b75ea68ec37502fd8b261660e78ffd9d1750d3cb4a42315434a414c,0c429e045b5939710d638a5fc24ef2f316f19d6d3cad365638eed6f7be9c235b,488e13901131cc117963559b9952b31f2cc2eed4bd504485ffeaf3821671f466,3f94a1d56b9bc878fe9a4e6326ec16b193386383cc8b9e98d1751d3ce8218315,decbc8de376dda0557595b3aeb61f0d55e185a5151a8e2ec5a4e99ea70ea914a,a418f5bc98afad24b0a5098c158f3901dc5df128a516a0c27fb3780de779ad0a,f275f469607f366805b866b22d6c4add7df141c0676ebc9fbb645cd7b5480ca9,785b0627f782cecd751a8b4d1408a8962fc79a75e86ef712068f1069717c8dfb,e14b064b94c1ac45cad1e42b345102c6f911b49c5efb79c40ef170babe35fc4b,be01287148803ec1459e176ceb3cf8f6f3a4c885a4113c760427527028df19bd,a7f4cd3e55ae0525ad38a4c7beae2dcabcdf088619382853df699b442d4cf1df,16a8aee90aae9a49704dfee96c9279447698efa75891d952510e8b806770a216,d9cf9f692ed2906ae4245a358f435579ca66bf0009279d06b267ba9a5b3e420c
"提升攻擊力15％、\n提升攻擊速度10％。","0","0","2210101","小幅度提升攻擊力跟攻擊速度","10000101","0","100001","0","倭","2","0","130011"
"提升最大HP15％、\n提升攻擊速度10％。","0","0","2210201","小幅度提升最大HP跟攻擊速度","10000201","0","100002","0","若菜","2","0","130111"
"戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。","0","0","2210301","小幅度降低敵人的移動速度與攻擊速度","0","0","100003","0","布武機","2","0","130211"
"提升最大HP25％。","1","0","0","中幅度提升最大HP","10000401","0","100004","0","貪吃佩可","2","0","105811"
"戰鬥開始３秒內，\n使敵人的移動速度下降25％。","2","0","2210501","中幅度降低敵人的移動速度","0","0","100005","0","凱留","2","0","106011"
"提升COST上限50％。","3","0","0","大幅度提升COST","10000601","0","100006","0","可可蘿","2","0","105911"
"提升移動速度25％。","4","0","2210701","中幅度提升移動速度","0","0","100007","0","雪菲","3","0","106411"
"提升攻擊力15％、\n提升移動速度10％。","5","0","2210801","小幅度提升攻擊力跟移動速度","10000801","0","100008","0","莉莉","2","0","131311"
"提升最大HP15％、\n提升移動速度10％。","6","0","2210901","小幅度提升最大HP跟移動速度","10000901","0","100009","0","可璃亞","2","0","131411"
"提升COST上限25％、\n提升移動速度10％。","7","0","2211001","小幅度提升COST上限跟移動速度","10001001","0","100010","0","普蕾西亞","2","0","131511"
"提升攻擊力10％，\n戰鬥開始３秒內，提升攻擊速度15％。","8","0","2211101","小幅度提升攻擊力跟攻擊速度","10001101","0","100011","0","克蘿茜","2","0","126411"
"戰鬥開始３秒內，\n提升攻擊力25％。","9","0","2211201","中幅度提升攻擊力","0","0","100012","0","萊拉耶爾","3","0","126511"
"戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力25％。","10","0","2211301","提升攻擊速度跟攻擊力","0","0","100013","0","琳德","2","0","127711"
"戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","11","0","2211401","降低自身的攻擊速度與敵人的攻擊力","0","0","100014","0","烏爾姆","2","0","127811"
"提升COST上限25％、\n提升HP15％。","12","0","0","小幅度提升COST上限跟HP","10001501","0","100015","10001502","庫露露","3","0","130911"
"降低敵人的攻擊力跟攻擊速度10％。","13","0","2211601","小幅度降低對方的攻擊力跟攻擊速度","0","0","100016","0","安涅默涅","2","0","129611"
"戰鬥開始1.5秒內，\n使敵人的移動速度下降50％。","14","0","2211701","大幅度降低對方的移動速度","0","0","100017","0","涅妃‧涅羅","3","0","129711"
"剩餘HP在50％以下時發動。\n在３秒間射出斬擊，造成大幅度傷害。","0","0","3110101","射出斬擊攻擊敵人","0","1","101001","0","倭","1","0","130011"
"剩餘HP在70％以下時發動。\n尖刺兄弟會出現，要是撞到敵人\n會造成小幅度傷害，將其擊飛。","0","0","3110201","尖刺兄弟撞飛敵人","0","1","101002","0","若菜","1","0","130111"
"戰鬥開始３秒後發動。\n封鎖敵人的移動與攻擊１秒。","0","0","2110301","封鎖敵人的移動與攻擊１秒","0","1","101003","0","布武機","1","0","130211"
"提升最大HP15％。","0","0","0","提升最大HP","20101001","1","201010","0","貪吃佩可","2","0","105811"
"戰鬥開始３秒內，\n使敵人的移動速度下降15％。","0","0","2220201","降低敵方的移動速度","0","1","201020","0","凱留","2","0","106011"
"提升COST上限50％。","0","0","0","提升COST上限","20103001","1","201030","0","可可蘿","2","0","105911"
"提升移動速度15％。","0","0","2220401","提升移動速度","0","1","201040","0","雪菲","3","0","106411"
"提升攻擊力25％、\n提升移動速度10％。","0","0","2220501","提升攻擊力跟移動速度","20105001","1","201050","0","莉莉","2","0","131311"
"提升最大HP25％、\n提升移動速度10％。","0","0","2220601","提升最大HP跟移動速度","20106001","1","201060","0","可璃亞","2","0","131411"
"提升COST上限25％、\n提升移動速度10％。","0","0","2220701","提升COST上限跟移動速度","20107001","1","201070","0","普蕾西亞","2","0","131511"
"提升攻擊力25％，\n戰鬥開始３秒內，提升攻擊速度15％。","0","0","2220801","提升攻擊力跟攻擊速度","20108001","1","201080","0","克蘿茜","2","0","126411"
"戰鬥開始３秒內，\n提升攻擊力25％。","0","0","2220901","提升攻擊力","0","1","201090","0","萊拉耶爾","3","0","126511"
"戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力15％。","0","0","2221001","提升攻擊速度跟攻擊力","0","1","201100","0","琳德","2","0","127711"
"戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降15％。","0","0","2221101","降低自身的攻擊速度與敵人的攻擊力","0","1","201110","0","烏爾姆","2","0","127811"
"提升COST上限25％、\n提升HP50％。","0","0","0","提升COST上限跟HP","20112001","1","201120","20112002","庫露露","3","0","130911"
"降低敵人的攻擊力跟攻擊速度10％。","0","0","2221301","降低對方的攻擊力跟攻擊速度","0","1","201130","0","安涅默涅","2","0","129611"
"戰鬥開始1.5秒內，\n使敵人的移動速度下降25％。","0","0","2221401","降低對方的移動速度","0","1","201140","0","涅妃‧涅羅","3","0","129711"
"提升最大HP３0％。","0","0","0","提升最大HP","20115001","1","201150","0","貪吃佩可","2","0","105811"
"戰鬥開始３秒內，\n使敵人的移動速度下降20％。","0","0","2221601","降低敵方的移動速度","0","1","201160","0","凱留","2","0","106011"
"提升COST上限75％。","0","0","0","提升COST上限","20117001","1","201170","0","可可蘿","2","0","105911"
"提升移動速度20％。","0","0","2221801","提升移動速度","0","1","201180","0","雪菲","3","0","106411"
"提升攻擊力50％、\n提升移動速度15％。","0","0","2221901","提升攻擊力跟移動速度","20119001","1","201190","0","莉莉","2","0","131311"
"提升最大HP50％、\n提升移動速度15％。","0","0","2222001","提升最大HP跟移動速度","20120001","1","201200","0","可璃亞","2","0","131411"
"提升COST上限３0％、\n提升移動速度15％。","0","0","2222101","提升COST上限跟移動速度","20121001","1","201210","0","普蕾西亞","2","0","131511"
"提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度20％。","0","0","2222201","提升攻擊力跟攻擊速度","20122001","1","201220","0","克蘿茜","2","0","126411"
"戰鬥開始３秒內，\n提升攻擊力３0％。","0","0","2222301","提升攻擊力","0","1","201230","0","萊拉耶爾","3","0","126511"
"戰鬥開始３秒內，提升攻擊速度15％，\n然後提升攻擊力20％。","0","0","2222401","提升攻擊速度跟攻擊力","0","1","201240","0","琳德","2","0","127711"
"戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降20％。","0","0","2222501","降低自身的攻擊速度與敵人的攻擊力","0","1","201250","0","烏爾姆","2","0","127811"
"提升COST上限３0％、\n提升HP50％。","0","0","0","提升COST上限跟HP","20126001","1","201260","20126002","庫露露","3","0","130911"
"降低敵人的攻擊力跟攻擊速度15％。","0","0","2222701","降低對方的攻擊力跟攻擊速度","0","1","201270","0","安涅默涅","2","0","129611"
"戰鬥開始1.5秒內，\n使敵人的移動速度下降３5％。","0","0","2222801","降低對方的移動速度","0","1","201280","0","涅妃‧涅羅","3","0","129711"
"提升攻擊力50％、\n提升移動速度20％。","0","0","2222901","提升攻擊力跟移動速度","20129001","1","201290","0","莉莉","2","0","131311"
"戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力50％。","0","0","2223001","提升攻擊速度跟攻擊力","0","1","201300","0","琳德","2","0","127711"
"提升最大HP50％。","0","0","0","提升最大HP","20131001","1","201310","0","貪吃佩可","2","0","105811"
"戰鬥開始３秒內，\n使敵人的移動速度下降25％。","0","0","2223201","降低敵方的移動速度","0","1","201320","0","凱留","2","0","106011"
"提升COST上限100％。","0","0","0","提升COST上限","20133001","1","201330","0","可可蘿","2","0","105911"
"提升移動速度25％。","0","0","2223401","提升移動速度","0","1","201340","0","雪菲","3","0","106411"
"提升攻擊力50％、\n提升移動速度20％。","0","0","2223501","提升攻擊力跟移動速度","20135001","1","201350","0","莉莉","2","0","131311"
"提升最大HP50％、\n提升移動速度20％。","0","0","2223601","提升最大HP跟移動速度","20136001","1","201360","0","可璃亞","2","0","131411"
"提升COST上限50％、\n提升移動速度20％。","0","0","2223701","提升COST上限跟移動速度","20137001","1","201370","0","普蕾西亞","2","0","131511"
"提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度25％。","0","0","2223801","提升攻擊力跟攻擊速度","20138001","1","201380","0","克蘿茜","2","0","126411"
"戰鬥開始３秒內，\n提升攻擊力３5％。","0","0","2223901","提升攻擊力","0","1","201390","0","萊拉耶爾","3","0","126511"
"戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力25％。","0","0","2224001","提升攻擊速度跟攻擊力","0","1","201400","0","琳德","2","0","127711"
"戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","0","0","2224101","降低自身的攻擊速度與敵人的攻擊力","0","1","201410","0","烏爾姆","2","0","127811"
"提升COST上限50％、\n提升HP50％。","0","0","0","提升COST上限跟HP","20142001","1","201420","20142002","庫露露","3","0","130911"
"降低敵人的攻擊力跟攻擊速度20％。","0","0","2224301","降低對方的攻擊力跟攻擊速度","0","1","201430","0","安涅默涅","2","0","129611"
"戰鬥開始1.5秒內，\n使敵人的移動速度下降75％。","0","0","2224401","降低對方的移動速度","0","1","201440","0","涅妃‧涅羅","3","0","129711"
"提升最大HP100％。","0","0","0","提升最大HP","20145001","1","201450","0","貪吃佩可","2","0","105811"
"提升COST上限100％。","0","0","0","提升COST上限","20146001","1","201460","0","可可蘿","2","0","105911"
"提升攻擊力75％、\n提升移動速度３0％。","0","0","2224701","提升攻擊力跟移動速度","20147001","1","201470","0","莉莉","2","0","131311"
"戰鬥開始３秒內，\n提升攻擊力75％。","0","0","2224801","提升攻擊力","0","1","201480","0","萊拉耶爾","3","0","126511"
"戰鬥開始1.5秒內，\n使敵人的移動速度下降90％。","0","0","2224901","降低對方的移動速度","0","1","201490","0","涅妃‧涅羅","3","0","129711"
"提升最大HP200％。","0","0","0","提升最大HP","20150001","1","201500","0","貪吃佩可","2","0","105811"
