12662ff8c798f21fac6efe813d9f0e0fad02f1e58f394f561d2cd7289125f75d,4b69d83152419627ced91e8cbff52875fee3bee7ab5d998f8b0dda50ecdbe2aa,4d26bfff4e1e722b240235e65d851a463d294834826322fc13a185d3d336cd77,0663354e545cc1656d0881f532d7d4fdfe09b1eceb148260ce3d015f602231ac,93f6ef23c507b7b15964a531a48d9aff76f1bbde09bc5b3aedcd81dd280d2921,ad063327ef8171fb450b7a84f4e6c0ae5e41cd182cbed6540dffc94c68de427f,2bcf15e17e81a430ee663299c163a03ec3f2896ee779e6ddb55c51d1a511abe5,541d6327e20d2cd728f95377cba4b65b096fd1c9e0a288887914e57e268c8e95,85f406cb5fb5b5317eca244df08298314da325fc79474f8a08ce876d4c0b0513,bd5b3abf946c64900187226077d9c6be89d912f7c6da9b1125cf0db65e9f2061,69b3d06c399d0ec9ac82b20a16ad1a4c3ca5aa85bb659c3a52a8e8dd7346c266,8530ea84a3e3c910ff179ea010b4db4c17532b24e6fda71e0dfd9d4379c8484d
"342","0.05","0","37","0","0","0","0","0.025","1","33","29"
"333","0.05","0","36","0","0","0","0","0.025","2","32","28"
"324","0.05","0","35","0","0","0","0","0.025","3","31","27"
"315","0.05","0","34","0","0","0","0","0.025","4","30","26"
"306","0.05","0","33","0","0","0","0","0.025","5","29","25"
"297","0.05","0","32","0","0","0","0","0.025","6","28","24"
"288","0.05","0","31","0","0","0","0","0.025","7","27","23"
"279","0.05","0","30","0","0","0","0","0.025","8","26","22"
"270","0.05","0","29","0","0","0","0","0.025","9","25","21"
"261","0.05","0","28","0","0","0","0","0.025","10","24","20"
"252","0.05","0","27","0","0","0","0","0.025","11","23","19"
"243","0.05","0","26","0","0","0","0","0.025","12","22","18"
"234","0.05","0","25","0","0","0","0","0.025","13","21","17"
"225","0.05","0","24","0","0","0","0","0.025","14","20","16"
"216","0.05","0","23","0","0","0","0","0.025","15","19","15"
"207","0.05","0","22","0","0","0","0","0.025","16","18","14"
"198","0.05","0","21","0","0","0","0","0.025","17","17","13"
"189","0.05","0","20","0","0","0","0","0.025","18","16","12"
"180","0.05","0","19","0","0","0","0","0.025","19","15","11"
"171","0.05","0","18","0","0","0","0","0.025","20","14","10"
"161","0.05","0","17","0","0","0","0","0.025","21","13","9"
"152","0.05","0","16","0","0","0","0","0.025","22","12","8"
"143","0.05","0","15","0","0","0","0","0.025","23","11","7"
"134","0.05","0","14","0","0","0","0","0.025","24","10","6"
"125","0.05","0","13","0","0","0","0","0.025","25","9","5"
"116","0.05","0","12","0","0","0","0","0.025","26","8","4"
"107","0.05","0","11","0","0","0","0","0.025","27","7","3"
"101","0.05","0","10","0","0","0","0","0.025","28","6","2"
"1","0","0","0","0","0","0","0","0","29","0","0"
