350c2736ffd8ff2be936dd9a83336a11b966f198ff44a08272bdd5e65a999602,2c2a6744a5b2421f0b0f2369320b6ce4d9ef0a65d68695fea7d24ba141eea90c,f0c94135a20f189b98990741fce85056e0049410f45ae3b20da12445a838b6f0,754234af306326a46f376b4e05cad0e62b1b1fa2d5f4a4c3e24f5e5abd836053,c6f304f9098abc4b223d35127cd7b5f155d8622ec2877cc90877cbca628d997f,ea052cb414c4010a9c1b454c5e40201f50adad384f47c8365f7cadc02f5a8d87,634db7cced186011310f63e87a5f09e5a5e60b3c23cc1a9c34fccb64b0d228a5,ba5e5398feeb3a81175b35dc924d94d297de8a331fc1bb309ef892791096b8fb,1e8a477c1dc52c04e7549c0be34a8af1b55c07989d14e9b41f3d3821d6ef7b69,f6e42491ffd45fddb15491b5e8f6f6f99b782f35c736bfe874f105fb977246b0,3503863126a6fbed898c6b87e96011e5d4a55272f6c916ab7af8b7809e7fa8d7
"20011","105811","travel_topdrama_r_2000_idle_smile","-68","1","42","0.8","1","1200110001","101","1"
"20011","106011","travel_topdrama_r_2000_idle_sad_shy","-68","1","-42","0.8","1","1200110002","102","0"
"20011","0","mana","-75","5","0","1","0","1200110003","110","0"
"20011","","","","91","","","0","1200110004","",""
"20011","0","","","93","","","10","1200110005","",""
"20011","","","","101","","","1200110005","1200110006","",""
"20011","none","","","3","","0","0","1200110007","0",""
"20011","","","","91","","","0","1200110008","",""
"20012","103","","","13","","","105811","1200120001","",""
"20012","104","","","13","","","106011","1200120002","",""
"20012","travel_topdrama_r_2000_talk_smile_in","","1","3","travel_topdrama_r_2000_talk_smile_loop","0.2","105811","1200120003","0",""
"20012","vo_travel_talk_20001_00","","","21","0","","vo_travel_talk","1200120004","0",""
"20012","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","0","1","11","1","0","105811","1200120005","10","0"
"20012","","","","91","","","0","1200120006","",""
"20012","travel_topdrama_r_2000_idle_smile","","","3","","0.2","105811","1200120007","1",""
"20012","travel_topdrama_r_2000_talk_anger_shy","","1","3","","0.2","106011","1200120008","1",""
"20012","vo_travel_talk_20001_01","","","21","0","","vo_travel_talk","1200120009","0",""
"20012","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","0","1","11","1","0","106011","1200120010","10","0"
"20012","","","","91","","","0","1200120011","",""
"20012","travel_topdrama_r_2000_idle_sad_shy","","","3","","0.2","106011","1200120012","1",""
"20012","travel_topdrama_r_2000_talk_smile_in","","1","3","travel_topdrama_r_2000_talk_smile_loop","0.2","105811","1200120013","0",""
"20012","vo_travel_talk_20001_02","","","21","0","","vo_travel_talk","1200120014","0",""
"20012","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","0","1","11","1","0","105811","1200120015","10","0"
"20012","","","","91","","","0","1200120016","",""
"20012","travel_topdrama_r_2000_idle_smile","","","3","","0.2","105811","1200120017","1",""
"20012","","","","112","","","","1200120018","",""
"20012","","","","91","","","0","1200120019","",""
"20021","100211","travel_topdrama_r_2000_idle_normal","-68","1","42","0.8","1","1200210001","101","1"
