a46ec4a912005e5dd4c53e018c3ece62fe2ff28766bf03d02a1e3bea2ab4efcf,0c191f2b5230794e70f3be9c0f7a09e8777341ca209fe6eeed3b929103d8f3c1,3be23bc6592562baae7343685c4aeb72832ae890134cdd540a897c8e65537aff,3d59ffe96712947944a1683945c7c13e273b5ec457faffad858715a78dd9bb96,805e977f1887fb713a0a5e5aa8383eb3fe3691920bf7646f2b6251f606fb2369,1a53cb2ea0a9f73f925dfa3196bf1c579493814c7c6442b38fbe4c10f43532e9,7895a30b541962989ea4208357c5bc8ea74913b485ed67c899895ba77cdc9306,a7fab2141bceddc0391d3000485aff0820f66ee1623ed2b5aa7a528efd6411f1,642cf221da0d9977b4afcc8bf832cdb324c005849b4cd3012abcdbcb8b145408,249b9a2b5f41f365e3757ffbb70c2c4730e5467ee4f66de10ecf7300588f39fc,56905d43379586f665122190a8e707323d42d07d79fe109f50a3ed31cb044261,3f722f817665a240bd14624dc70d933f9eda8c5e474e17feb405bb21647fd134,541172e37a10f80e5eda52b44e29918d0ae4338fc4fbb804d1267eb5a04de861
"1","2030/01/01 14:59:59","100","任務嗎……\n剛剛好，\n我們就來賭一下\n能解決到哪裡吧。","2025/03/01 16:00:00","2.1","130011","3001100","2","0","-416.5","3001","倭"
"4","2030/01/01 14:59:59","101","雖然乖乖照別人指示\n去執行任務這種事，\n不合我的個性就是了……\n不過，就去收下報酬吧。","2025/03/01 16:00:00","5.68","130011","3001101","2","0","-416.5","3001","倭"
"1","2030/01/01 14:59:59","102","什麼事？\n要做的話就快點做完吧。\n布武機在抱怨說\n快點把要做的事情做完了喔。","2025/03/01 16:00:00","0","130011","3001102","1","0","-416.5","3001","倭"
"1","2030/01/01 14:59:59","100","咦～？你有事情要拜託我～？\n要怎麼辦才好呢～\n如果你能好好拜託我的話，\n我可以考慮幫你看看喔～？","2025/03/01 16:00:00","0","130211","3002100","1","0","-416.5","3002","布武機"
"1","2030/01/01 14:59:59","101","好啦好啦，\n你想要這個對吧～？\n真拿你沒辦法呢～\n雜碎哥～哥♡","2025/03/01 16:00:00","0","130211","3002101","1","0","-416.5","3002","布武機"
"5","2030/01/01 14:59:59","102","嘿～你想要嗎～？\n想要我重‧要‧的‧東‧西，\n啊哈哈！你在想什麼啊？\n你真是變態又可疑呢～ｗ","2025/03/01 16:00:00","8.53","130211","3002102","2","0","-416.5","3002","布武機"
"7","2030/01/01 14:59:59","103","什麼什麼～？\n難道說你又打算來求我了嗎？\n你雖然是那麼說，\n但是會不會其實只是想來見我吧～？","2025/03/01 16:00:00","5.67","130211","3002103","1","0","-416.5","3002","布武機"
"1","2030/01/01 14:59:59","104","雜碎哥哥\n你拜託人的方式只有一種嗎～？\n你不再拼命一點的話，\n是打動不了我的心的喔～","2025/03/01 16:00:00","0","130211","3002104","1","0","-416.5","3002","布武機"
"3","2030/01/01 14:59:59","300","我說啊～雜碎哥哥，\n你是不是有點～得意忘形了啊？\n你是不是把我當成\n什麼都會給你的好哄的人了啊？","2025/03/01 16:00:00","0","130211","3002300","3","0","-416.5","3004","布武機"
"7","2030/01/01 14:59:59","301","很遺憾～♪\n我已經不會給很煩人的哥哥任～何東西了～♡\n你真是丟臉呢～♪\n掰掰～♡","2025/03/01 16:00:00","0","130211","3002400","7","0","-416.5","3005","布武機"
"2","2030/01/01 14:59:59","200","呀哈哈，真的很拼命～♡\n哈～真有趣。\n因為讓我笑了所以可以喔～\n拿去吧，這是賞你的～♪","2025/03/01 16:00:00","4.4","130211","3003200","1","0","-416.5","3003","布武機"
"7","2030/01/01 14:59:59","201","哈～真拿你沒辦法呢～♡\n雜碎哥哥\n你真的有夠弱的，\n真丟臉呢～ｗ","2025/03/01 16:00:00","0","130211","3003201","7","0","-416.5","3003","布武機"
"1","2030/01/01 14:59:59","202","哥哥你沒有我在的話，\n真的非常雜碎呢～\n你要再多感謝我一點啊～♪","2025/03/01 16:00:00","5.6","130211","3003202","2","0","-416.5","3003","布武機"
