c8720ae06b2e3f990dec3699a82ab69c15e9046fb17027a886243e671ea899fa,f8f75ef373b0c5c09a1675d6003afb18a3f611979c76cf83927dbfb906ed4b73,07e0427d3ccf3c77668242f81f65272123a391605508d14e7ef843a427b6b6ea,1961becbd919b4240c2faf6ad52a4a7f492382d9b8439154e5dd30f90b5a0a61
"11100","9040001","0","1"
"107101","9050001","5","2"
"108101","9050001","5","3"
"108301","9050001","5","4"
"11100","9040002","0","5"
"11100","9040003","0","6"
"91001","9010001","0","7"
"91001","9020001","0","8"
"91002","9020001","0","9"
"11101","9040004","0","10"
"11102","9040005","0","11"
