d30e1185f27cbc4056a1c20a38f410aeb1c0cf7eefad6dae6e909cd8996d0d7c,7b4746e9d07862a78d39c15d348533cb6118805711f9b8ef5c19fc3f89fe7a33,f4f5085c86a8cf44c2195a2885a57f4885fa1bf35bf6acbe4895ad5b192c0572,159cc276e2b13526c2ec54ca54a5b1ddbac4848d35495cd59270c42d9ac23163,d852163c0cb087a1329068d219623157aa6b2a0add77eed48fa4adf613449db2,8ef9531f8553de2743af5c2cc507c3a6180c0dc4ee6085112626d87c7a058c72
"100111","0","0","100112","0","10011"
"100121","100124","100125","100122","100123","10012"
"100131","100134","100135","100132","100133","10013"
"100211","0","0","0","0","10021"
"100221","0","0","0","0","10022"
"100231","0","0","100232","0","10023"
"100311","0","0","0","0","10031"
"100321","0","0","0","0","10032"
"100331","100334","100335","100332","100333","10033"
"100411","0","0","100412","0","10041"
"100421","0","0","100422","0","10042"
"100431","0","0","100432","0","10043"
"100511","0","0","0","0","10051"
"100521","100524","100525","100522","100523","10052"
"100531","100534","100535","100532","100533","10053"
"110011","0","0","0","0","11001"
"110021","0","0","0","0","11002"
"110031","0","0","0","0","11003"
"110041","0","0","0","0","11004"
"110051","0","0","0","0","11005"
"120011","0","0","0","0","12001"
"120021","0","0","0","0","12002"
"120031","0","0","0","0","12003"
"120041","0","0","0","0","12004"
"120051","0","0","0","0","12005"
"130011","0","0","0","0","13001"
"130021","0","0","130022","0","13002"
"130031","0","0","0","0","13003"
"130041","0","0","130042","0","13004"
"130051","0","0","0","0","13005"
"140011","0","0","0","0","14001"
"140021","0","0","0","0","14002"
"140031","0","0","0","0","14003"
"140041","0","0","140042","0","14004"
"140051","0","0","140052","0","14005"
"150011","0","0","0","0","15001"
"150021","0","0","0","0","15002"
"150031","150034","150035","150032","150033","15003"
"150041","150044","150045","150042","150043","15004"
"150051","0","0","0","0","15005"
"210011","0","0","0","0","21001"
"210021","0","0","0","0","21002"
"210031","0","0","0","0","21003"
"210041","0","0","0","0","21004"
"210051","0","0","0","0","21005"
"220011","0","0","0","0","22001"
"220021","0","0","0","0","22002"
"220031","0","0","0","0","22003"
"220041","0","0","0","0","22004"
"220051","0","0","0","0","22005"
"230011","0","0","0","0","23001"
"230021","0","0","230022","0","23002"
"230031","0","0","0","0","23003"
"230041","0","0","230042","0","23004"
"230051","0","0","0","0","23005"
"240011","0","0","0","0","24001"
"240021","0","0","0","0","24002"
"240031","0","0","0","0","24003"
"240041","0","0","240042","0","24004"
"240051","0","0","240052","0","24005"
"250011","0","0","0","0","25001"
"250021","0","0","0","0","25002"
"250031","250034","250035","250032","250033","25003"
"250041","250044","250045","250042","250043","25004"
"250051","0","0","0","0","25005"
"300011","0","0","0","0","30001"
"310011","0","0","0","0","31001"
"310021","0","0","0","0","31002"
"310031","0","0","0","0","31003"
"310041","0","0","0","0","31004"
"310051","0","0","0","0","31005"
"310061","0","0","0","0","31006"
"320011","0","0","0","0","32001"
"320021","0","0","0","0","32002"
"320031","0","0","0","0","32003"
"320041","0","0","0","0","32004"
"320051","0","0","0","0","32005"
"320061","0","0","0","0","32006"
"330011","0","0","0","0","33001"
"330021","0","0","330022","0","33002"
"330031","0","0","0","0","33003"
"330041","0","0","330042","0","33004"
"330051","0","0","0","0","33005"
"330061","0","0","330062","0","33006"
"340011","0","0","0","0","34001"
"340021","0","0","0","0","34002"
"340031","0","0","0","0","34003"
"340041","0","0","340042","0","34004"
"340051","0","0","340052","0","34005"
"340061","0","0","0","0","34006"
"350011","0","0","0","0","35001"
"350021","0","0","0","0","35002"
"350031","350034","350035","350032","350033","35003"
"350041","350044","350045","350042","350043","35004"
"350051","0","0","0","0","35005"
"350061","0","0","0","0","35006"
"400011","0","0","400012","400013","40001"
"400021","0","0","0","0","40002"
"400031","0","0","0","0","40003"
"400041","400044","0","400042","400043","40004"
"400051","0","0","0","0","40005"
"400061","0","0","400062","400063","40006"
"400071","0","0","0","0","40007"
"400081","0","0","0","0","40008"
"400091","0","0","400092","0","40009"
"400101","0","0","0","0","40010"
"500011","0","0","500012","0","50001"
"500021","0","0","0","0","50002"
"500031","0","0","0","0","50003"
"500041","0","0","0","0","50004"
"500051","0","0","0","0","50005"
"500061","0","0","500062","0","50006"
"500071","500074","500075","500072","500073","50007"
"500081","0","0","0","0","50008"
"500091","0","0","500092","0","50009"
"500101","0","0","0","0","50010"
