8f7f9fe453b5a83c3ee8208d6b40697637071eedb79e72534fbaf5b975fac26b,3f54e08ecb204f69cd5c7b6b6a3a055f3fb8f785bcce897b0ae796c94923f755,2b802eb8c2f4f736b63e0548377f1350979f3bc1fc7f5d88536388b74324b544,b1096ace5df32966d7a29b75e27f90aec0829928e8c4c4873d7a6a2c1ea04134,a5f347e4d0a9b2091d8d7255c17b486a1cf280a23ad4d40509b908f542ada681,e12e312a5e5d0cdec6578a8aa6f03e6d41ecd8ff56e4463d87e7dca5e110b508,f7a5e9c5eee15d6a54a3288ad54b31aaf7e6b1bfe2430724a28661301deb1e3e
"1","810100101","810100104","810100105","810100102","810010011","810100103"
"2","810100201","810100204","810100205","810100202","810010021","810100203"
"3","810100301","810100304","810100305","810100302","810010031","810100303"
"4","810100401","810100404","810100405","810100402","810010041","810100403"
"5","810100501","810100504","810100505","810100502","810010051","810100503"
"6","810100601","810100604","810100605","810100602","810010061","810100603"
"7","810100701","810100704","810100705","810100702","810010071","810100703"
"8","810100801","810100804","810100805","810100802","810010081","810100803"
"9","810100901","810100904","810100905","810100902","810010091","810100903"
"10","810101001","0","0","0","810010101","0"
"11","810101101","810101104","810101105","810101102","810010111","810101103"
"12","810101201","810101204","810101205","810101202","810010121","810101203"
"13","810101301","810101304","810101305","810101302","810010131","810101303"
"14","810101401","810101404","810101405","810101402","810010141","810101403"
"15","810101501","810101504","810101505","810101502","810010151","810101503"
"16","810101601","810101604","810101605","810101602","810010161","810101603"
"17","810101701","810101704","810101705","810101702","810010171","810101703"
"18","810101801","810101804","810101805","810101802","810010181","810101803"
"19","810101901","810101904","810101905","810101902","810010191","810101903"
"20","810102001","0","0","0","810010201","0"
"21","810102101","810102104","810102105","810102102","810010211","810102103"
"22","810102201","810102204","810102205","810102202","810010221","810102203"
"23","810102301","810102304","810102305","810102302","810010231","810102303"
"24","810102401","810102404","810102405","810102402","810010241","810102403"
"25","810102501","810102504","810102505","810102502","810010251","810102503"
"26","810102601","810102604","810102605","810102602","810010261","810102603"
"27","810102701","810102704","810102705","810102702","810010271","810102703"
"28","810102801","810102804","810102805","810102802","810010281","810102803"
"29","810102901","810102904","810102905","810102902","810010291","810102903"
"30","810103001","0","0","0","810010301","0"
"31","810103101","810103104","810103105","810103102","810010311","810103103"
"32","810103201","810103204","810103205","810103202","810010321","810103203"
"33","810103301","810103304","810103305","810103302","810010331","810103303"
"34","810103401","810103404","810103405","810103402","810010341","810103403"
"35","810103501","810103504","810103505","810103502","810010351","810103503"
"36","810103601","810103604","810103605","810103602","810010361","810103603"
"37","810103701","810103704","810103705","810103702","810010371","810103703"
"38","810103801","810103804","810103805","810103802","810010381","810103803"
"39","810103901","810103904","810103905","810103902","810010391","810103903"
"40","810104001","0","0","0","810010401","0"
"41","810104101","810104104","810104105","810104102","810010411","810104103"
"42","810104201","810104204","810104205","810104202","810010421","810104203"
"43","810104301","810104304","810104305","810104302","810010431","810104303"
"44","810104401","810104404","810104405","810104402","810010441","810104403"
"45","810104501","810104504","810104505","810104502","810010451","810104503"
