f6266563d354d2c2c4c084c8278be8937dcb1ad6c372b02054c63ed128691970,15e68d64d6f43f2fbbd6a5c7f7d0f21100dd1b5e55a320a3fb702bf0dd024770,6672389dad39db0eeee520cf9f039e61e5ae52572b8198194c18f9ec64cb12fe,93604d9a0d73baece63507f31bd3ad7053ca6175d67073f637acd9082c052877,db87d7937a043a73f6c1e8f85754a71506c2cf037c33e33bb5cc8acb9ebe860c,eadbe2e0f1d488c9d07d13db36f84ffd175defecd9d62b9d61047756b50dfa48,4b853f0a7fc5fddf31ecbc78c108aa8e2d3b41289773e7a9d6ba3c5a9efba911,dea914308949d6353c24c6b0be66ac13875c86ad4bb94c62235e12543bc6e3d5,d7538fd7eb0a321fb12200bd598125ad6aebb23d2aec9655b14c7e0a34566a7c,84cef8d4eb6cfee4b38fe1a84008233912634eb5487616d35f111553ddd7b813
"2","8","22","","10001","15","-1","3","2","53003"
"1","5","22","","10002","1","14","3","1","53003"
"0","2","23","若菜的施捨","10003","0","0","3","0","52019"
"2","8","22","","10004","15","-1","4","2","53003"
"1","5","22","","10005","1","14","4","1","53003"
"0","2","23","若菜的施捨","10006","0","0","4","0","52019"
"2","8","22","","10007","15","-1","5","2","53003"
"1","5","22","","10008","1","14","5","1","53003"
"0","2","23","若菜的施捨","10009","0","0","5","0","52019"
"2","8","22","","10010","15","-1","6","2","53003"
"1","5","22","","10011","1","14","6","1","53003"
"0","2","23","若菜的施捨","10012","0","0","6","0","52019"
"2","8","22","","10013","15","-1","7","2","53003"
"1","5","22","","10014","1","14","7","1","53003"
"0","2","23","若菜的施捨","10015","0","0","7","0","52019"
"2","8","22","","10016","15","-1","8","2","53003"
"1","5","22","","10017","1","14","8","1","53003"
"0","2","23","若菜的施捨","10018","0","0","8","0","52019"
"2","8","22","","10019","15","-1","9","2","53003"
"1","5","22","","10020","1","14","9","1","53003"
"0","2","23","若菜的施捨","10021","0","0","9","0","52019"
