4bbf7eccd0203ee0e85d848fe966740f9f9013ced4f549dd4802a69d34340621,332f0318cc10b8c2bf38111073a4852079b439dd08ac26f5a30c781d4e85c261,2a73abbff47a681ff43158adfa164944c2f15184ec38b1d068d399e20a64dd27,c60e1fcff47419eb07c7dcddd287431799d63c589bab7b2affce32a77dbe7e42,23c53e9b5caaa1896f20f1ec5a841a830c290d46ba3a19cc8d49405b8b80dfb3,cc184f30b4143c27cedd6748d6629cc8c33bb16b4fe8cfc7ebe82b54736f4ace,b35934bed09ca71982de7331b0246809fbf9333d60bedfeba4369611e873d886,311d91519032e8b33a9a2670afb7a61d5b180a693d065069a17dd22a8ed591d3,409b6491fda52a3eecfead01ee01fb36d2e1b4e46ade21c36fae45762adbdca0,ba3ee6927698ea7b6fbd4177a68023b59406be5fb290eb3b4d897c5b02e4e0e2,dcddbfefdcdff31f4f38c049f34a51c3599135d9a5ef9d146aa3e8a2c4823be7,effc27a2ad3b908ae74fe2958a6498332aaa63620d4518dc9ae6cf22a9874858,4f59459698f1e4a637884fd4662d769be10597987b226fff2e08b4a2abe78305,3d907a271d94a38fd08a61372445c34187a215a0d5b86c30beef527b8f8a62ad
"-416.5","62","1","花凜","0","2","2025/06/01 16:00:00","1000001","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","3.414","2030/01/01 14:59:59","1","190801","1"
"-416.5","62","2","花凜","0","2","2025/06/01 16:00:00","1000002","將任務完成，\n並獲得獎勵吧！","3.099","2030/01/01 14:59:59","1","190801","1"
"-416.5","63","3","花凜","0","2","2025/06/01 16:00:00","1000003","似乎有能夠\n領取的獎勵了，\n請確認看看","2.801","2030/01/01 14:59:59","1","190801","1"
"-416.5","63","4","花凜","0","2","2025/06/01 16:00:00","1000004","能夠領取獎勵了！\n請檢查看看","0","2030/01/01 14:59:59","1","190801","2"
"-363","64","5","花凜","0","1","2025/06/01 16:00:00","1000005","這裡是公會管理協會！\n如果您持有活動獎勵券，就能夠交換各種道具哦","2.12","2030/01/01 14:59:59","1","190801","2"
"-363","64","6","花凜","0","2","2025/06/01 16:00:00","1000006","辛苦了！\n在這裡，能夠以活動獎勵券來換取道具哦","1.68","2030/01/01 14:59:59","1","190801","1"
"-363","64","7","花凜","0","1","2025/06/01 16:00:00","1000007","一直以來都很謝謝你！\n要交換獎勵嗎？\n那就以活動獎勵券來進行交換吧","2.33","2030/01/01 14:59:59","1","190801","2"
"-285","61","101","拉比林斯達","-6","7","2025/06/01 16:00:00","1020101","這次的敵人對我來說\n也是無法置之不理的存在\n少年，我也會全力以赴\n一起保護這個世界吧","5.18","2030/01/01 14:59:59","10201","133701","3"
"-285","61","201","克莉絲提娜","-2","2","2025/06/01 16:00:00","1020102","感覺到能消除無聊的\n戰鬥的氣息了啊，小子\n趕快帶我過去吧\n我會順手幫忙保護這個世界","8.77","2030/01/01 14:59:59","10201","133901","1"
"-285","61","301","似似花","0","1","2025/06/01 16:00:00","1020103","哦，需要我的力量……是嗎？\n格列戈爾會去幫忙的喔\n看你一臉想問我是不是不上場\n……我會考慮的","15.5","2030/01/01 14:59:59","10201","133801","6"
"-285","61","101","蘭法","0","5","2025/07/01 16:00:00","1020201","只屬於我的演唱……\n你願意一起尋找嗎……？\n有你在身邊……\n我就能更加努力……","9.061","2030/01/01 14:59:59","10202","134301","2"
"-285","61","201","千歌","0","2","2025/07/01 16:00:00","1020202","作為唱喚士，作為夥伴\n我都會盡我的全力\n……這些，都是\n多虧了你在背後推了我一把哦","7.699","2030/01/01 14:59:59","10202","134401","1"
"-285","61","101","碧","0","2","2025/08/01 16:00:00","1020301","世界和平由我跟克蘿茜肩負了對吧？\n雖然對我這種邊緣人來說有點沉重，\n但、但如果是兩個人的話，\n我會扛下來給你看的！","8.595","2030/01/01 14:59:59","10203","134601","1"
"-285","61","201","克蘿茜","0","2","2025/08/01 16:00:00","1020302","靠著這對新獲得的翅膀……\n無論騎士先生在哪裡，\n我都會馬上飛馳而去！\n克蘿茜‧航空軀體，出動！","7.758","2030/01/01 14:59:59","10203","134501","1"
"-285","61","101","露易絲瑪莉","0","6","2025/09/01 16:00:00","1020401","今天是和達令的第一次約會♪\n我們要一起逛街購物、然後……\n咦、我現在是通緝犯！？\n達、達令快救救我～！！","7","2030/01/01 14:59:59","10204","132302","2"
"-285","61","201","彩羽","0","2","2025/09/01 16:00:00","1020402","露易的奶奶人好溫柔、\n總是笑咪咪的，彩羽好喜歡她♪\n不過彩羽最喜歡的地方，\n還是那對超大超帥氣的角～♪","7.904","2030/01/01 14:59:59","10204","132402","1"
"-285","61","301","苑","0","2","2025/09/01 16:00:00","1020403","多虧望好不容易讓營收穩定下來，\n結果卻要暫停營業，損失好大。\n……不過，為了露易，\n就讓我來拚一把吧。彩羽我們走～","8.487","2030/01/01 14:59:59","10204","132502","4"
"-285","61","101","華音","0","2","2025/10/01 16:00:00","1020502","哦～呵呵♪\n能與本小姐呼吸一樣的空氣，\n你該感到十分幸運才是～♪\n哦～呵呵呵～♪","8.763","2030/01/01 14:59:59","10205","134901","1"
"-285","61","201","紡希","0","3","2025/10/01 16:00:00","1020503","要上囉，騎士先生！\n與華音一起同心協力……一起……\n……那個人到底是怎麼回事？\n我現在感到前所未有地不安耶！","6.417","2030/01/01 14:59:59","10205","134801","1"
"-285","61","101","厄莉絲","0","7","2025/11/01 16:00:00","1020601","「實現願望的海岸」嗎………\n分明可疑，阿賀斗紫布菜她們\n卻在悠閒嬉戲……真是看不下去。\n騎士先生就由我來保護。","10.335","2030/01/01 14:59:59","10206","135001","3"
"-285","61","201","雪菲","0","4","2025/11/01 16:00:00","1020602","難得的暑假，\n偶爾也在海灘上悠哉一下吧。\n……咦，難道說這個夏天，\n也沒辦法好好休息嗎？","6.281","2030/01/01 14:59:59","10206","135101","2"
"-285","61","301","普蕾西亞","0","2","2025/11/01 16:00:00","1020603","吃很多。吃飽飽。\n長、大大。\n應該，就能守護、正義。\n哥，一起。來吃、西瓜吧。","12.244","2030/01/01 14:59:59","10206","135201","1"
"-285","61","101","可璃亞","0","8","2025/12/01 16:00:00","1020701","一個夏日的冒險開始！\n安涅默涅小姐也能好好享受就好了。\n……可以的話，\n希望我們能再變得更要好一點……","6.339","2030/01/01 14:59:59","10207","135301","2"
"-285","61","201","安涅默涅","0","9","2025/12/01 16:00:00","1020702","──夢幻之花……\n是否真的存在還是個謎──不過。\n要我陪同一起去找，\n也不是不可以。","8.184","2030/01/01 14:59:59","10207","135401","7"
"-285","61","101","埃拉","0","2","2026/01/01 16:00:00","1020801","啊哈哈！笑口常開福氣自來！\n我相信只要保持笑容，\n即使是複製品世界也會迎來未來！\n妳說對吧，志那都！","3.906","2030/01/01 14:59:59","10208","129101","9"
"-285","61","201","志那都","0","2","2026/01/01 16:00:00","1020802","跨越反覆重置後的未來。\n無論許願幾次都無法求得的未來。\n……但我不會放棄的，絕對不會。\n妳也是對吧……埃拉？","14.465","2030/01/01 14:59:59","10208","129201","1"
"-285","61","301","日和","0","3","2026/01/01 16:00:00","1020803","埃拉的世界裡，\n大家也都拚命地活著……！\n……但是卻遇到了世界的危機！\n我一定、一定會幫上忙的！","8.662","2030/01/01 14:59:59","10208","100101","4"
"-285","61","401","怜","0","3","2026/01/01 16:00:00","1020804","志那都……另一個我。\n她珍視的這個世界，\n我絕對不會讓它迎來終結……！\n為了和她一同歡笑的未來！","10.915","2030/01/01 14:59:59","10208","100301","1"
"-285","61","101","雪野","0","7","2026/02/01 16:00:00","1020901","啊，你、你好……\n別、別一直盯著儂看。\n那個，儂會很害羞……\n身體會變熱，好像要融化了……","6.042","2030/01/01 14:59:59","10209","135802","1"
"-285","61","201","剎鬼","0","1","2026/02/01 16:00:00","1020902","為什麼我會變成幽靈……莫名其妙。\n這樣可是會死不瞑目呢。\n抱歉啦，但這也是某種緣分，\n請多指教啊，騎士公。","9.402","2030/01/01 14:59:59","10209","135903","4"
