3e1e2ccdd18f7a2c5a589167bb48ab449fb4be7ae96666345b5fb2406f99f42e,2cfc9a0adcc22a7cbcb13469b93a2dac0526fbd731132910f611356b21af9dfa,d538db1fd375b2cbbb2842563cdc1b1cdeddfbaff4ee80051a39d72b8d93e9f2,78630846129753a2aaad5fa84dfec6397d405b5ab00c7c558c548820f641e690
"11511","1","52007","1"
"11512","2","52007","2"
"100901","1","52009","1"
"100902","2","52009","2"
"11521","1","52011","1"
"11522","2","52011","2"
"11512","1","52023","1"
"11511","2","52023","2"
"11531","1","52036","1"
"11532","2","52036","2"
"11532","3","52036","3"
"11522","1","52041","1"
"11521","2","52041","2"
