60412deb138642f27dcff33831e32ae6ba00f1bb3f3c267068cf287668b2b16b,3f1edeae45ca7d86cbd3ceeb8ff0a4825ed155235478ab90dba43a19da3a779b,79caa6aeb71a0e92d5880d283675f72333b2aac30494c04330128ffbb0324cc3,6d80634d457ef9fc11c38ac88d66656d10e03120b558186d4130b3c771fdae99,2345c45b9396e0f78975f7b8767404913104d47a294fb7f365d7f8b6a90458b8,65ba8441208317486fbc4e56ccb1d04d93e6d017498b90b543acf1bdca54772c,f492c872daadce7fdbcab8f8e06833ddd82a24ad3bf453e6363e0ee1c70ce14d,b6bccc4d610001c19234c6df8a477792eef4c2ce56117f0788c6daa20787a2e2,6591df6b3507917082e84f6106b0f464e28de0d841a31221af6f70cfd678ae2f,33da9b8d7e17e7e620b344f532a93f4f8b580be04f85578ef2972fce64a97781,ea98ebcafdd34bbfa145d36debc50f20d89489b603481f61b7039a9339239075,740e09cd7f3c08a758598ff09146ad3b7457fde45aa1f86e7cd2c6233935c6c5,c6063eed3ed2341a821fe671bb03226bca66b4b3ef7b797f6cf9f39747b81d42
"第1張照片","0","0","0","1","10159115","10130011","1015901","0","10130","1","0","2024/03/01 16:00:00"
"第1則訊息","8","10130011","20","2","0","10130012","0","0","10130","1","91002","2024/03/01 16:00:00"
"以偉大的冒險者為目標","8","0","20","3","0","10130013","0","11001276","10130","8","91002","2024/03/04 05:00:00"
"第2張照片","0","10130011","0","1","0","10130021","0","0","10130","2","0","2024/03/02 05:00:00"
"第2則訊息","8","10130011","20","2","0","10130022","0","0","10130","1","91002","2024/03/01 16:00:00"
"第3張照片","0","10130021","0","1","0","10130031","0","0","10130","3","0","2024/03/02 05:00:00"
"第3則訊息","8","10130021","20","2","0","10130032","0","0","10130","2","91002","2024/03/02 05:00:00"
"第4張照片","0","10130031","0","1","0","10130041","0","0","10130","4","0","2024/03/03 05:00:00"
"第4則訊息","8","10130021","20","2","0","10130042","0","0","10130","2","91002","2024/03/02 05:00:00"
"第5張照片","0","10130041","0","1","0","10130051","0","0","10130","5","0","2024/03/03 05:00:00"
"第5則訊息","8","10130031","20","2","0","10130052","0","0","10130","3","91002","2024/03/02 05:00:00"
"第6張照片","0","10130051","0","1","0","10130061","0","0","10130","6","0","2024/03/04 05:00:00"
"第6則訊息","8","10130031","20","2","0","10130062","0","0","10130","3","91002","2024/03/02 05:00:00"
"第7張照片","0","10130061","0","1","0","10130071","0","0","10130","7","0","2024/03/04 05:00:00"
"第7則訊息","8","10130041","20","2","0","10130072","0","0","10130","4","91002","2024/03/03 05:00:00"
"第8則訊息","8","10130041","20","2","0","10130082","0","0","10130","4","91002","2024/03/03 05:00:00"
"第9則訊息","8","10130051","20","2","0","10130092","0","0","10130","5","91002","2024/03/03 05:00:00"
"第10則訊息","8","10130051","20","2","0","10130102","0","0","10130","5","91002","2024/03/03 05:00:00"
"第11則訊息","8","10130061","20","2","0","10130112","0","0","10130","6","91002","2024/03/04 05:00:00"
"第12則訊息","8","10130061","20","2","0","10130122","0","0","10130","6","91002","2024/03/04 05:00:00"
"第13則訊息","8","10130071","20","2","0","10130132","0","0","10130","7","91002","2024/03/04 05:00:00"
"第14則訊息","8","10130071","20","2","0","10130142","0","0","10130","7","91002","2024/03/04 05:00:00"
