89933f063bcbafbffdbc5a9925c3d3c1e5461f21c322d135d34000600e6cc3fb,fd91aa4913b4908901571a5238304b7d9f50bf59d4b3864ff2974521f7dba3de,1fe86e67ceb0c9887c79c1d7319d12f0f4e77990503ea860aee9ee67531c4c45,e76b0e85be74de472937f0dbf31688ea56a9449900177c0dc41acd547df70f7c,0e0a71e5a0fa013e45fa1dd313dde3bb27da203ecfd3f78dc43192427738961e,a222e60f8a7740f822ea4ff0d7724914461b9a1b92030fab8fafdc73fe3d615c,2b82a17b51757e9d54eb3d0b86b6fa1b6ca7a8b4ca632d76147c08acad4e0c1a,4142bd9a50083519133708fd1b1ec064a720ba34a86094ac4b6e89ba09bf0f6a
"13","2030-04-01 14:00:00","1000001","2020-06-22 16:00:00","190801","1000","準備了各式各樣的\n小遊戲哦！\n要遊玩哪個小遊戲呢？","0"
"13","2030-04-01 14:00:00","1000002","2020-06-22 16:00:00","190801","1000","介紹你有趣的小遊戲！\n你要遊玩哪個\n小遊戲呢？","0"
"13","2030-04-01 14:00:00","1001001","2020-06-22 16:00:00","190801","1001","這個賣\n{0}盧幣！\n請務必購買\n遊玩哦！","0"
"12","2030-04-01 14:00:00","1002001","2020-06-22 16:00:00","190801","1002","請點擊動來動去的愛心！\n來幫忙\n靜流和惠理子\n製作巧克力蛋糕吧！","0"
"11","2030-04-01 14:00:00","1003001","2020-06-22 16:00:00","190801","1003","請拉空花，\n讓她飛得越遠越好吧！\n利用各種事件讓空花\n得到絕頂體驗吧！","0"
"3","2030-04-01 14:00:00","1004001","2020-06-22 16:00:00","190801","1004","點擊左邊右邊，\n打倒奄美魔物吧！\n釋放！\n琉球犬大迴旋踢擊！","0"
"7","2030-04-01 14:00:00","1005001","2020-06-22 16:00:00","190801","1005","要不要點擊面板，\n和龍族巢穴的大家一起\n進行接龍對決？\n用韻腳把字詞連接起來吧！","0"
"2","2030-04-01 14:00:00","1006001","2020-09-01 16:00:00","190801","1006","配合老鼠靈敏的動作，\n點擊擊退牠吧！\n和充滿幹勁的鈴一起\n保護重要的起司吧！","0"
"4","2030-04-01 14:00:00","1007001","2021-01-06 16:00:00","190801","1007","這是美里與社員們的\n打擊特訓喔！\n以全壘打為目標，\n看準擊球時機把球打出去吧。","0"
"6","2030-04-01 14:00:00","1008001","2022-01-03 16:00:00","190801","1008","使用慈樂之音代幣\n來獲得加油道具吧！\n代幣可以用盧幣來交換喔。\n","0"
"13","2030-04-01 14:00:00","1009001","2022-04-25 16:00:00","190801","1009","試著在布丁筆記本中確認\n吃掉的布丁吧！\n布丁的材料可以使用\n盧幣購買喔。","0"
"4","2030-04-01 14:00:00","1010001","2022-08-01 16:00:00","190801","1010","小隊一起來挑戰謎題看看吧！\n看是要單獨試試自己的實力，還是要和多\n位夥伴一起遊玩，請選擇\n喜歡的模式吧♪","0"
"6","2030-04-01 14:00:00","1011001","2022-11-25 16:00:00","190801","1011","在3個回合內盡情奔馳，\n以綜合排名第１名為目標吧！\n各參加角色與GP的特徵，\n也是值得注目喔♪","0"
"6","2030-04-01 14:00:00","1012001","2024-01-17 16:00:00","190801","1012","跟凱留同學、鈴奈同學一起\n用猜謎來學習吧！\n放學後兩個人單獨待在教室……\n總覺得很令人怦然心動呢♪","0"
"6","2030-04-01 14:00:00","1013001","2024-08-15 16:00:00","190801","1013","開始行軍，出發討伐魔物！\n惠理子小姐和真琴小姐她們\n那可靠的背影，\n真是令新兵們十分景仰呢♪","0"
"6","2030-04-01 14:00:00","1014001","2025-03-15 16:00:00","190801","1014","跟蠻賊三姊妹一起\n挑戰戰車戰鬥！\n依照零件跟成員不同的搭配組合\n機器的特徵也會改變唷♪","0"
