1ae16a096d26a69951280d49b07410b1cb840e7ea41962280bbbbf5fe216f4b5,d3da93e06985d7b7cc52651a096225086bc3a3b4ca18f22691706f8421de872c,a704f60d667188a67628db9139df63d4f69fb706945e92ed955cb1cb8b5ee758,e5bfd3a0560fc16e06c017da433752f0d4ed34998e0d0416e7d9eac6d1ed4c7d,0b47db3c986c28d3914d3e64c6a4cf29ad5a3c7f047ff6e4fcadedcd1e8f0a88,991a659db6dcf5043a1be4dd98ffda18b043c1c7aa24b779c9afb8e04acf79d6,bb43837950d30542dd441353b0144c169d66808adbd04186077ed5fac3b3bfb0,ab78ef52f49b6bb03ae3bb541eeccf6d6f74a16db77ab980286013c3a385c7fc
"10000001","0","0","2018/01/01 15:00:00","101001","1","2030/01/01 23:59:59","冒險的啟程"
"10101001","58002001","0","2018/01/01 15:00:00","101002","1","2030/01/01 23:59:59","新手騎士"
"10101002","58002002","0","2018/01/01 15:00:00","101003","1","2030/01/01 23:59:59","勇敢的騎士"
"10101003","58002003","0","2018/01/01 15:00:00","101004","1","2030/01/01 23:59:59","公主騎士"
"10201001","56011001","0","2018/01/01 15:00:00","201001","2","2030/01/01 23:59:59","日和"
"10201002","56011002","0","2018/01/01 15:00:00","201002","2","2030/01/01 23:59:59","與日和的羈絆"
"10201003","56011003","0","2018/01/01 15:00:00","201003","2","2030/01/01 23:59:59","有困難的時候就互相幫助幫助"
"10201004","56011004","0","2018/01/01 15:00:00","201005","2","2030/01/01 23:59:59","優衣"
"10201005","56011005","0","2018/01/01 15:00:00","201006","2","2030/01/01 23:59:59","與優衣的羈絆"
"10201006","56011006","0","2018/01/01 15:00:00","201007","2","2030/01/01 23:59:59","又見到你了呢，騎士先生"
"10201007","56011007","0","2018/01/01 15:00:00","201009","2","2030/01/01 23:59:59","怜"
"10201008","56011008","0","2018/01/01 15:00:00","201010","2","2030/01/01 23:59:59","與怜的羈絆"
"10201009","56011009","0","2018/01/01 15:00:00","201011","2","2030/01/01 23:59:59","清廉克勤的劍士"
"10201010","56011010","0","2018/01/01 15:00:00","201013","2","2030/01/01 23:59:59","禊"
"10201011","56011011","0","2018/01/01 15:00:00","201014","2","2030/01/01 23:59:59","與禊的羈絆"
"10201012","56011012","0","2018/01/01 15:00:00","201015","2","2030/01/01 23:59:59","哥哥，來玩吧！"
"10201013","56011013","0","2018/01/01 15:00:00","201017","2","2030/01/01 23:59:59","茉莉"
"10201014","56011014","0","2018/01/01 15:00:00","201018","2","2030/01/01 23:59:59","與茉莉的羈絆"
"10201015","56011015","0","2018/01/01 15:00:00","201019","2","2030/01/01 23:59:59","熱血起來了～！"
"10201016","56011016","0","2018/01/01 15:00:00","201021","2","2030/01/01 23:59:59","茜里"
"10201017","56011017","0","2018/01/01 15:00:00","201022","2","2030/01/01 23:59:59","與茜里的羈絆"
"10201018","56011018","0","2018/01/01 15:00:00","201023","2","2030/01/01 23:59:59","甜蜜小惡魔"
"10201019","56011019","0","2018/01/01 15:00:00","201025","2","2030/01/01 23:59:59","宮子"
"10201020","56011020","0","2018/01/01 15:00:00","201026","2","2030/01/01 23:59:59","與宮子的羈絆"
"10201021","56011021","0","2018/01/01 15:00:00","201027","2","2030/01/01 23:59:59","把你變成布丁唷～"
"10201022","56011022","0","2018/01/01 15:00:00","201029","2","2030/01/01 23:59:59","雪"
"10201023","56011023","0","2018/01/01 15:00:00","201030","2","2030/01/01 23:59:59","與雪的羈絆"
"10201024","56011024","0","2018/01/01 15:00:00","201031","2","2030/01/01 23:59:59","完美無瑕的美麗"
"10201025","56011025","0","2018/01/01 15:00:00","201033","2","2030/01/01 23:59:59","杏奈"
"10201026","56011026","0","2018/01/01 15:00:00","201034","2","2030/01/01 23:59:59","與杏奈的羈絆"
"10201027","56011027","0","2018/01/01 15:00:00","201035","2","2030/01/01 23:59:59","疾風之冥姬"
"10201028","56011028","0","2018/01/01 15:00:00","201037","2","2030/01/01 23:59:59","真步"
"10201029","56011029","0","2018/01/01 15:00:00","201038","2","2030/01/01 23:59:59","與真步的羈絆"
"10201030","56011030","0","2018/01/01 15:00:00","201039","2","2030/01/01 23:59:59","神奇真步魔法靈咕嚕靈波～"
"10201031","56011031","0","2018/01/01 15:00:00","201041","2","2030/01/01 23:59:59","璃乃"
"10201032","56011032","0","2018/01/01 15:00:00","201042","2","2030/01/01 23:59:59","與璃乃的羈絆"
"10201033","56011033","0","2018/01/01 15:00:00","201043","2","2030/01/01 23:59:59","只屬於我的哥哥"
"10201034","56011034","0","2018/01/01 15:00:00","201045","2","2030/01/01 23:59:59","初音"
"10201035","56011035","0","2018/01/01 15:00:00","201046","2","2030/01/01 23:59:59","與初音的羈絆"
"10201036","56011036","0","2018/01/01 15:00:00","201047","2","2030/01/01 23:59:59","睡美人"
"10201037","56011037","0","2018/01/01 15:00:00","201049","2","2030/01/01 23:59:59","七七香"
"10201038","56011038","0","2018/01/01 15:00:00","201050","2","2030/01/01 23:59:59","與七七香的羈絆"
"10201039","56011039","0","2018/01/01 15:00:00","201051","2","2030/01/01 23:59:59","可愛到爆的超強魔法少女"
"10201040","56011040","0","2018/01/01 15:00:00","201053","2","2030/01/01 23:59:59","霞"
"10201041","56011041","0","2018/01/01 15:00:00","201054","2","2030/01/01 23:59:59","與霞的羈絆"
"10201042","56011042","0","2018/01/01 15:00:00","201055","2","2030/01/01 23:59:59","知性的美少女名偵探"
"10201043","56011043","0","2018/01/01 15:00:00","201057","2","2030/01/01 23:59:59","美里"
