99928a31a3e5d5e956eff7cabcdf7e9b89f772815fccef689488d56b68ec4ce6,02136f52a814c3331f9759994da0eb72bbad268af8ace0e1117823d73e382373,940186537e879ec30ef95c5835522159056784d8f2163c4d7632f42f66ab76a9,e0d2495ac67d26c4de8a8e8e22b0111c45c4b5ee602af759bebf38122c3de882,795c7584fd4df2d91bc0bcfed7763e6cd1c9513e77fa2e1f2d97b78fe2d8434b,105640d40ae91137e701397d13869c16bc6ed7ed19658c640e47b8d54c4f5a82,ac3848773e98ae2511e0629d30adef8f3af4bb1ba798db5691b2405d7600e05b
"2025/06/01 16:00:00","10201101","0","1","5201401","10201","10201101"
"2025/06/07 16:00:00","10201151","0","1","5201402","10201","10201102"
"2025/06/01 16:00:00","23","5201010","2","5201411","10201","10201201"
"2025/06/07 16:00:00","0","0","3","5201601","10201","10201401"
"2025/07/01 16:00:00","10202101","0","1","5202401","10202","10202101"
"2025/07/01 16:00:00","23","0","2","5202411","10202","10202201"
"2025/08/01 16:00:00","10203101","0","1","5203401","10203","10203101"
"2025/08/01 16:00:00","23","5203007","2","5203411","10203","10203201"
"2025/09/01 16:00:00","10204101","0","1","5204401","10204","10204101"
"2025/09/01 16:00:00","23","5204006","2","5204411","10204","10204201"
"2025/10/01 16:00:00","10205101","0","1","5205401","10205","10205101"
"2025/10/01 16:00:00","23","0","2","5205411","10205","10205201"
"2025/11/01 16:00:00","10206101","0","1","5206401","10206","10206101"
"2025/11/01 16:00:00","23","5206007","2","5206411","10206","10206201"
"2025/12/01 16:00:00","10207101","0","1","5207401","10207","10207101"
"2025/12/01 16:00:00","23","5207007","2","5207411","10207","10207201"
