453dd2aadae68b70bb2c76b0a85380de87f1cc896e0dbca34dc89a324bc1d055,fc1791aa86d1576378e53fc7d1f89e4eb520062c23274bc5a966e2ec65bd88d4,c9de9570992ec6c8744730eda8735d5833930fd438f85ad6208f168873c6fdb4
"106101","平常時","裝備中"
"106701","平常時","特殊技"
"106801","平常時","權能解放中"
"106901","平常時","特殊技"
"115801","平常時","變身中"
"116401","平常時","特殊技"
"118201","平常時","特殊技能"
"118501","平常時","特殊技"
"118601","平常時","特殊技能"
"120801","平常時","初次發動時"
"122001","平常時","特殊技"
"122301","平常時","共鬥中"
"122701","平常時","特殊技"
"123001","平常時","特殊技"
"125001","平常時","共鬥中"
"125801","平常時","特殊技能"
"126001","平常時","特殊技能"
"126101","平常時","特殊技能"
"126201","平常時","特殊技能"
"126401","平常時","【蓄電滿載】中"
"126501","平常時","特殊技能"
"129001","平常時","特殊技能"
"129301","平常時","特殊技能"
"129401","平常時","特殊技能"
"129501","平常時","初次發動時"
"129601","平常時","特殊技能"
"129701","平常時","特殊技能"
"130001","平常時","特殊技能"
"130101","平常時","特殊技能"
"131201","平常時","特殊技能"
"131801","平常時","特殊技能"
"132001","平常時","特殊技能"
"132101","平常時","鬼化中"
"132901","平常時","初次發動時"
"181201","平常時","特殊技能"
