bd64c162174933538d14ed92b9630b42bf25dd25021c70c23b626232ed2f71bd,576841795be1f04c682bbf89746a813da22b8a351e5e2274c34078f64b0529f1,3c7532bde30e5912ff19f1c983a4b5dcb84b3711e932f7eba59dd57f45d1fcc3,52c6276defbc677c42bc9cbe0bb25d5ecdc78ddbad86a37e3bfa360c69058d63,3e912d9145a8301a449ef15305c84426714ff6e73cc6c9143f15428649630fd0,2be9016a3c8701a7968bf558044249178fd9f06f7d4f6c972476553a5888749e,11a5100e7f3a8aa4624b7e5034231739bde26b62c8f514f5e01656be40e687b8,ec0e8f43438826a0f5b130684588d0e9560530281e4174916161510a3a541128,3b3c60106eb26392510b0dfed92e8f98c17101b9a1166a3a54809c97d2673773,5147fc49121c4c29bf2f9e884fc750bb2eec61ce6be14dedf9cfc7dd1da88586,0d57c9bd6e8d4098ee95c8a7c68e8d290a4a19c50ce781fdcfa16d143f33d5c9,0a17aaeb7993623bdac187e2c2e798778973cfc497b8a2d725664718a07157a4,f82b973ddf2e47ace784ca3924f636e90ef2dfb8539e24ec03cb49dae1efdb4f,50da5a4970c5d33ab55742830f03c2c25656de928b310d1daf71eca621ac7f4c,7be32183fe71bae63fbd32cc7efa520f9dfe5b4dc2a7c54984d65d68e17227d0,12a28b0f1e9377544ad4a72a98e85aa1955e7376ede859a96d7bf6fc03c0ad0f,604f320c2667cd20873d931292dd91dd0c67d32898fbea4e65d30fad25251d89,c2c3bc20da5f20243fc72840ffb74022cfbdd22b2207aaea42ee10f4a6d5f1d0
"8","0","150000","0","5","20","1","94002","1","22003","0","12","5","2","150","20003","2","91002"
"8","0","100000","0","9","15","2","94002","6","22003","0","12","2","2","145","20003","2","91002"
"8","0","80000","0","19","11","3","94002","10","22002","0","12","5","2","140","20003","2","91002"
"8","0","80000","0","29","10","4","94002","20","22002","0","12","5","2","130","20003","2","91002"
"8","0","70000","0","39","9","5","94002","30","22002","0","12","4","2","120","20003","2","91002"
"8","0","70000","0","49","8","6","94002","40","22002","0","12","4","2","110","20003","2","91002"
"8","0","60000","0","99","7","7","94002","50","22002","0","12","3","2","100","20003","2","91002"
"8","0","40000","0","499","2","8","94002","100","22002","0","12","2","2","80","20003","2","91002"
"8","0","20000","0","999","7","9","94002","500","22002","0","12","1","2","50","20002","2","91002"
"8","0","16000","0","4999","4","10","94002","1000","22001","0","12","3","2","20","20002","2","91002"
"8","0","9000","0","9999","3","11","94002","5000","22001","0","12","2","2","15","20002","2","91002"
"8","0","4000","0","11999","8","12","94002","10000","22001","0","12","1","2","10","20001","2","91002"
"8","0","3000","0","13999","7","13","94002","12000","22001","0","12","1","2","5","20001","2","91002"
"8","0","2000","0","14999","6","14","94002","14000","22001","0","12","1","2","4","20001","2","91002"
"8","0","1800","0","30000","5","15","94002","15000","22001","0","12","1","2","3","20001","2","91002"
