18f1e81bdfe6aa072a765b488330158b449f590191d6ffe6db8d98ad257b84f7,5b29cf839baafb2603a9e93dbc1d6b859fa10dc9258f4afecde442a8d9860ac1,40789d594de32ca72bc860e80b2229c363c8a499e12cd4cc3316216893241b84,5db711b6630594537bf474e047bd903e1ec9af63d2391d8cd1f993027d685a3c,fe74105f26060472b16a59fd58509fd070e1348336e678dc036ce1c93c0991f7,8940d01d8af697001ad9a523cd0821f9c770966cf1d066e47d80774f3f5ef61a
"1","15","1001","11001001","99001001","1"
"10","8","0","91002","99001001","2"
"1","15","1001","11001002","99001002","3"
"10","8","0","91002","99001002","4"
"1","15","1002","11001003","99001003","5"
"20","8","0","91002","99001003","6"
"1","15","1003","11001004","99001004","7"
"30","8","0","91002","99001004","8"
"1","15","1001","11001005","99001005","9"
"10","8","0","91002","99001005","10"
"1","15","1001","11001006","99001006","11"
"10","8","0","91002","99001006","12"
"1","15","1002","11001007","99001007","13"
"20","8","0","91002","99001007","14"
"1","15","1003","11001008","99001008","15"
"30","8","0","91002","99001008","16"
"1","15","1001","11001009","99001009","17"
"10","8","0","91002","99001009","18"
"1","15","1001","11001010","99001010","19"
"10","8","0","91002","99001010","20"
"1","15","1002","11001011","99001011","21"
"20","8","0","91002","99001011","22"
"1","15","1003","11001012","99001012","23"
"30","8","0","91002","99001012","24"
"1","15","1001","11001017","99001017","33"
"30","8","0","91002","99001017","34"
"1","15","1001","11001018","99001018","35"
"30","8","0","91002","99001018","36"
"1","15","1002","11001019","99001019","37"
"30","8","0","91002","99001019","38"
"1","15","1003","11001020","99001020","39"
"30","8","0","91002","99001020","40"
"0","15","1001","11001021","99001021","41"
"0","15","1002","11001022","99001022","42"
"1","15","1001","11001023","99001023","43"
"30","8","0","91002","99001023","44"
"1","15","1001","11001024","99001024","45"
"30","8","0","91002","99001024","46"
"1","15","1002","11001025","99001025","47"
"30","8","0","91002","99001025","48"
"1","15","1003","11001026","99001026","49"
"30","8","0","91002","99001026","50"
"1","15","1001","11001027","99001027","51"
"30","8","0","91002","99001027","52"
"1","15","1001","11001028","99001028","53"
"30","8","0","91002","99001028","54"
"1","15","1002","11001029","99001029","55"
"30","8","0","91002","99001029","56"
"1","15","1003","11001030","99001030","57"
"30","8","0","91002","99001030","58"
"1","15","1001","11001031","99001031","59"
"30","8","0","91002","99001031","60"
"1","15","1001","11001032","99001032","61"
"30","8","0","91002","99001032","62"
"1","15","1002","11001033","99001033","63"
"30","8","0","91002","99001033","64"
"1","15","1003","11001034","99001034","65"
"30","8","0","91002","99001034","66"
"0","15","1001","11001039","99001039","75"
"0","15","1002","11001040","99001040","76"
"0","15","1003","11001041","99001041","77"
"1","15","1001","11001042","99001042","78"
"30","8","0","91002","99001042","79"
"1","15","1001","11001043","99001043","80"
"30","8","0","91002","99001043","81"
"1","15","1002","11001044","99001044","82"
"30","8","0","91002","99001044","83"
"1","15","1003","11001045","99001045","84"
"30","8","0","91002","99001045","85"
"1","15","1001","11001046","99001046","86"
"1","15","1001","11001050","99001046","87"
"30","8","0","91002","99001046","88"
"1","15","1001","11001047","99001047","89"
"30","8","0","91002","99001047","90"
"1","15","1002","11001048","99001048","91"
"30","8","0","91002","99001048","92"
"1","15","1003","11001049","99001049","93"
"30","8","0","91002","99001049","94"
"1","15","1001","11001051","99001051","95"
"30","8","0","91002","99001051","96"
"1","15","1001","11001052","99001052","97"
"30","8","0","91002","99001052","98"
"1","15","1002","11001053","99001053","99"
"30","8","0","91002","99001053","100"
"1","15","1003","11001054","99001054","101"
"30","8","0","91002","99001054","102"
"1","15","1001","11001055","99001055","103"
"30","8","0","91002","99001055","104"
"1","15","1001","11001056","99001056","105"
"30","8","0","91002","99001056","106"
"1","15","1002","11001057","99001057","107"
"30","8","0","91002","99001057","108"
"1","15","1003","11001058","99001058","109"
"30","8","0","91002","99001058","110"
"1","15","1001","11001059","99001059","111"
"30","8","0","91002","99001059","112"
"1","15","1001","11001060","99001060","113"
"30","8","0","91002","99001060","114"
"1","15","1002","11001061","99001061","115"
"30","8","0","91002","99001061","116"
"1","15","1003","11001062","99001062","117"
"30","8","0","91002","99001062","118"
"1","15","1001","11001063","99001063","119"
"30","8","0","91002","99001063","120"
"1","15","1001","11001064","99001064","121"
"30","8","0","91002","99001064","122"
"1","15","1002","11001065","99001065","123"
"30","8","0","91002","99001065","124"
"1","15","1003","11001066","99001066","125"
"30","8","0","91002","99001066","126"
"1","15","1001","11001067","99001067","127"
"30","8","0","91002","99001067","128"
"1","15","1001","11001068","99001068","129"
"30","8","0","91002","99001068","130"
"1","15","1002","11001069","99001069","131"
"30","8","0","91002","99001069","132"
"1","15","1003","11001070","99001070","133"
"30","8","0","91002","99001070","134"
"0","15","1001","11001071","99001071","135"
"0","15","1002","11001072","99001072","136"
"0","15","1003","11001073","99001073","137"
"1","15","1001","11001074","99001074","138"
"30","8","0","91002","99001074","139"
"1","15","1001","11001075","99001075","140"
"30","8","0","91002","99001075","141"
"1","15","1002","11001076","99001076","142"
"30","8","0","91002","99001076","143"
"1","15","1003","11001077","99001077","144"
"30","8","0","91002","99001077","145"
"1","15","1001","11001078","99001078","146"
"30","8","0","91002","99001078","147"
"1","15","1001","11001079","99001079","148"
"30","8","0","91002","99001079","149"
"1","15","1002","11001080","99001080","150"
"30","8","0","91002","99001080","151"
"1","15","1003","11001081","99001081","152"
"30","8","0","91002","99001081","153"
"1","15","1001","11001082","99001082","154"
"30","8","0","91002","99001082","155"
"1","15","1001","11001083","99001083","156"
"30","8","0","91002","99001083","157"
"1","15","1002","11001084","99001084","158"
"30","8","0","91002","99001084","159"
"1","15","1003","11001085","99001085","160"
"30","8","0","91002","99001085","161"
"0","15","1001","11001086","99001086","162"
"0","15","1002","11001087","99001087","163"
"0","15","1002","11001088","99001088","164"
"0","15","1002","11001089","99001089","165"
"0","15","1003","11001090","99001090","166"
"1","15","1001","11001091","99001091","167"
"30","8","0","91002","99001091","168"
"1","15","1001","11001092","99001092","169"
"30","8","0","91002","99001092","170"
"1","15","1002","11001093","99001093","171"
"30","8","0","91002","99001093","172"
"1","15","1003","11001094","99001094","173"
"30","8","0","91002","99001094","174"
"1","15","1001","11001095","99001095","175"
"30","8","0","91002","99001095","176"
"1","15","1001","11001096","99001096","177"
"30","8","0","91002","99001096","178"
"1","15","1002","11001097","99001097","179"
