29de391532f05d745c0149b9d47ecaed08819d6037a2cdef6720af5cf07a11ca,c9452eeacd760ae1ddf83231021b78896debc8b917e5afe23a866ac4699a693a,ac30178de56a2ce2c44cdbd34113f847e85eecf8d05e00cc7b3b5345a677c3a7,a8c50112d95f46075e05d2aafa7c15b09494eea7a337527972c040213c9b69d5,e0931eb60ff08c66ddafa4954828a0556b80a1f2cb190ac76bb90f644e9ea755,55999cbcd3b5d5bc8dbe1b4afacde16154b905c5d06919d319b43ee9f2b87d28,8ac079fc54d87152cef65ce7d268a3b1805fddfe5df81d42b7290461390d3185,f119cbd8ca522ee186e4146659b66800915fe15903a485c992d78a6e9ad007ac,a00ade99ebfb162af32f1963e9d9d7399ba22b71480ba0a64cb218c1a2951b48,27c2e7a81d80c1c877e787db957dc7477f7b6698c80c2529e398ab22b495dae9,904bb87b41e1860bc1a2c5f41b082d705d2b483c0c0512aa7b5572f492338e19
"1","115","0","111831","101","-100","-150","1","1.5","101001","nop_idle_joy1"
"1","114","1","120731","101","100","-150","1","1.5","101002","nop_idle_normal_joy"
"1","111","0","120831","101","-215","-127","1","1.5","101003","nop_idle_arm_crossed"
"1","110","1","111931","101","215","-127","1","1.5","101004","nop_idle_normal"
"1","113","0","120931","101","-330","-150","1","1.5","101005","nop_idle_thinking"
"1","112","1","112031","101","330","-150","1","1.5","101006","nop_idle_normal"
"1","115","0","108731","102","-100","-150","1","1.5","102001","nop_idle_joy1"
"1","114","1","108831","102","100","-150","1","1.5","102002","nop_idle_joy_normal"
"1","111","0","108931","102","-215","-127","1","1.5","102003","nop_idle_normal"
"1","113","0","102011","103","-100","-135","1","1.5","103001","nop_idle_joy1"
"1","115","0","100411","103","-215","-150","1","1.5","103002","nop_idle_normal"
"1","114","1","103631","103","100","-143","1","1.5","103003","nop_idle_wish"
"1","115","0","101231","104","-100","-150","1","1.5","104001","nop_idle_normal"
"1","114","1","104011","104","100","-150","1","1.5","104002","nop_idle_normal"
"1","111","0","101511","104","-215","-127","1","1.5","104003","nop_idle_normal"
"1","113","0","103111","105","-100","-135","1","1.5","105001","nop_idle_normal"
"1","111","1","102211","105","100","-135","1","1.5","105002","nop_idle_sad"
"1","115","0","100711","105","-215","-150","1","1.5","105003","nop_05_miyako_idle_normal"
"1","112","1","100611","105","215","-150","1","1.5","105004","nop_idle_joy1"
"5","114","1","2051","105","-25","-135","1","1.5","105005","nop_skull_idle"
"1","115","0","104731","106","-215","-150","1","1.5","106001","nop_idle_arm_crossed"
"1","114","1","107131","106","215","-150","1","1.5","106002","nop_idle_arm_crossed"
"1","111","0","103731","106","-100","-135","1","1.5","106003","nop_idle_normal"
"1","110","1","100511","106","100","-135","1","1.5","106004","nop_idle_joy1"
"1","115","0","102831","107","-100","-150","1","1.5","107001","nop_idle_normal"
"1","114","1","102111","107","100","-150","1","1.5","107002","nop_idle_normal"
"1","111","0","102511","107","-215","-127","1","1.5","107003","nop_idle_normal"
"1","110","1","102311","107","215","-127","1","1.5","107004","nop_idle_normal"
"1","115","0","101011","108","-100","-150","1","1.5","108001","nop_idle_joy_normal"
"1","114","1","104331","108","100","-150","1","1.5","108002","nop_idle_arm_crossed"
"1","111","0","101711","108","-215","-127","1","1.5","108003","nop_idle_joy1"
"1","110","1","101431","108","215","-127","1","1.5","108004","nop_idle_normal"
"1","115","0","103311","109","-100","-150","1","1.5","109001","nop_idle_joy1"
"1","111","0","105211","109","-215","-127","1","1.5","109002","nop_idle_joy_normal"
"1","114","1","102611","109","100","-150","1","1.5","109003","nop_idle_sad2"
"1","110","1","103811","109","215","-127","1","1.5","109004","nop_idle_normal"
"1","115","0","103231","110","-100","-150","1","1.5","110001","nop_idle_joy1"
"1","110","1","103411","110","215","-127","1","1.5","110002","nop_10_yukari_02"
"5","111","1","11","110","215","-127","1","1.5","110003","nop_10_yukari_02"
"1","114","1","104811","110","100","-150","1","1.5","110004","nop_idle_doya"
"1","111","0","104611","110","-215","-127","1","1.5","110005","nop_idle_joy_normal"
"1","115","0","100911","111","-100","-150","1","1.5","111001","nop_11_anna_idle_arm_crossed"
"1","114","1","101311","111","100","-150","1","1.5","111002","nop_idle_joy_normal"
"1","111","0","102711","111","-215","-127","1","1.5","111003","nop_11_eriko_idle_wish"
"1","110","1","105111","111","215","-127","1","1.5","111004","nop_idle_normal"
"1","115","1","101831","112","100","-143","1","1.5","112001","nop_idle_joy1"
"1","110","0","101611","112","-100","-135","1","1.5","112002","nop_idle_joy_normal"
"1","114","0","105011","112","-215","-150","1","1.5","112003","nop_idle_joy_normal"
"1","113","1","105331","113","100","-150","1","1.5","113001","nop_idle_normal_joy"
"1","114","0","104511","113","-100","-150","1","1.5","113002","nop_13_kuka_idle_memory2"
"1","110","0","103031","113","-215","-127","1","1.5","113003","nop_idle_joy1"
"1","111","0","100811","113","-330","-150","1","1.5","113004","nop_idle_thinking"
"1","115","1","105511","113","240","-150","1","1.5","113005","nop_idle_sad"
"1","115","1","106831","114","100","-150","1","1.5","114001","nop_idle_normal"
"1","114","0","101131","114","-100","-150","1","1.5","114002","nop_idle_normal"
"1","110","0","104931","114","-215","-127","1","1.5","114003","nop_idle_normal"
"1","115","1","102931","115","100","-143","1","1.5","115001","nop_idle_joy1"
"1","110","0","104211","115","-100","-135","1","1.5","115002","nop_idle_wish"
"1","114","0","105411","115","-215","-150","1","1.5","115003","nop_idle_normal"
"1","115","1","106731","116","100","-150","1","1.5","116001","nop_idle_normal"
"1","114","0","106631","116","-100","-150","1","1.5","116002","nop_idle_joy1"
"1","110","0","106531","116","-215","-127","1","1.5","116003","nop_16_kaya_idle_normal2"
"5","116","1","2","116","180","-150","1","1.5","116004","nop_rago_idle"
"1","115","1","111031","117","100","-150","1","1.5","117001","nop_idle_normal"
"1","114","0","110931","117","-100","-150","1","1.5","117002","nop_idle_joy2"
"1","110","0","110831","117","-215","-127","1","1.5","117003","nop_17_chloe_idle_normal2"
"5","115","0","1","117","-100","-150","1","1.5","117004","NoItem_idle"
"1","115","1","114711","118","-100","-150","1","1.5","118001","nop_18_muimi_idle_joy_normal"
"1","114","0","118511","118","100","-150","1","1.5","118002","nop_18_karin_idle_normal"
