0ed1443954db87df1c0ddb38c900ac38e3e014449c798ffc071d49a2d3d07f1e,1f5a9853b5db3392d852635c4a9be9ba6b39b668bc1d87a1256f3201b59693b4,c3a1df49c2adfc1660ece7b6a6fbd173cf1045a1abe21585f642599d9f59401d,773d4a9aae98d4754ca75e1bcae0e00a8f699f9c63150c1e62eec95a0c86e874,d5346d9edfbce4332527321def355cbb9a3dbce4cae7aac01aebf9a7f7d1ee49
"150","1","1038","0","1"
"151","2","1038","0","2"
"152","3","1038","0","3"
"153","4","1038","0","4"
"154","5","1038","0","5"
"156","6","1039","0","1"
"157","7","1039","0","2"
"158","8","1039","0","3"
"159","9","1039","0","4"
"160","10","1039","0","5"
"162","11","1040","0","1"
"163","12","1040","0","2"
"164","13","1040","0","3"
"165","14","1040","0","4"
"166","15","1040","0","5"
"168","16","1041","0","1"
"169","17","1041","0","2"
"170","18","1041","0","3"
"171","19","1041","0","4"
"172","20","1041","0","5"
"174","21","1042","0","1"
"175","22","1042","0","2"
"176","23","1042","0","3"
"177","24","1042","0","4"
"178","25","1042","0","5"
"180","26","1043","0","1"
"181","27","1043","0","2"
"182","28","1043","0","3"
"183","29","1043","0","4"
"184","30","1043","0","5"
"186","31","1044","0","1"
"187","32","1044","0","2"
"188","33","1044","0","3"
"189","34","1044","0","4"
"190","35","1044","0","5"
"192","36","1045","0","1"
"193","37","1045","0","2"
"194","38","1045","0","3"
"195","39","1045","0","4"
"196","40","1045","0","5"
"198","41","1046","0","1"
"199","42","1046","0","2"
"200","43","1046","0","3"
"201","44","1046","0","4"
"202","45","1046","0","5"
"204","46","1047","0","1"
"205","47","1047","0","2"
"206","48","1047","0","3"
"207","49","1047","0","4"
"208","50","1047","0","5"
"210","51","1048","0","1"
"211","52","1048","0","2"
"212","53","1048","0","3"
"213","54","1048","0","4"
"214","55","1048","0","5"
"216","56","1049","0","1"
"217","57","1049","0","2"
"218","58","1049","0","3"
"219","59","1049","0","4"
"220","60","1049","0","5"
"222","61","1050","0","1"
"223","62","1050","0","2"
"224","63","1050","0","3"
"225","64","1050","0","4"
"226","65","1050","0","5"
"228","66","1051","0","1"
"229","67","1051","0","2"
"230","68","1051","0","3"
"231","69","1051","0","4"
"232","70","1051","0","5"
"234","71","1052","0","1"
"235","72","1052","0","2"
"236","73","1052","0","3"
"237","74","1052","0","4"
"238","75","1052","0","5"
"240","76","1053","0","1"
"241","77","1053","0","2"
"242","78","1053","0","3"
"243","79","1053","0","4"
"244","80","1053","0","5"
"246","81","1054","0","1"
"247","82","1054","0","2"
"248","83","1054","0","3"
"249","84","1054","0","4"
"250","85","1054","0","5"
"252","86","1055","0","1"
"253","87","1055","0","2"
"254","88","1055","0","3"
"255","89","1055","0","4"
"256","90","1055","0","5"
"258","91","1056","0","1"
"259","92","1056","0","2"
"260","93","1056","0","3"
"261","94","1056","0","4"
"262","95","1056","0","5"
"264","96","1057","0","1"
"265","97","1057","0","2"
"266","98","1057","0","3"
"267","99","1057","0","4"
"268","100","1057","0","5"
"270","101","1058","0","1"
"271","102","1058","0","2"
"272","103","1058","0","3"
"273","104","1058","0","4"
"274","105","1058","0","5"
"276","106","1059","0","1"
"277","107","1059","0","2"
"278","108","1059","0","3"
"279","109","1059","0","4"
"282","111","1060","0","1"
"283","112","1060","0","2"
"284","113","1060","0","3"
"285","114","1060","0","4"
"288","116","1061","0","1"
"289","117","1061","0","2"
"290","118","1061","0","3"
"291","119","1061","0","4"
"294","121","1063","0","1"
"295","122","1063","0","2"
"296","123","1063","0","3"
"297","124","1063","0","4"
"299","125","1064","0","1"
"300","126","1064","0","2"
"301","127","1064","0","3"
"302","128","1064","0","4"
"304","129","1065","0","1"
"305","130","1065","0","2"
"306","131","1065","0","3"
"307","132","1065","0","4"
"308","133","1066","0","1"
"310","134","1066","0","2"
"311","135","1066","0","3"
"312","136","1066","0","4"
"313","137","1067","0","1"
"315","138","1067","0","2"
"316","139","1067","0","3"
"317","140","1067","0","4"
"318","141","1068","0","1"
"320","142","1068","0","2"
"321","143","1068","0","3"
"322","144","1068","0","4"
"323","145","1069","0","1"
"325","146","1069","0","2"
"326","147","1069","0","3"
"327","148","1069","0","4"
"328","149","1070","0","1"
"330","150","1070","0","2"
"331","151","1070","0","3"
"332","152","1070","0","4"
"333","153","1071","0","1"
"335","154","1071","0","2"
"336","155","1071","0","3"
"337","156","1071","0","4"
"338","157","1072","0","1"
"340","158","1072","0","2"
"341","159","1072","0","3"
"342","160","1072","0","4"
"343","161","1073","0","1"
"345","162","1073","0","2"
"346","163","1073","0","3"
"347","164","1073","0","4"
"348","165","1074","0","1"
"350","166","1074","0","2"
"351","167","1074","0","3"
"352","168","1074","0","4"
"353","169","1075","0","1"
"355","170","1075","0","2"
"356","171","1075","0","3"
"357","172","1075","0","4"
"358","173","1076","0","1"
"360","174","1076","0","2"
"361","175","1076","0","3"
"362","176","1076","0","4"
"363","177","1077","0","1"
"365","178","1077","0","2"
"366","179","1077","0","3"
"367","180","1077","0","4"
"368","181","1078","0","1"
"370","182","1078","0","2"
"371","183","1078","0","3"
"372","184","1078","0","4"
"373","185","1079","0","1"
"375","186","1079","0","2"
"376","187","1079","0","3"
"377","188","1079","0","4"
"378","189","1080","0","1"
"380","190","1080","0","2"
"381","191","1080","0","3"
"382","192","1080","0","4"
"383","193","1081","0","1"
"385","194","1081","0","2"
"386","195","1081","0","3"
"387","196","1081","0","4"
"388","197","1082","0","1"
"390","198","1082","0","2"
"391","199","1082","0","3"
"392","200","1082","0","4"
"393","201","1083","0","1"
"395","202","1083","0","2"
"396","203","1083","0","3"
"397","204","1083","0","4"
"398","205","1084","0","1"
"400","206","1084","0","2"
"401","207","1084","0","3"
"402","208","1084","0","4"
"403","209","1085","0","1"
"405","210","1085","0","2"
"406","211","1085","0","3"
"407","212","1085","0","4"
"408","213","1086","0","1"
"410","214","1086","0","2"
"411","215","1086","0","3"
"412","216","1086","0","4"
"413","217","1087","0","1"
"415","218","1087","0","2"
"416","219","1087","0","3"
"417","220","1087","0","4"
