9d6673c666aae5d50a4298415647a921b216ed6ce3e2f7fc76a30e8a3fa127ec,4aa0895d1cbfc9b73d962323d556f9d5ed999a878d1e3743d248a0fde01f0d6f,9d1a20a351973fd9b55dcb2a40b238ccbc972560710ee660005c2b0666c46731,4359389ed5bb96b1896b1c89de3c6b87ef1c7650e98af080679e1ea98f518e3c,20cd673319fa9ce33fc8c60aeb5c0600ef4705a67abe13e0670928357f347f37
"1","2700","1","1","0"
"1","3600","2","2","0"
"1","5400","3","3","0"
"1","3600","4","1","1"
"1","5400","5","2","1"
"1","7200","6","3","1"
"2","1800","7","1","0"
"2","2700","8","2","0"
"2","3600","9","3","0"
"2","2700","10","1","1"
"2","4050","11","2","1"
"2","5400","12","3","1"
"3","1800","13","1","0"
"3","2700","14","2","0"
"3","3600","15","3","0"
"3","2700","16","1","1"
"3","4050","17","2","1"
"3","5400","18","3","1"
"4","1800","19","1","0"
"4","2700","20","2","0"
"4","3600","21","3","0"
"4","2700","22","1","1"
"4","4050","23","2","1"
"4","5400","24","3","1"
