ef18ade00955bb6f1a8b43448c03c1c9a3c0eff18a126f3cb757c20a84db458b,ca220152e9654542e493639d734884cf66c43f90392a67335f7e40107ebc1264,e9983f4a41ab31250b3a2ed2fc5ecdaf6ab286e5a49e641e69be7568ae09e126,0cc22e6bd166e7686e7fe1a794c119fd41cb2a30869bcced3cb2a383226cfa6a,2b9ecd668599c04651e0ede2058a68b969a0f8a1db8e09c85183ff772d036827,d79478ea4f8b474ee07d08f71f554b400e290e43a0f2806d59935dd5f01d1317,3ae0db9defb29bc4b71a71e2e6e6b83a915525b9a0aa55026f2711b2c7fc9d1a,3990289f07c74255e4fe1f2229a73dba06144707c9a680a1a3e84b6f7237195f,7368b2f39c71ec656384c7ceb8ff6f023079dceed672e727b3b1891971bfa64a,d786ceddc4fc86971f88ac29facee8e318275b6cc74b0a3d150da1fb7be7ef0c,a0e1f4944e7591a1e495e16c1f582a8e8e7a63117484d102920421777141ea31,73cfa1551facd8baaf816b29c4b72a5ef00d286919846ada9b987ae5e9b8b9b0,48408aff6546434370171e07a5ebef3e31c5a4b0960cc5d5daa2bfd728aae408,11c542cbf3171a83817103634ffda4a4d3b2ba3331657320a94da94d153a25e0,ecde391f77092d69dd64b4b74b4408b0036e448083a8b121e0ccde68ba9893b3,b2ca830119dc64f44c885f8a3acdf628e2b08a8ca9714f2ae883ccd77a52d547,4db566347074d1f4c272c001e90463159d5e24f58c779fb0346fea230286a8d4,9b13682ec42832827d5824737097e6e16b443fd6656f7b3b7c515c80cb3261cf
"0","0","用空花大旋轉飛行共2000ｍ吧","0","0","2000","5000","1","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共4000ｍ吧","0","0","4000","10000","2","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共6000ｍ吧","0","0","6000","15000","3","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共8000ｍ吧","0","0","8000","20000","4","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共10000ｍ吧","0","2","10000","50","5","0","8","23001","0","91002","0","0","0","0","5"
"0","0","用空花大旋轉飛行共12000ｍ吧","0","0","12000","25000","6","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共14000ｍ吧","0","0","14000","30000","7","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共16000ｍ吧","0","0","16000","35000","8","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共18000ｍ吧","0","0","18000","40000","9","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共20000ｍ吧","0","2","20000","50","10","0","8","23001","0","91002","0","0","0","0","5"
"0","0","用空花大旋轉飛行共22000ｍ吧","0","0","22000","55000","11","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共24000ｍ吧","0","0","24000","35000","12","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共26000ｍ吧","0","0","26000","40000","13","0","12","0","0","94002","0","0","0","0","0"
"0","0","用空花大旋轉飛行共28000ｍ吧","0","0","28000","45000","14","0","12","0","0","94002","0","0","0","0","0"
"23001","0","用空花大旋轉飛行共30000ｍ吧","0","8","30000","1","15","0","7","91002","0","1405","10","0","2","0","150"
