3cb1987b972bd36a43ce99e9ea693efb5bcabc024470e150dec737555135e402,908623786214afac31d89bf98ce18083cb718051bf27ed6830e5755d03c7f464,7eac185ab54ead6b9c463f9cc97445390461311cbcf9ba99561f7e7835bfebfa,460e1ee8291096303f9ad0ffb20db866db0c41133a9d5ff917546905e6c2d69b,a6c319404dcffac3fe143a49ec783904ac92a539532146d933082831bcf36060,0ed84f32d802032a904872fd6513737078bcc17cf35ea55121eab980df5b4dba,97180fc97688a7ef7a31cf90279b2ad1d7d65a2ce8a4f88a59ca86b80dc3b4a1,e852ecc71cef09f23074900b32b0b7e7459c8449a9df880e05459c1f4c9a45bb
"10050640","3000","0","10050650","0","0","30050237","30050236"
"10050659","3000","0","10050670","0","0","30050414","30050413"
"10050723","3000","30050423","10050735","0","0","30050422","30050421"
"10050818","3000","30050426","10050360","0","0","30050425","30050424"
"10060402","3000","30060189","10060413","0","30060190","30060188","30060187"
"10060480","3000","30060193","10060492","0","0","30060192","30060191"
"10060542","3000","30060196","10060545","0","30060197","30060195","30060194"
"10060591","3000","30060210","10060606","30060212","30060211","30060209","30060208"
"10070608","3000","30070188","10070626","0","30070189","30070187","30070186"
"10070914","3000","30070200","10070926","30070202","30070201","30070199","30070198"
"10071038","3000","30070208","10071052","30070210","30070209","30070207","30070206"
"10071117","3000","30070195","10071131","0","30070196","30070194","30070193"
"10080640","3000","0","10080650","0","0","30080237","30080236"
"10080659","3000","0","10080670","0","0","30080414","30080413"
"10080723","3000","30080423","10080735","0","0","30080422","30080421"
"10080818","3000","30080426","10080360","0","0","30080425","30080424"
"10090402","3000","30090189","10090413","0","30090190","30090188","30090187"
"10090480","3000","30090193","10090492","0","0","30090192","30090191"
"10090542","3000","30090196","10090545","0","30090197","30090195","30090194"
"10090591","3000","30090210","10090606","30090212","30090211","30090209","30090208"
"10100608","3000","30100188","10100626","0","30100189","30100187","30100186"
"10100914","3000","30100200","10100926","30100202","30100201","30100199","30100198"
"10101038","3000","30100208","10101052","30100210","30100209","30100207","30100206"
"10101117","3000","30100195","10101131","0","30100196","30100194","30100193"
"10110640","3000","0","10110650","0","0","30110237","30110236"
"10110659","3000","0","10110670","0","0","30110414","30110413"
"10110723","3000","30110423","10110735","0","0","30110422","30110421"
"10110818","3000","30110426","10110360","0","0","30110425","30110424"
