7784dcde3adcd19a057e7fe39f4f630f6a9ad1bb0bdcdf50db7582487c886cee,3ab05ce1b63ea69b45cd0cbe79fb6c4833cd8552b1ef91c15bbe83188c2f718d,6880b6aabf21bd583b56e295cd96ba14666321e74bb6a46418a133771e53afea,cce9ef8a1969f2470173d8825e880bef31582e117990e39b1f08d8f976625934,0f9366872dee47544e757b2fb99c1e34ad310684c606777e4d3de3ceb517611b
"97501001","97501","6","800","93001"
"97501002","97501","12","3000000","94002"
"97501003","97501","2","60","90005"
"97501004","97501","2","15","25001"
"97501005","97501","4","20","140001"
"97501006","97501","2","300","23001"
"97501007","97501","2","80","20004"
"97502001","97502","4","1","105011"
"97502002","97502","4","1","105161"
"97502003","97502","4","1","105221"
"97502004","97502","4","1","105071"
"97502005","97502","4","1","105041"
"97502006","97502","4","1","105131"
"97502007","97502","4","1","105191"
"97502008","97502","4","1","105101"
"97502009","97502","4","1","105251"
"97502010","97502","4","1","105581"
"97502011","97502","4","1","105551"
"97502012","97502","4","1","105611"
"97502013","97502","4","1","105311"
"97502014","97502","4","1","105341"
"97502015","97502","4","1","105281"
"97502016","97502","4","1","105371"
"97502017","97502","4","1","105401"
"97502018","97502","4","1","105521"
"97502019","97502","4","1","105012"
"97502020","97502","4","1","105222"
"97502021","97502","4","1","105042"
"97502022","97502","4","1","105102"
"97502023","97502","4","1","105072"
"97502024","97502","4","1","105162"
"97502025","97502","4","1","105192"
"97502026","97502","4","1","105132"
"97502027","97502","4","1","105252"
"97502028","97502","4","1","105552"
"97502029","97502","4","1","105612"
"97502030","97502","4","1","105582"
"97502031","97502","4","1","105522"
"97502032","97502","4","1","105431"
"97502033","97502","4","1","105282"
"97502034","97502","4","1","105372"
"97502035","97502","4","1","105342"
"97502036","97502","4","1","105312"
"97502037","97502","4","1","105043"
"97502038","97502","4","1","105073"
"97502039","97502","4","1","105133"
"97502040","97502","4","1","105013"
"97502041","97502","4","1","105223"
"97502042","97502","4","1","105193"
"97502043","97502","4","1","105103"
"97502044","97502","4","1","105253"
"97502045","97502","4","1","105163"
"97502046","97502","4","1","105553"
"97502047","97502","4","1","105583"
"97502048","97502","4","1","105613"
"97502049","97502","4","1","105283"
"97502050","97502","4","1","105491"
"97502051","97502","4","1","105373"
"97502052","97502","4","1","105313"
"97502053","97502","4","1","105343"
"97502054","97502","4","1","105462"
"97502055","97502","4","1","105044"
"97502056","97502","4","1","105254"
"97502057","97502","4","1","105104"
"97502058","97502","4","1","105224"
"97502059","97502","4","1","105194"
"97502060","97502","4","1","105074"
"97502061","97502","4","1","105134"
"97502062","97502","4","1","105164"
"97502063","97502","4","1","105014"
"97502064","97502","4","1","105614"
"97502065","97502","4","1","105584"
"97502066","97502","4","1","105554"
"97502067","97502","4","1","105314"
"97502068","97502","4","1","105523"
"97502069","97502","4","1","105374"
"97502070","97502","4","1","105344"
"97502071","97502","4","1","105432"
"97502072","97502","4","1","105284"
"97503001","97503","2","20","90005"
"97503002","97503","4","10","140001"
"97503003","97503","6","250","93001"
"97503004","97503","8","500","91002"
"97503005","97503","12","500000","94002"
"97503006","97503","2","5","25001"
"97504001","97504","2","1","97102"
"97504002","97504","2","1","97103"
"97504003","97504","2","1","97104"
"97504004","97504","2","1","97105"
"97505001","97505","6","800","93001"
"97505002","97505","12","3000000","94002"
"97505003","97505","2","60","90005"
"97505004","97505","2","15","25001"
"97505005","97505","4","20","140001"
"97505006","97505","2","400","23001"
"97505007","97505","2","100","20004"
"97506001","97506","4","1","105011"
"97506002","97506","4","1","105161"
"97506003","97506","4","1","105221"
"97506004","97506","4","1","105071"
"97506005","97506","4","1","105041"
"97506006","97506","4","1","105131"
"97506007","97506","4","1","105191"
"97506008","97506","4","1","105101"
"97506009","97506","4","1","105251"
"97506010","97506","4","1","105581"
"97506011","97506","4","1","105551"
"97506012","97506","4","1","105611"
"97506013","97506","4","1","105311"
"97506014","97506","4","1","105341"
"97506015","97506","4","1","105281"
"97506016","97506","4","1","105371"
"97506017","97506","4","1","105401"
"97506018","97506","4","1","105521"
"97506019","97506","4","1","105012"
"97506020","97506","4","1","105222"
"97506021","97506","4","1","105042"
"97506022","97506","4","1","105102"
"97506023","97506","4","1","105072"
"97506024","97506","4","1","105162"
"97506025","97506","4","1","105192"
"97506026","97506","4","1","105132"
"97506027","97506","4","1","105252"
"97506028","97506","4","1","105552"
"97506029","97506","4","1","105612"
"97506030","97506","4","1","105582"
"97506031","97506","4","1","105522"
"97506032","97506","4","1","105431"
"97506033","97506","4","1","105282"
"97506034","97506","4","1","105372"
"97506035","97506","4","1","105342"
"97506036","97506","4","1","105312"
"97506037","97506","4","1","105043"
"97506038","97506","4","1","105073"
"97506039","97506","4","1","105133"
"97506040","97506","4","1","105013"
"97506041","97506","4","1","105223"
"97506042","97506","4","1","105193"
"97506043","97506","4","1","105103"
"97506044","97506","4","1","105253"
"97506045","97506","4","1","105163"
"97506046","97506","4","1","105553"
"97506047","97506","4","1","105583"
"97506048","97506","4","1","105613"
"97506049","97506","4","1","105283"
"97506050","97506","4","1","105491"
"97506051","97506","4","1","105373"
"97506052","97506","4","1","105313"
"97506053","97506","4","1","105343"
"97506054","97506","4","1","105462"
"97506055","97506","4","1","105044"
"97506056","97506","4","1","105254"
"97506057","97506","4","1","105104"
"97506058","97506","4","1","105224"
"97506059","97506","4","1","105194"
"97506060","97506","4","1","105074"
"97506061","97506","4","1","105134"
"97506062","97506","4","1","105164"
"97506063","97506","4","1","105014"
"97506064","97506","4","1","105614"
"97506065","97506","4","1","105584"
"97506066","97506","4","1","105554"
"97506067","97506","4","1","105314"
"97506068","97506","4","1","105523"
"97506069","97506","4","1","105374"
"97506070","97506","4","1","105344"
"97506071","97506","4","1","105432"
"97506072","97506","4","1","105284"
"97507001","97507","4","1","105015"
"97507002","97507","4","1","105045"
"97507003","97507","4","1","105075"
"97507004","97507","4","1","105105"
"97507005","97507","4","1","105135"
"97507006","97507","4","1","105165"
"97507007","97507","4","1","105195"
"97507008","97507","4","1","105225"
"97507009","97507","4","1","105255"
"97507010","97507","4","1","105555"
"97507011","97507","4","1","105585"
"97507012","97507","4","1","105615"
"97507013","97507","4","1","105285"
"97507014","97507","4","1","105315"
"97507015","97507","4","1","105345"
"97507016","97507","4","1","105375"
"97507017","97507","4","1","105463"
"97507018","97507","4","1","105402"
"97507019","97507","4","1","105016"
"97507020","97507","4","1","105046"
"97507021","97507","4","1","105076"
"97507022","97507","4","1","105106"
"97507023","97507","4","1","105136"
"97507024","97507","4","1","105166"
"97507025","97507","4","1","105196"
"97507026","97507","4","1","105226"
"97507027","97507","4","1","105256"
"97507028","97507","4","1","105556"
"97507029","97507","4","1","105586"
"97507030","97507","4","1","105616"
"97507031","97507","4","1","105286"
"97507032","97507","4","1","105316"
"97507033","97507","4","1","105346"
"97507034","97507","4","1","105376"
"97507035","97507","4","1","105433"
"97507036","97507","4","1","105524"
"97507037","97507","4","1","105017"
"97507038","97507","4","1","105047"
"97507039","97507","4","1","105077"
"97507040","97507","4","1","105107"
"97507041","97507","4","1","105137"
"97507042","97507","4","1","105167"
"97507043","97507","4","1","105197"
"97507044","97507","4","1","105227"
"97507045","97507","4","1","105257"
"97507046","97507","4","1","105557"
"97507047","97507","4","1","105587"
"97507048","97507","4","1","105617"
"97507049","97507","4","1","105287"
"97507050","97507","4","1","105317"
"97507051","97507","4","1","105347"
"97507052","97507","4","1","105377"
"97507053","97507","4","1","105464"
"97507054","97507","4","1","105403"
"97508001","97508","4","1","106011"
"97508002","97508","4","1","106041"
"97508003","97508","4","1","106071"
"97508004","97508","4","1","106101"
"97508005","97508","4","1","106131"
"97508006","97508","4","1","106161"
"97508007","97508","4","1","106191"
"97508008","97508","4","1","106221"
"97508009","97508","4","1","106251"
"97508010","97508","4","1","106551"
"97508011","97508","4","1","106581"
"97508012","97508","4","1","106611"
"97508013","97508","4","1","106281"
"97508014","97508","4","1","106311"
"97508015","97508","4","1","106341"
"97508016","97508","4","1","106371"
"97508017","97508","4","1","106401"
"97508018","97508","4","1","106461"
"97509001","97509","6","500","93001"
"97509002","97509","12","3000000","94002"
"97509003","97509","2","30","90005"
"97509004","97509","2","10","25001"
"97509005","97509","4","10","140001"
"97509006","97509","2","400","23001"
"97509007","97509","2","100","20004"
"97510001","97510","6","800","93001"
"97510002","97510","12","3000000","94002"
"97510003","97510","2","60","90005"
"97510004","97510","2","15","25001"
"97510005","97510","4","20","140001"
"97510006","97510","2","300","23001"
"97510007","97510","2","80","20004"
"97511001","97511","4","1","105011"
"97511002","97511","4","1","105161"
"97511003","97511","4","1","105221"
"97511004","97511","4","1","105071"
"97511005","97511","4","1","105041"
"97511006","97511","4","1","105131"
"97511007","97511","4","1","105191"
"97511008","97511","4","1","105101"
"97511009","97511","4","1","105251"
"97511010","97511","4","1","105581"
"97511011","97511","4","1","105551"
"97511012","97511","4","1","105611"
"97511013","97511","4","1","105311"
"97511014","97511","4","1","105341"
"97511015","97511","4","1","105281"
"97511016","97511","4","1","105371"
"97511017","97511","4","1","105401"
"97511018","97511","4","1","105521"
"97511019","97511","4","1","105012"
"97511020","97511","4","1","105222"
"97511021","97511","4","1","105042"
"97511022","97511","4","1","105102"
"97511023","97511","4","1","105072"
"97511024","97511","4","1","105162"
"97511025","97511","4","1","105192"
"97511026","97511","4","1","105132"
"97511027","97511","4","1","105252"
"97511028","97511","4","1","105552"
"97511029","97511","4","1","105612"
"97511030","97511","4","1","105582"
"97511031","97511","4","1","105522"
"97511032","97511","4","1","105431"
"97511033","97511","4","1","105282"
"97511034","97511","4","1","105372"
"97511035","97511","4","1","105342"
"97511036","97511","4","1","105312"
"97511037","97511","4","1","105043"
"97511038","97511","4","1","105073"
"97511039","97511","4","1","105133"
"97511040","97511","4","1","105013"
"97511041","97511","4","1","105223"
"97511042","97511","4","1","105193"
"97511043","97511","4","1","105103"
"97511044","97511","4","1","105253"
"97511045","97511","4","1","105163"
"97511046","97511","4","1","105553"
"97511047","97511","4","1","105583"
"97511048","97511","4","1","105613"
"97511049","97511","4","1","105283"
"97511050","97511","4","1","105491"
"97511051","97511","4","1","105373"
"97511052","97511","4","1","105313"
"97511053","97511","4","1","105343"
"97511054","97511","4","1","105462"
"97511055","97511","4","1","105044"
"97511056","97511","4","1","105254"
"97511057","97511","4","1","105104"
"97511058","97511","4","1","105224"
"97511059","97511","4","1","105194"
"97511060","97511","4","1","105074"
"97511061","97511","4","1","105134"
"97511062","97511","4","1","105164"
"97511063","97511","4","1","105014"
"97511064","97511","4","1","105614"
"97511065","97511","4","1","105584"
"97511066","97511","4","1","105554"
"97511067","97511","4","1","105314"
"97511068","97511","4","1","105523"
"97511069","97511","4","1","105374"
"97511070","97511","4","1","105344"
"97511071","97511","4","1","105432"
"97511072","97511","4","1","105284"
"97512001","97512","4","1","105015"
"97512002","97512","4","1","105045"
"97512003","97512","4","1","105075"
"97512004","97512","4","1","105105"
"97512005","97512","4","1","105135"
"97512006","97512","4","1","105165"
"97512007","97512","4","1","105195"
"97512008","97512","4","1","105225"
"97512009","97512","4","1","105255"
"97512010","97512","4","1","105555"
"97512011","97512","4","1","105585"
"97512012","97512","4","1","105615"
"97512013","97512","4","1","105285"
"97512014","97512","4","1","105315"
"97512015","97512","4","1","105345"
"97512016","97512","4","1","105375"
"97512017","97512","4","1","105463"
