b937f3fa28d6b0c3cadd7faa1781df0517a81fa50535ceb5c943d1ba3843df07,09b8cc9ff25a2f319425023ccb31fa3595977f0e673c80124d31e92e8c12655d,ed71259e4da99943e18bf8351a67d777f22532a5d9317aa76e58e85c15e2c5c6,40632fe1cab1ec28e27e674fa47c959d4315f9ecf511ce04757c8a5b982d6582,ee119af9fdc424e31445eab1806b0a30ec12aae0334000c69a1fc8f8683102ad,e42ae089b8aa28dcc41bb1ae533327009a97146a717573a9c33cbda867f3d53e,2b1e20f6186d3dbe8997a14afc4f1eea3e38e596b493a5e693cd992e3b6ff0ee,aa5cdcf078fdd6c6102553a69207c9d10224572359f130e924a8b674f4610503,9ef645e6f73bd8b6010c4fdd9f6ada2bf083df9eab00974fb13725ded2ae88c9,3f2b5e4812fae43051889842c080555cd9fc9ea6341f7a559836cfdd377fe409
"0","","vo_10011600","vo_10011600_0101","1010001","0","2","1","0","1"
"8","　從明天開始","0","0","1010002","0","1","1","0","2"
"0","","0","0","1010003","1.625","4","1","1","3"
"10","就要入學聖德蕾莎女學院了！","0","0","1010004","0","1","1","0","4"
"0","","0","0","1010005","4","4","1","1","5"
"0","","vo_10011600","vo_10011600_0102","1010006","0","2","1","0","6"
"8","　為什麼","0","0","1010007","0","1","1","0","7"
"0","","0","0","1010008","1.375","4","1","1","8"
"9","事情會變成這個樣子呢？\n","0","0","1010009","0","1","1","0","9"
"0","","0","0","1010010","3.33333333333333","4","1","1","10"
"0","","vo_10011600","vo_10011600_0103","1010011","0","2","1","0","11"
"8","雖然美里老師","0","0","1010012","0","1","1","0","12"
"0","","0","0","1010013","1.75","4","1","1","13"
"10","說我一定沒問題的……","0","0","1010014","0","1","1","0","14"
"0","","0","0","1010015","3","4","1","1","15"
"8","但是我一定辦不到啊～！\n","0","0","1010016","0","1","1","0","16"
"0","","0","0","1010017","3.875","4","1","1","17"
"0","","vo_10011600","vo_10011600_0104","1010018","0","2","1","0","18"
"8","可是。","0","0","1010019","0","1","1","0","19"
"0","","0","0","1010020","2.375","4","1","1","20"
"8","可是……","0","0","1010021","0","1","1","0","21"
"0","","0","0","1010022","2.5","4","1","1","22"
"0","","vo_10011600","vo_10011600_0105","1010023","0","2","1","0","23"
"8","可是、","0","0","1010024","0","1","1","0","24"
"0","","0","0","1010025","1.375","4","1","1","25"
"8","如果、","0","0","1010026","0","1","1","0","26"
"0","","0","0","1010027","1.5","4","1","1","27"
"8","我可以在聖德蕾莎女學院好好努力。\n\n","0","0","1010028","0","1","1","0","28"
"0","","0","0","1010029","4.875","4","1","1","29"
"0","","vo_10011600","vo_10011600_0106","1010030","0","2","1","0","30"
"6","……是不是就能","0","0","1010031","0","1","1","0","31"
"0","","0","0","1010032","1.58333333333333","4","1","1","32"
"8","交到朋友呢？","0","0","1010033","0","1","1","0","33"
"0","","0","0","1010034","1.75","4","1","1","34"
"0","","vo_10011600","vo_10011600_0201","1020001","0","2","2","0","1"
"8","　一想到要用「日安」向別人打招呼，","0","0","1020002","0","1","2","0","2"
"0","","0","0","1020003","2.375","4","2","1","3"
"8","我孤單的心靈就會緊張到怦怦狂跳。\n","0","0","1020004","0","1","2","0","4"
"0","","0","0","1020005","4","4","2","1","5"
"0","","vo_10011600","vo_10011600_0202","1020006","0","2","2","0","6"
"8","不過，","0","0","1020007","0","1","2","0","7"
"0","","0","0","1020008","1.125","4","2","1","8"
"8","此時BB團團長卻突然現身！","0","0","1020009","0","1","2","0","9"
"0","","0","0","1020010","3.75","4","2","1","10"
"0","","vo_10011600","vo_10011600_0203","1020011","0","2","2","0","11"
"8","　BB團的羈絆","0","0","1020012","0","1","2","0","12"
"0","","0","0","1020013","1.875","4","2","1","13"
"8","不管走到哪裡都不會改變呢！\n","0","0","1020014","0","1","2","0","14"
"0","","0","0","1020015","3.75","4","2","1","15"
"0","","vo_10011600","vo_10011600_0204","1020016","0","2","2","0","16"
"8","然後，","0","0","1020017","0","1","2","0","17"
"0","","0","0","1020018","1","4","2","1","18"
"8","我認識了和那個人一起來到","0","0","1020019","0","1","2","0","19"
"0","","0","0","1020020","2","4","2","1","20"
"8","聖德蕾莎女學院","0","0","1020021","0","1","2","0","21"
"0","","0","0","1020022","1.125","4","2","1","22"
"8","（好朋友社）的成員們。","0","0","1020023","0","1","2","0","23"
"0","","0","0","1020024","3.5","4","2","1","24"
"0","","vo_10011600","vo_10011600_0205","1020025","0","2","2","0","25"
"8","　大家似乎都是很有個性的人，","0","0","1020026","0","1","2","0","26"
"0","","0","0","1020027","3","4","2","1","27"
"6","我很擔心自己是否能和他們融洽相處……","0","0","1020028","0","1","2","0","28"
"0","","0","0","1020029","2.83333333333333","4","2","1","29"
"0","","vo_10011600","vo_10011600_0301","1030001","0","2","3","0","1"
"8","　我搞砸了。","0","0","1030002","0","1","3","0","2"
"0","","0","0","1030003","3","4","3","1","3"
"0","","vo_10011600","vo_10011600_0302","1030004","0","2","3","0","4"
"8","　自我介紹對孤單的人來說就像眼前的巨大障礙。","0","0","1030005","0","1","3","0","5"
"0","","0","0","1030006","5.125","4","3","1","6"
"0","","vo_10011600","vo_10011600_0303","1030007","0","2","3","0","7"
"8","　我明明已經在腦海中做過很多次假想訓練，","0","0","1030008","0","1","3","0","8"
"0","","0","0","1030009","2.625","4","3","1","9"
"8","卻還是失敗了。","0","0","1030010","0","1","3","0","10"
"0","","0","0","1030011","2.75","4","3","1","11"
"0","","vo_10011600","vo_10011600_0304","1030012","0","2","3","0","12"
"8","　當所有同學盯著我看的那一瞬間，","0","0","1030013","0","1","3","0","13"
"0","","0","0","1030014","3.5","4","3","1","14"
"8","我的腦中變得一片空白，","0","0","1030015","0","1","3","0","15"
"0","","0","0","1030016","2","4","3","1","16"
"10","然後又開始脫口說出奇怪的話。\n","0","0","1030017","0","1","3","0","17"
"0","","0","0","1030018","4.5","4","3","1","18"
"0","","vo_10011600","vo_10011600_0305","1030019","0","2","3","0","19"
"8","雖然大家笑得很開心，","0","0","1030020","0","1","3","0","20"
"0","","0","0","1030021","3","4","3","1","21"
"8","不過我還是對未來感到不安……","0","0","1030022","0","1","3","0","22"
"0","","0","0","1030023","2.25","4","3","1","23"
"0","","vo_10011600","vo_10011600_0401","1040001","0","2","4","0","1"
"8","　優妮看起來","0","0","1040002","0","1","4","0","2"
"0","","0","0","1040003","1.75","4","4","1","3"
"8","是個很聰明的人。","0","0","1040004","0","1","4","0","4"
"0","","0","0","1040005","2.625","4","4","1","5"
"0","","vo_10011600","vo_10011600_0402","1040006","0","2","4","0","6"
"8","　她的用字譴詞十分艱澀，","0","0","1040007","0","1","4","0","7"
"0","","0","0","1040008","3.75","4","4","1","8"
"8","有些單字常常讓我聽不懂，","0","0","1040009","0","1","4","0","9"
"0","","0","0","1040010","3.125","4","4","1","10"
"8","以後我是不是應該隨身攜帶字典呢？\n","0","0","1040011","0","1","4","0","11"
"0","","0","0","1040012","4","4","4","1","12"
"0","","vo_10011600","vo_10011600_0403","1040013","0","2","4","0","13"
"8","　總是關在象牙之塔裡埋頭研究，","0","0","1040014","0","1","4","0","14"
"0","","0","0","1040015","3.75","4","4","1","15"
"8","平常不會從那裡踏出一步，","0","0","1040016","0","1","4","0","16"
"0","","0","0","1040017","3.25","4","4","1","17"
"8","散發出和我一樣的孤獨氣息。","0","0","1040018","0","1","4","0","18"
"0","","0","0","1040019","3.375","4","4","1","19"
"0","","vo_10011600","vo_10011600_0404","1040020","0","2","4","0","20"
"8","　「孤獨會召喚孤獨」，","0","0","1040021","0","1","4","0","21"
"0","","0","0","1040022","2.5","4","4","1","22"
"8","我","0","0","1040023","0","1","4","0","23"
"0","","0","0","1040024","1.125","4","4","1","24"
"8","不記得是誰說過這句話，","0","0","1040025","0","1","4","0","25"
"0","","0","0","1040026","2.75","4","4","1","26"
"8","但是說不定……\n","0","0","1040027","0","1","4","0","27"
"0","","0","0","1040028","2","4","4","1","28"
"0","","vo_10011600","vo_10011600_0405","1040029","0","2","4","0","29"
"8","擁有相同宿命的同伴，","0","0","1040030","0","1","4","0","30"
"0","","0","0","1040031","2.375","4","4","1","31"
"8","彼此可以成為好朋友？","0","0","1040032","0","1","4","0","32"
"0","","0","0","1040033","2.125","4","4","1","33"
"0","","vo_10011600","vo_10011600_0501","1050001","0","2","5","0","1"
"8","　克蘿依和我一樣都是","0","0","1050002","0","1","5","0","2"
