601baa9aabd4b496223ef8540992492dda19a070ff74d5b4bd40f483286a4798,924c93884926297a83040ea043a3861f5c1f6064966022cf5136ebb98b1c38b5,474f1f44586bfebe07650854124f2d11f4ae01613465614d7be9213ffdb44e76,dce07e1d9e6afc78eb4d8017745243c98481dde93ba180c04e0df2f50fbd5540,e3249f5157e3b3835cbf2ca309bc56e822796ce927b9c9d3cc288b568a287299,8603afe0cc0996be320a4edd963f833504fae593064a904c7f0b4aa38d9bd4ba,260d155cdbffcc39a270b2ec858d1196cdceea062ede4a43086cb5b60bcdd715,d43e5967502174c7cb741151c5913510df7cc596617efccebd1ec86b25bb7573,3e9fc10750ba8e0fa3f05405d478be7dc4c1a6a3fc8a1be1e6b0117116ffed26,3145757e8cd5fe3f1e8e508f52fddef7effabd05e0ebfdd62bc96c7101ad3fee,40bcf54977a8c14d74cbef0f0469d8030edd687dd60a1fc1e82b6436524def0d,92d0cd40e17f687bffa92169a3207843cd91be05cd352d8e36cc1bd7f965ac39,ca1d84ebe8fa5984048b5db559f40f721e9dcacc14b03a48a0b6216b2409eb7d,2ea9945e9099243ee373c2aabf2180e01a78b47763937848f77d6a49055e05c1,839284bd472e71391db69adc3114978aa30131e742206677b41e4333dc528bdd,57f688f26f05c4166b4756b5ae93b579a8e4923bf2df49908994ef10bf9c3cff,3c427c4a4ad1d2d9538a9a382e7048049ce7806cf0ef49c6077d455f6dbb3a89,a84436528b91ee50aabab8b31d442f30a3887c8a82ad70823a8ae6a8ec34c299
"2","5","1","8","0","0","20003","5","150","0","12","91002","150000","22003","94002","2","1","20"
"2","9","6","8","0","0","20003","2","145","0","12","91002","100000","22003","94002","2","2","15"
"2","19","10","8","0","0","20003","5","140","0","12","91002","80000","22002","94002","2","3","11"
"2","29","20","8","0","0","20003","5","130","0","12","91002","80000","22002","94002","2","4","10"
"2","39","30","8","0","0","20003","4","120","0","12","91002","70000","22002","94002","2","5","9"
"2","49","40","8","0","0","20003","4","110","0","12","91002","70000","22002","94002","2","6","8"
"2","99","50","8","0","0","20003","3","100","0","12","91002","60000","22002","94002","2","7","7"
"2","499","100","8","0","0","20003","2","80","0","12","91002","40000","22002","94002","2","8","2"
"2","999","500","8","0","0","20002","1","50","0","12","91002","20000","22002","94002","2","9","7"
"2","4999","1000","8","0","0","20002","3","20","0","12","91002","16000","22001","94002","2","10","4"
"2","9999","5000","8","0","0","20002","2","15","0","12","91002","9000","22001","94002","2","11","3"
"2","11999","10000","8","0","0","20001","1","10","0","12","91002","4000","22001","94002","2","12","8"
"2","13999","12000","8","0","0","20001","1","5","0","12","91002","3000","22001","94002","2","13","7"
"2","14999","14000","8","0","0","20001","1","4","0","12","91002","2000","22001","94002","2","14","6"
"2","30000","15000","8","0","0","20001","1","3","0","12","91002","1800","22001","94002","2","15","5"
