42f11d17e8e4a8ad7e669ec2a003d76c4f93d1bbdea3cad97a7a49e48058f75b,89cd28dce0285d3fbbe9eb6908bb4c26cbe0b8230ba4d013b47ea594245e0827,4a6ff9d0ffde43a09000b68306f269618613ac157e7d506fd0c4f5e99444f880,d27432bf26f66dc74ef9c387248cf420c3d468246f835837771ceefd04d01895,3da48788fdbe12a9d07f22e8359616855795bc4d1a4352afeb1e14049b51e0b5,76c8695cdfc2be0b7f1853f17a61c92dc2a2af043a55f7c0ef09c28ab02987c5,da0f440ed3f331af5a96221dda2c0b86ce42ad9c3223560cbaf87b1bb9a80f96
"103801001","0","初音＆栞","0","0","101201001","20001"
"104901001","0","靜流＆璃乃","0","0","101101001","20002"
"102501001","0","咲戀＆鈴莓","0","0","102801001","20003"
"102201001","0","依里＆茜里","0","0","100601001","20004"
"105901001","0","貪吃佩可&可可蘿","0","0","105801001","20005"
"106001001","0","貪吃佩可&凱留","0","0","105801001","20006"
"106001001","0","可可蘿&凱留","0","0","105901001","20007"
"100201001","0","日和&優衣","0","0","100101001","20008"
"100301001","0","日和&怜","0","0","100101001","20009"
"100301001","0","優衣&怜","0","0","100201001","20010"
"104201001","0","望&千歌","0","0","102901001","20013"
"105401001","0","望&紡希","0","0","102901001","20014"
"105401001","0","千歌&紡希","0","0","104201001","20015"
"100401001","0","美美&禊","0","0","102001001","20016"
"103601001","0","美美&鏡華","0","0","102001001","20017"
"103601001","0","禊&鏡華","0","0","100401001","20018"
"101201001","0","美里&初音","0","0","101501001","20019"
"104001001","0","美里&碧","0","0","101501001","20020"
"104001001","0","初音&碧","0","0","101201001","20021"
"102201001","0","伊莉亞&依里","0","0","104401001","20022"
"100601001","0","伊莉亞&茜里","0","0","104401001","20023"
"103101001","0","伊莉亞&忍","0","0","104401001","20024"
"100701001","0","伊莉亞&宮子","0","0","104401001","20025"
"103101001","0","依里＆忍","0","0","102201001","20026"
"100701001","0","依里＆宮子","0","0","102201001","20027"
"103101001","0","茜里＆忍","0","0","100601001","20028"
"100701001","0","茜里＆宮子","0","0","100601001","20029"
"100701001","0","忍＆宮子","0","0","103101001","20030"
"107101001","0","純＆克莉絲提娜","0","0","104701001","20031"
"103701001","0","純＆智","0","0","104701001","20032"
"100501001","0","純＆茉莉","0","0","104701001","20033"
"103701001","0","克莉絲提娜＆智","0","0","107101001","20034"
"100501001","0","克莉絲提娜＆茉莉","0","0","107101001","20035"
"100501001","0","智＆茉莉","0","0","103701001","20036"
"102301001","0","咲戀＆綾音","0","0","102801001","20037"
"102101001","0","咲戀＆胡桃","0","0","102801001","20038"
"102301001","0","鈴莓＆綾音","0","0","102501001","20039"
