6e06f49e50930f41c01af21ceed4283131eaf9952f153a16f60ef2e6f89840f4,74c0270b6ec8c7dc0223887263822b364d25470aea9a63a79587ce702c3b1181,1eb5f7e1093a3031a50e8986b3a9466b638938ff7bd75b987ff367c8a1a68bae,58fecabd1ce50c245c8db1bb6b69ca8c64a23b84a444dd853eff271f36f21e13,40f9fbcfd51746ab7fd6218660824f183b2a61f5d733bddbff185364305d1512,45f1ff2920f7794b6d7478d40f9724df1260bdefa580ca2c54688bd4f9dd7c1b,e08bf3ff7b315a1550528bf7f91a8ac385965582d155553c898cfeef23312fb6,16d5d7abeb4d48fae429233991c240e9ee60740c1f2e441f4d368c32adefc7c3
"5001","1","","0","bgm_M32","5001000","1000101","1"
"5002","1","","0","bgm_M98","5002000","1000201","1"
"5003","1","","0","bgm_M106","5003000","1000301","1"
"5004","1","","0","bgm_M112","5004000","1000401","1"
"5005","1","","0","bgm_M121","5005000","1000501","1"
"5006","1","","0","bgm_M128","5006000","1000601","1"
"5007","1","","0","bgm_M135","5007000","1000701","1"
"5008","1","","0","bgm_M162","5008000","1000801","1"
"5009","1","","0","bgm_M171","5009000","1000901","1"
"5010","1","","0","bgm_M182_02","5010000","1001001","1"
"5011","1","","0","bgm_M189","5011000","1001101","1"
"5012","1","","0","bgm_M206","5012000","1001201","1"
"5013","1","","0","bgm_M215","5013000","1001301","1"
"5015","1","","0","bgm_M223","5015000","1001501","1"
"5017","1","","0","","5017000","1001701","1"
"5019","1","","0","bgm_M237","5019000","1001901","1"
"5021","1","","0","bgm_M245_02","5021000","1002101","1"
"5023","1","","0","bgm_M254","5023000","1002301","1"
"5025","1","","0","bgm_M265_Top","5025000","1002501","1"
"5027","1","","0","bgm_M273","5027000","1002701","1"
"5029","1","","0","bgm_M281","5029000","1002901","1"
"5031","1","","0","bgm_M294","5031000","1003101","1"
"5033","1","","0","bgm_M316","5033000","1003301","1"
"5036","1","","0","bgm_M341","5036001","1003601","1"
"5038","1","","0","bgm_M343","5038000","1003801","1"
"5040","1","","0","bgm_M351","5040000","1004001","1"
"5042","1","","0","bgm_M375","5042000","1004201","1"
"5044","1","","0","bgm_M380A","5044000","1004401","1"
"5046","1","","0","bgm_M393","5046000","1004601","1"
"5048","1","","0","bgm_M403","5048000","1004801","1"
"5050","1","","0","bgm_M413","5050000","1005001","1"
"5052","1","","0","bgm_M421","5052000","1005201","1"
"5054","1","","0","bgm_M426","5054000","1005401","1"
"5056","1","","0","bgm_M435","5056000","1005601","1"
"5058","1","","0","bgm_M442A","5058000","1005801","1"
"5061","1","","0","bgm_M451","5061000","1006101","1"
"5064","1","","0","bgm_M457","5064000","1006401","1"
"5066","1","","0","bgm_M467","5066000","1006601","1"
"5068","1","","0","bgm_M478_Lofi","5068000","1006801","1"
"5070","1","","0","bgm_M486","5070000","1007001","1"
"5072","1","","0","bgm_M496","5072000","1007201","1"
"5074","1","","0","bgm_M508","5074000","1007401","1"
"5076","1","","0","bgm_M520","5076000","1007601","1"
"5078","1","","0","bgm_M527","5078000","1007801","1"
"5080","1","","0","bgm_M536","5080000","1008001","1"
"5082","1","","0","bgm_M543","5082000","1008201","1"
"5084","1","","0","bgm_M552","5084000","1008401","1"
"5088","1","","0","bgm_M565","5088000","1008801","1"
"5090","1","","0","bgm_M574","5090000","1009001","1"
"5092","1","","0","bgm_M582","5092000","1009201","1"
"5094","1","","0","bgm_M595","5094000","1009401","1"
"5096","1","","0","bgm_M601","5096000","1009601","1"
"5098","1","","0","bgm_M608","5098000","1009801","1"
"5100","1","","0","bgm_M618","5100000","1010001","1"
"5102","1","","0","bgm_M623","5102000","1010201","1"
"5104","1","","0","bgm_M630","5104000","1010401","1"
"5106","1","","0","bgm_M638","5106000","1010601","1"
"5108","1","","0","bgm_M647","5108000","1010801","1"
"5110","1","","0","bgm_M659","5110000","1011001","1"
"5114","1","","0","bgm_M668","5114000","1011401","1"
"5116","1","","0","bgm_MC017","5116000","1011601","1"
"5118","1","","0","bgm_MC026","5118000","1011801","1"
"5120","1","","0","bgm_MC036","5120000","1012001","1"
"5122","1","","0","bgm_MC046","5122000","1012201","1"
"5124","1","","0","bgm_MC056","5124000","1012401","1"
"5126","1","","0","bgm_MC063","5126000","1012601","1"
"5128","1","","0","bgm_MC075","5128000","1012801","1"
"5130","1","","0","bgm_MC082","5130000","1013001","1"
"5132","1","","0","bgm_MC091","5132000","1013201","1"
"5134","1","","0","bgm_MC099","5134000","1013401","1"
"5136","1","","0","bgm_MC110","5136000","1013601","1"
"5140","1","","0","bgm_MC124","5140000","1014001","1"
"5142","1","","0","bgm_MC136","5142000","1014201","1"
"5144","1","","0","bgm_MC143","5144000","1014401","1"
"5146","1","","0","bgm_MC147","5146000","1014601","1"
"5148","1","","0","bgm_MC156","5148000","1014801","1"
"5150","1","","0","bgm_MC162","5150000","1015001","1"
"5152","1","","0","bgm_MC172_TitleCall","5152000","1015201","1"
"5154","1","","0","bgm_MC186","5154000","1015401","1"
"5156","1","","0","bgm_MC194","5156000","1015601","1"
"5158","1","","0","bgm_MC213","5158000","1015801","1"
"5160","1","","0","bgm_MC215B","5160000","1016001","1"
"1801","1","","1","","1801003","180100301","1"
"1802","1","","1","","1802003","180200301","1"
"1803","1","","1","","1803003","180300301","1"
"1804","1","","1","","1804003","180400301","1"
"1805","1","","0","","1805003","180500301","1"
"1806","1","","1","","1806003","180600301","1"
"1812","1","","1","","1812003","181200301","1"
"2000","0","amb_adv_mystery_01","0","","2000001","200000101","1"
"2000","0","","0","bgm_M38","2000001","200000102","1"
"2000","0","","0","bgm_M38","2000001","200000103","1"
"2000","1","","1","","2000002","200000201","1"
"2000","1","","1","","2000002","200000280","1"
"2001","1","","1","bgm_M12_emt01_001","2001001","200100101","1"
"2001","1","","1","","2001002","200100201","1"
"2001","1","","1","bgm_M13","2001003","200100301","1"
"2001","1","","1","bgm_M43","2001004","200100401","1"
"2001","1","","1","","2001005","200100501","1"
"2001","1","","1","","2001005","200100580","1"
"2001","1","","0","","2001005","200100581","1"
"2002","1","amb_adv_room_noise_01","1","","2002001","200200101","1"
"2002","1","","1","bgm_M23_emt02_002","2002002","200200201","1"
"2002","1","amb_adv_wind_01","1","bgm_M23_emt02_003","2002003","200200301","1"
"2002","1","","1","bgm_M22_emt02_004","2002004","200200401","1"
"2002","1","","1","bgm_M23_emt02_005","2002005","200200501","1"
"2002","1","","1","","2002005","200200580","1"
"2002","1","","0","","2002005","200200581","1"
"2003","1","","1","bgm_M35_emt03_001","2003001","200300101","1"
"2003","1","amb_adv_room_noise_night_01","1","bgm_M19","2003002","200300201","1"
"2003","1","","1","","2003004","200300401","1"
"2003","1","amb_adv_outdoors_night_02","1","","2003005","200300501","1"
"2003","1","","1","","2003005","200300580","1"
"2003","1","","0","","2003005","200300581","1"
"2004","1","","1","bgm_M17_emt04_002","2004002","200400201","1"
"2004","1","amb_adv_outdoors_day_01","1","bgm_M17_emt04_003","2004003","200400301","1"
"2004","1","","1","bgm_M63_emt04_004","2004004","200400401","1"
"2004","1","","1","bgm_M24_emt04_005","2004005","200400501","1"
"2004","1","","1","","2004005","200400580","1"
"2004","1","","0","","2004005","200400581","1"
"2005","1","amb_adv_prison_01","1","bgm_M50","2005003","200500301","1"
"2005","1","amb_adv_between_the_kings_01","1","bgm_M49_emt05_004","2005004","200500401","1"
"2005","1","","1","","2005005","200500501","1"
"2005","1","amb_adv_wind_04","1","bgm_M34_emt05_006","2005006","200500601","1"
"2005","1","amb_adv_wind_04","1","bgm_M49_emt05_006","2005006","200500602","1"
"2005","1","","1","","2005006","200500603","1"
"2005","1","","1","","2005006","200500680","1"
"2005","1","","0","","2005006","200500681","1"
"2006","1","","1","bgm_M105_emt06_002","2006002","200600201","1"
"2006","1","amb_adv_room_noise_night_01","1","","2006002","200600202","1"
"2006","1","amb_adv_outdoors_day_01","1","bgm_M55_emt06_006","2006006","200600601","1"
"2006","1","amb_adv_prison_01","1","bgm_M24_emt06_013","2006013","200601301","1"
"2006","1","","1","","2006013","200601380","1"
"2006","1","","0","","2006013","200601381","1"
"2007","1","amb_adv_forest_01","1","bgm_M34_emt07_001","2007001","200700101","1"
"2007","1","amb_adv_town_day_01","1","bgm_M34_emt07_004","2007004","200700401","1"
"2007","1","","1","","2007010","200701001","1"
"2007","1","","1","bgm_M93_emt07_010","2007010","200701002","1"
"2007","1","","1","bgm_M57_emt07_011","2007011","200701101","1"
"2007","1","","1","","2007012","200701201","1"
"2007","1","","1","","2007013","200701380","1"
"2007","1","","0","","2007013","200701381","1"
"2008","1","","1","bgm_M05_emt08_001","2008001","200800101","1"
"2008","1","amb_adv_room_noise_01","1","bgm_M15_emt08_006","2008006","200800601","1"
"2008","1","","1","","2008007","200800701","1"
"2008","1","","1","","2008012","200801201","1"
"2008","1","","1","","2008015","200801502","1"
"2008","1","","1","","2008015","200801580","1"
"2008","1","","0","","2008015","200801581","1"
"2009","1","","1","","2009002","200900201","1"
"2009","1","","1","bgm_M177_emt09_005","2009005","200900501","1"
"2009","1","","1","","2009009","200900901","1"
"2009","1","","1","bgm_M60_emt09_011","2009011","200901101","1"
"2009","1","","1","","2009013","200901380","1"
"2009","1","","0","","2009013","200901381","1"
"2009","1","","1","bgm_M188_emt10_00","2009099","200909901","1"
"2010","1","","1","bgm_M201_emt10_001","2010001","201000101","1"
"2010","1","","1","bgm_M204_emt10_004","2010004","201000401","1"
"2010","1","","1","","2010006","201000601","1"
"2010","1","","1","","2010008","201000801","1"
"2010","1","","1","","2010008","201000880","1"
"2010","1","","0","","2010008","201000881","1"
"2011","1","","1","bgm_M211_emt11_001","2011001","201100101","1"
"2011","1","","1","bgm_M234_emt11_003","2011003","201100301","1"
"2011","1","","1","bgm_M95_emt11_007","2011007","201100701","1"
"2011","1","","1","","2011008","201100801","1"
"2011","1","","1","","2011008","201100880","1"
"2011","1","","0","","2011008","201100881","1"
"2012","1","","1","bgm_M131_emt12_003","2012003","201200301","1"
"2012","1","","1","bgm_M109_emt12_007","2012007","201200701","1"
"2012","1","","1","bgm_M241_emt12_010","2012010","201201001","1"
"2012","1","","0","bgm_M242_emt12_015","2012015","201201501","1"
"2012","1","","1","","2012015","201201580","1"
"2012","1","","0","","2012015","201201581","1"
"2013","1","","1","bgm_M177_emt13_004","2013004","201300401","1"
"2013","1","","1","bgm_M209_NoChorus_emt13_010","2013010","201301001","1"
"2013","1","","1","bgm_M55_emt13_015","2013015","201301501","1"
"2013","1","","1","","2013016","201301680","1"
"2013","1","","0","","2013016","201301681","1"
"2014","1","","1","","2014001","201400101","1"
"2014","1","","1","","2014004","201400401","1"
"2014","1","","1","bgm_M231_emt14_008","2014008","201400801","1"
"2014","1","","1","","2014009","201400901","1"
"2014","1","","1","","2014009","201400980","1"
"2014","1","","0","","2014009","201400981","1"
"2015","1","","1","","2015003","201500301","1"
"2015","1","","1","bgm_M307_emt015_005","2015005","201500501","1"
"2015","1","","1","","2015005","201500502","1"
"2015","1","","1","bgm_M300_emt015_006","2015006","201500601","1"
"2015","1","","1","","2015009","201500980","1"
"2015","1","","0","","2015009","201500981","1"
"2101","1","","1","","2101001","210100101","1"
"2101","1","","1","","2101001","210100102","0.6"
"2101","1","","0","","2101003","210100301","1"
"2101","1","","1","","2101013","210101301","1"
"2101","1","","1","","2101014","210101401","1"
"2101","1","","1","","2101014","210101480","0.6"
"2101","1","","0","","2101014","210101481","1"
"2102","1","","1","bgm_M12_pt02_emt02_001","2102001","210200101","1"
"2102","1","","1","","2102005","210200501","1"
"2102","1","","1","","2102010","210201001","1"
"2102","1","","1","","2102011","210201101","1"
"2102","1","","1","","2102011","210201180","0.3"
"2102","1","","0","","2102011","210201181","1"
"2103","1","","1","","2103001","210300101","1"
"2103","1","","1","","2103012","210301201","1"
"2103","1","","1","","2103013","210301301","1"
