6d929391f340718719720516e8cb567ff148c1dd64d760d101125cc7c9692a0d,ca4e4d36e6f9062a0ee17ff0425b6f048629d8b2f02cc15adc8d31e93608bfaf,fd9e1e13dfde8d4f4105bb87ed967e0f681952e81593571b26f1f0d5cea6f963,9061940dd02854062dccfbd05bfa6d7288c3165301f338b34a012e94ce6a54d5,570b03b4c127a87da6c34585524ae8b574ee25bcbbda6d95b9a44ac6abd0d773,8ff54253d8bdcac5f07058fcddb227a972b03f91f8f4f5bf177227c0d2103bee,7cd1fc0cbd0d41e7339175a9496bf222f797f9d0b5974db15d1b824577a577fe,b41b028b9f70bec0aab4e7b2de0149a306e6272347e7427ff5b425394791b9a5
"-401","-90","182","71","1","170","1","1"
"-401","-90","182","81","1","170","2","2"
"-255","90","182","121","1","255","3","3"
"-255","90","182","131","1","255","4","4"
"-255","90","182","141","1","255","5","5"
"-107","-80","176","191","1","229","6","6"
"-107","-80","176","201","1","229","7","7"
"136","-85","151","271","1","218","8","8"
"136","-85","151","281","1","218","9","9"
"136","-85","151","291","1","218","10","10"
"280","80","219","331","1","156","11","11"
"280","80","219","341","1","156","12","12"
"280","80","219","351","1","156","13","13"
"417","-97","183","401","1","213","14","14"
"417","-97","183","411","1","213","15","15"
"-259","-73","229","451","2","242","2","1"
"-222","124","179","481","2","226","4","2"
"-101","-67","192","501","2","219","6","3"
"-26","-27","190","521","2","168","8","4"
"117","-50","260","551","2","192","11","5"
"241","120","138","601","2","159","14","6"
"241","120","138","611","2","159","14","7"
"243","-71","229","621","2","224","14","8"
"-353","32","43","781","3","71","1","1"
"-228","-30","268","801","3","235","2","2"
"-243","144","45","831","3","80","3","3"
"20","-76","225","851","3","221","4","4"
"230","-74","222","861","3","211","5","5"
"-100","44","136","891","3","115","6","6"
"-100","44","136","901","3","115","7","7"
"116","76","250","991","3","306","8","8"
"116","76","250","1001","3","306","9","9"
"116","76","250","1011","3","306","10","10"
"322","40","188","1041","3","96","11","11"
"322","40","188","1051","3","96","12","12"
"-211","-6","272","1091","4","294","1","1"
"-288","129","115","1101","4","92","2","2"
"-288","129","115","1111","4","92","3","3"
"-58","128","174","1121","4","135","4","4"
"143","133","184","1151","4","222","5","5"
"-277","-129","98","1161","4","134","6","6"
"-277","-129","98","1171","4","134","7","7"
"-60","-12","70","1211","4","67","8","8"
"-60","-12","70","1221","4","67","9","9"
"116","-55","185","1231","4","132","10","10"
"-17","-103","89","1261","4","93","11","11"
"-17","-103","89","1271","4","93","12","12"
"232","23","239","1311","4","150","13","13"
"-289","-161","72","1391","5","114","1","1"
"-289","-161","72","1401","5","114","2","2"
"-261","80","248","1411","5","228","3","3"
"-103","-91","211","1431","5","223","4","4"
"-87","95","181","1471","5","186","5","5"
"69","-122","176","1551","5","132","6","6"
"69","-122","176","1561","5","132","7","7"
"54","91","184","1611","5","143","8","8"
"204","45","247","1641","5","211","9","9"
"308","141","167","1651","5","137","10","10"
"282","-46","174","1661","5","175","11","11"
"-252","-11","240","1741","6","222","1","1"
"-19","-96","245","1761","6","311","2","2"
"-46","95","221","1771","6","261","3","3"
"152","83","237","1781","6","166","4","4"
"227","-100","229","1782","6","183","5","5"
"-249","-46","183","1811","7","223","1","1"
"-159","54","247","1881","7","337","2","2"
"30","-70","191","1921","7","202","3","3"
"173","0","215","1941","7","176","4","4"
"292","77","236","1981","7","204","5","5"
"-472","89","254","2001","8","209","1","1"
"-375","-77","282","2031","8","250","2","2"
"-280","110","223","2051","8","241","3","3"
"-148","-85","270","2101","8","243","4","4"
"3","74","264","2131","8","274","5","5"
"155","-36","302","2171","8","321","6","6"
"283","82","277","2201","8","199","7","7"
"374","0","344","2271","8","349","8","8"
"-275","-30","301","2321","9","240","1","1"
"-132","-115","108","2361","9","106","2","2"
"-132","-115","108","2371","9","106","3","3"
"-73","32","246","2381","9","202","4","4"
"-43","-140","84","2411","9","114","5","5"
"-43","-140","84","2421","9","114","6","6"
"50","65","84","2461","9","86","8","7"
"50","65","84","2471","9","86","9","8"
"80","-110","137","2481","9","185","10","9"
"80","-110","137","2491","9","185","11","10"
"131","24","377","2521","9","301","7","11"
"280","-50","305","2531","9","190","12","12"
"-527","-137","145","2601","10","123","3","1"
