944798d5056873d52fdb8b733603acd2d2a4c6651fefa1d19f3e7cee43765d00,f244719e68b0c04e5eccfb5d19bf0d9caf4992db0c931ef186d666987e450bd5,13e8875d077951ae0f1ac6bbe4aea3fbeb9de0e9ede83a6355e14086e3baaea8,407d60dff64de4d9cbab0638e3b3cec3b4bbf2b98fdc44d1ac294ff761f1ec45,1d606c3225c637485bab265ff7ec72fa0b92a0fc17713d47200761ca176ec24e,1fbe55ea7361fa96a7702399e92dbe4a6aec74c75efcfec11f89d161c16d3cda,2aa99c0496ec11ad6cde67774901c3593c37025062837f3d549a5d745ab2c309,674c3370fbdd021c71cd7e03783dbbe1161052414f37572c71d2d9234234bc12,274fbca4260cf602da2844bcde39ee29ff52611b8665fa04cb5b5b3a977dc189,91c56c3ccb0e0f7f2c6c496b06e4c15489884de9ac49e415262b93617499b871,da32ddea3c03cfd39da0e28f4022d5b5284f7548f34816b081c0070ef80517ab,42f70cb39b24e7dc80bb379fa7d8e9d443b2b39a477c47e0771bda40ac92ac7a,948cdc4dc06d7335d83af5ddbc9c29ff487a8eea44d169959debe2bc6068d877,7648eac142897eed995c9213306c60710c68ba4a3f8204b586da8242c174a09a,35770365a073e03ccbd5377152d20342b127f01ac1240375276f65df97e9ee84,01fc4f08f8b752554173b68df5852197e9a96a145bd9b18cf78a9b4f1a69ac3e
"0","0","0","0","2","75","0","62001","0","0","0","0","0","111001","0","0"
"0","0","0","0","8","30","0","91002","0","0","0","0","0","111011","0","0"
"0","0","90005","5","8","30","0","91002","0","0","0","0","0","111012","0","2"
"0","0","0","0","2","150","0","62001","0","0","0","0","0","112001","0","0"
"0","0","90005","10","8","60","0","91002","0","0","0","0","0","112011","0","2"
"0","2","62001","400","8","200","23001","91002","90005","50","0","0","2","113001","10","2"
"0","2","62001","400","8","100","23001","91002","90005","50","0","0","2","113002","10","2"
"0","0","62001","200","8","100","0","91002","140001","0","0","0","4","113003","30","2"
"0","2","62001","500","8","200","25021","91002","90005","500","0","0","2","114001","10","2"
"0","2","62001","500","8","100","25021","91002","90005","500","0","0","2","114002","10","2"
"0","2","62001","300","8","100","25021","91002","90005","500","0","0","2","114003","10","2"
"0","0","0","0","8","500","0","91002","0","0","0","0","0","115001","0","0"
"0","2","62001","400","8","500","25204","91002","90005","20","0","0","2","115003","10","2"
"0","0","0","0","2","100","0","62001","0","0","0","0","0","211001","0","0"
"0","0","0","0","8","30","0","91002","0","0","0","0","0","211011","0","0"
"0","0","0","0","2","150","0","62001","0","0","0","0","0","212001","0","0"
"0","0","90005","10","8","60","0","91002","0","0","0","0","0","212011","0","2"
"0","0","62001","200","8","100","0","91002","140001","0","0","0","4","213001","30","2"
"25202","2","62001","300","8","100","25204","91002","25021","10","20","2","2","214001","500","2"
