fe0e880d30d8714255003d69dc663698ed9869948a821c2b048e9b77fb303549,97f7ef96e7e9342eaab70597af8723cd4369b8210c242894de2ea917df829a01,2a2929a294380ee6acbe86ce1709a195189e8ffe10b49823ac2afbf81d4dd227,ef238b789f374a16e4bb90da1f11b9260305744a0c8c2eaf2224c8fcb9ec1066,6d1624cb63971c57d67b934877ad7aaf5b4bb98c1f2129b0560c56a3165f81f9,077dad1e369ed080dec7ec68fd6b43564a4da11b7ad6e7e3e46fb42b9343354e,17dda3e31be53ca31a3db17a5f361b339e7bbff751a96233dedf07fa13213951,7b46860ccfb0e799790c83fc54c4bce34b8be4adf39f2ccbebca768c73d9beb3,8d02938126bfae1fdaa5b08ac0153ae341f8efc1cf7ba34afe5e0271d7855b2e,d5ee0af904e879a1dbe99b5f620da2a1a002070cfc3e2f91613af649e78dc795,9136a5c4309e15b405bc7eaf0119040a8319fd5e98ae5decc18c9624e2ec59b5,803dcb141e9d412f2fcd949bbf2d399d93cf86312c24fb186035b2e14b47b43e,294c38ca0a6a984bcfd33f5e6e6834930684908b5564b5f37dec034bf61562f0
"bgm_M33","1","380000","bgm_M33","0","1","2018/08/24 16:00:00","10001","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M99","2","380000","bgm_M99","0","1","2018/10/01 16:00:00","10002","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M107","3","380000","bgm_M107","0","1","2018/10/30 16:00:00","10003","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M113","4","380000","bgm_M113","0","1","2018/11/29 16:00:00","10004","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M121","5","380000","bgm_M121","0","1","2019/01/01 16:00:00","10005","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M128","6","380000","bgm_M128","0","1","2019/01/30 16:00:00","10006","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M135","7","380000","bgm_M135","0","1","2019/03/04 16:00:00","10007","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M162","8","380000","bgm_M162","0","1","2019/04/01 16:00:00","10008","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M171","9","380000","bgm_M171","0","1","2019/04/30 16:00:00","10009","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M182","10","380000","bgm_M182","0","1","2019/05/31 16:00:00","10010","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M189","11","380000","bgm_M189","0","1","2019/06/28 16:00:00","10011","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M206","12","380000","bgm_M206","0","1","2019/07/15 16:00:00","10012","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M215","13","380000","bgm_M215","0","1","2019/07/30 16:00:00","10013","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M33","14","380000","bgm_M33","0","1","2019/08/15 16:00:00","10014","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M223","15","380000","bgm_M223","0","1","2019/08/30 16:00:00","10015","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M99","16","380000","bgm_M99","0","1","2019/09/15 16:00:00","10016","0","0","0","380000","2030/03/26 14:59:00"
"","17","380000","","0","1","2019/09/27 16:00:00","10017","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M107","18","380000","bgm_M107","0","1","2019/10/15 16:00:00","10018","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M237","19","380000","bgm_M237","0","1","2019/10/30 16:00:00","10019","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M113","20","380000","bgm_M113","0","1","2019/11/15 16:00:00","10020","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M245","21","380000","bgm_M245","0","1","2019/11/29 16:00:00","10021","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M121","22","380000","bgm_M121","0","1","2019/12/15 16:00:00","10022","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M254","23","380000","bgm_M254","0","1","2019/12/31 16:00:00","10023","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M128","24","380000","bgm_M128","0","1","2020/01/14 16:00:00","10024","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M265_Top","25","380000","bgm_M265","0","1","2020/01/31 16:00:00","10025","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M135","26","380000","bgm_M135","0","1","2020/02/14 16:00:00","10026","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M273","27","380000","bgm_M273","0","1","2020/02/27 16:00:00","10027","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M162","28","380000","bgm_M162","0","1","2020/03/13 16:00:00","10028","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M281","29","380000","bgm_M281","0","1","2020/03/30 16:00:00","10029","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M171","30","380000","bgm_M171","0","1","2020/04/13 16:00:00","10030","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M294","31","380000","bgm_M294","0","1","2020/04/30 16:00:00","10031","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M182","32","380000","bgm_M182","0","1","2020/05/15 16:00:00","10032","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M316","33","380000","bgm_M316","0","1","2020/06/01 16:00:00","10033","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M189","34","380000","bgm_M189","0","1","2020/06/15 16:00:00","10034","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M330","35","380000","bgm_M330","0","1","2020/09/28 16:00:00","10035","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M330","36","380000","bgm_M330","0","1","2020/09/28 16:00:00","10036","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M206","37","380000","bgm_M206","0","1","2020/08/14 16:00:00","10037","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M343","38","380000","bgm_M343","0","1","2020/06/29 16:00:00","10038","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M215","39","380000","bgm_M215","0","1","2020/07/13 16:00:00","10039","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M351","40","380000","bgm_M351","0","1","2020/07/31 16:00:00","10040","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M223","41","380000","bgm_M223","0","1","2020/09/18 16:00:00","10041","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M375","42","380000","bgm_M375","0","1","2020/09/01 16:00:00","10042","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M237","43","380000","bgm_M237","0","1","2020/10/19 18:00:00","10043","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M380A","44","380000","bgm_M380A","0","1","2020/11/02 16:00:00","10044","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M393","45","380000","bgm_M393","0","1","2020/12/04 16:00:00","10046","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M254","47","380000","bgm_M254","0","1","2020/12/18 16:00:00","10047","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M403","48","380000","bgm_M403","0","1","2020/12/28 16:00:00","10048","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M265_Top","49","380000","bgm_M265","0","1","2021/01/18 16:00:00","10049","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M413","50","380000","bgm_M413","0","1","2021/02/01 16:00:00","10050","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M421","52","380000","bgm_M421","0","1","2021/03/02 16:00:00","10052","0","0","0","380000","2030/03/26 14:59:00"
"0","53","380000","0","0","1","2021/04/16 16:00:00","10053","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M426","54","380000","bgm_M426","0","1","2021/04/01 16:00:00","10054","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M435","56","380000","bgm_M435","0","1","2021/05/04 16:00:00","10056","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M442A","58","380000","bgm_M442A","0","1","2021/06/02 16:00:00","10058","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M442B","59","380000","bgm_M442B","0","1","2021/06/12 16:00:00","10059","0","0","0","380000","2030/03/26 14:59:00"
"bgm_M451","61","380000","bgm_M451","0","1","2021/07/05 16:00:00","10061","0","0","0","380000","2030/03/26 14:59:00"
