f51014ba05aaca14419837d1d4fbf0746dc2a1b3aa9a174f538f57941b4886c5,6ca067b9bb5b3bc0e35d2861c8a8994e461321726256e0f3faf715e69acb3c3b,6ef98ebe407f059e8e4ee358e18d3adb8086d2a23419b55930effc7a4080912a,0281810eb963368132ac26878c04f227ca1adbc7051060707eb3e16296abaf0d,172be93df93388f75f8edf61ca380845fe218ec479ca583d774699cd0333daae,d716b982fbcf76149670b279e0420a5f2a320725c47ef9304a04a38d407af975,bc07b33a6430eb90d8b62c9ded84866cd5397f382ca644f7258d38090792db99,0c0e2d78213e47e974bc059e6109c36c61469aa87351ad94f5470645c5dcb810,662584aefaddbe18a20717a872ddb9d9614c600199004fa392774a2deccd6578,ab95655f4ee1a014bea47c1732671414dbf6685bb3dbd6e1d4311bdad01f7eaa,eff2e4b6f7aedf355ad20eacbd4cd76832a08f9332c0166c28b5a86d550dee1b
"1","0","0","0","30001","0","2015/04/01 15:00:00","380000","2018/08/08 15:59:59","1","380000"
"2","0","0","0","30002","0","2018/08/08 16:00:00","380000","2018/08/20 15:59:59","1","380000"
"3","0","0","0","30003","0","2018/08/20 16:00:00","380000","2018/08/31 15:59:59","1","380000"
"4","0","0","0","30004","0","2018/08/31 16:00:00","380000","2018/09/14 15:59:59","1","380000"
"5","0","0","0","30005","0","2018/09/14 16:00:00","380000","2018/09/21 15:59:59","1","380000"
"6","0","0","0","30006","0","2018/09/21 16:00:00","380000","2018/10/09 15:59:59","1","380000"
"7","0","0","0","30007","0","2018/10/09 16:00:00","380000","2018/10/22 15:59:59","1","380000"
"8","0","0","0","30008","0","2018/10/22 16:00:00","380000","2018/11/08 15:59:59","1","380000"
"9","0","0","0","30009","0","2018/11/08 16:00:00","380000","2018/11/15 15:59:59","1","380000"
"10","0","0","0","30010","0","2018/11/15 16:00:00","380000","2018/11/30 15:59:59","1","380000"
"11","0","0","0","30011","0","2018/11/30 16:00:00","380000","2018/12/13 15:59:59","1","380000"
