172e1102527aefcd82f5778fbd2df5c66c3d2c13778ff5fbb2a0eb8d3d518489,d8f92e0919f47f3cf990649eb0491873662dd0bea0c15c15eb7d2059eb9e6641,588e88a763abc404e08d5c37dfc047e50dca678e1af44d4bd4707e81c7b94bae,bf061e2c02ba74a52019208a11cf226e8fd905c7f275c8c149be09551a3de176,fe82dce5bf557167da7d22dbf324fb444f56eeee2e658d919ab8b077bf756c8d,8c33f1b9f204ea8b45e8b7ebdb6ed4b79326350547df2ad8e9111bd6e246a0ba,befa9fcd843416e5d2fc9c048610d38bf76bf14e2455f28fbeca97afdf0fb1be,2d297b6804fb8d1766d27d4677ba264b0a06eb6c1b7c53dee5eddc359ea332a5,973066e07089532fda5f661bf6e66b69cd4c97d91697802a4f8d071e7d511637
"11","0","1","0.7","502001102","1","320010106","1","43.5"
"67","0","2","0.65","502001103","2","320010106","3","13"
"49","0","3","0.65","0","3","320010106","2","-74"
"13","0","1","0.7","502001108","4","320010107","1","-49"
"62","0","2","0.85","502001109","5","320010107","3","-4"
"50","0","3","0.65","0","6","320010107","2","59"
"-10","0","1","1.05","0","7","320010108","1","0"
"-10","0","1","1.05","0","8","320010109","1","-15"
"-45","0","1","0.43","0","9","320010110","1","-85"
"-45","0","2","0.43","0","10","320010110","2","85"
"11","0","1","0.7","502001202","11","320010206","1","43.5"
"67","0","2","0.65","502001203","12","320010206","3","13"
"49","0","3","0.65","0","13","320010206","2","-74"
"13","0","1","0.7","502001208","14","320010207","1","-49"
"62","0","2","0.85","502001209","15","320010207","3","-4"
"50","0","3","0.65","0","16","320010207","2","59"
"-10","0","1","1.05","0","17","320010208","1","0"
"-10","0","1","1.05","0","18","320010209","1","-15"
"-45","0","1","0.43","0","19","320010210","1","-85"
"-45","0","2","0.43","0","20","320010210","2","85"
"11","0","1","0.7","502001302","21","320010306","1","43.5"
"67","0","2","0.65","502001303","22","320010306","3","13"
"49","0","3","0.65","0","23","320010306","2","-74"
"13","0","1","0.7","502001308","24","320010307","1","-49"
"62","0","2","0.85","502001309","25","320010307","3","-4"
"50","0","3","0.65","0","26","320010307","2","59"
"-10","0","1","1.05","0","27","320010308","1","0"
"-10","0","1","1.05","0","28","320010309","1","-15"
"-45","0","1","0.43","0","29","320010310","1","-85"
"-45","0","2","0.43","0","30","320010310","2","85"
"11","0","1","0.7","502001402","31","320010406","1","43.5"
"67","0","2","0.65","502001403","32","320010406","3","13"
"49","0","3","0.65","0","33","320010406","2","-74"
"13","0","1","0.7","502001408","34","320010407","1","-49"
"62","0","2","0.85","502001409","35","320010407","3","-4"
"50","0","3","0.65","0","36","320010407","2","59"
"-10","0","1","1.05","0","37","320010408","1","0"
"-10","0","1","1.05","0","38","320010409","1","-15"
"-45","0","1","0.43","0","39","320010410","1","-85"
"-45","0","2","0.43","0","40","320010410","2","85"
"11","0","1","0.7","502001502","41","320010506","1","43.5"
"67","0","2","0.65","502001503","42","320010506","3","13"
"49","0","3","0.65","0","43","320010506","2","-74"
"13","0","1","0.7","502001508","44","320010507","1","-49"
"62","0","2","0.85","502001509","45","320010507","3","-4"
"50","0","3","0.65","0","46","320010507","2","59"
"-10","0","1","1.05","0","47","320010508","1","0"
"-10","0","1","1.05","0","48","320010509","1","-15"
"-45","0","1","0.43","0","49","320010510","1","-85"
"-45","0","2","0.43","0","50","320010510","2","85"
"11","0","1","0.7","502002102","51","320020106","1","43.5"
"67","0","2","0.65","502002103","52","320020106","3","13"
"49","0","3","0.65","0","53","320020106","2","-74"
"13","0","1","0.7","502002108","54","320020107","1","-49"
"62","0","2","0.85","502002109","55","320020107","3","-4"
"50","0","3","0.65","0","56","320020107","2","59"
"-10","0","1","1.05","0","57","320020108","1","0"
"-10","0","1","1.05","0","58","320020109","1","-15"
"-45","0","1","0.43","0","59","320020110","1","-85"
"-45","0","2","0.43","0","60","320020110","2","85"
"11","0","1","0.7","502002202","61","320020206","1","43.5"
"67","0","2","0.65","502002203","62","320020206","3","13"
