adb21d09c6329e72967a5fc2cbb411d99f8a92b09b955a2afc8147d85195bcee,d7e4ccb8a4731f2e24ed85c4427ad0ee84976afc051a88cbebae8b6932b0d6f2,34530bb3a7f0ed058d8417c829ec1f2acfee15485361749b29b9f77632cb177d,af658d87e5e48a6e5b0ae5d78a5f71c8da0c8a771edef09ab10ff8f0c93e555d,f35adb4e0463ca29963b8b44a882ca097f0f2f34b9fb410c878d66854d6f728a,6d7e5dae6eb160d9ad7725ea1ea2c1e4efded20ed5dcabe34106fced37bbee41,c6f6f821de83e331c5da7374adf63e0bcb1f86495696200ad75de82060e44243,ecf4f5030c0576b168abb73fafbf9a6b21e096521b48c5d2066d2560ece09184,92a9a0968a0844f790537e7782739f4a242b79fb4281e86f676db902f71a4368,edd230b756912ad62b9bc17fd6f76edb7549f9dff8717496a7a5621f007af82b,f618a76132abe8eb82732da8dbfd9a08ade0a86e119c39c2ddc7b30d1bb32fa4
"-194","118511","100","1","1","1.65","1001","1","taq_karin_idle","1","72"
"","vo_minigame_1009_top_001","0","1","vo_minigame_1009","","1002","","","21","0"
"0","有準備獎品喔，\n請好好加油吧♪\n","8","1","118511","0","1003","0","0","11","0"
"","taq_karin_talk_normal","1","1","118511","0.2","1004","","","3",""
"","","","1","1003","","1005","","","91",""
"","taq_karin_idle","1","1","118511","0.2","1006","","","3",""
"-194","118511","100","2","1","1.65","2001","1","taq_karin_idle","1","72"
"","vo_minigame_1009_top_002","0","2","vo_minigame_1009","","2002","","","21","0"
"0","這會考驗\n大家的知職喔。","8","2","118511","0","2003","0","0","11","0"
"","taq_karin_talk_thinking","1","2","118511","0.2","2004","","","3",""
"","","","2","2003","","2005","","","91",""
"","taq_karin_idle","1","2","118511","0.2","2006","","","3",""
"-194","118511","100","3","1","1.65","3001","1","taq_karin_idle","1","72"
"","vo_minigame_1009_top_003","0","3","vo_minigame_1009","","3002","","","21","0"
"0","這世上還有很多\n我們不知道的事。\n","8","3","118511","0","3003","0","0","11","0"
"","taq_karin_talk_surprise","1","3","118511","0.2","3004","","","3",""
"","","","3","3003","","3005","","","91",""
"","taq_karin_idle","1","3","118511","0.2","3006","","","3",""
"-194","118511","100","4","1","1.65","4001","1","taq_karin_idle","1","72"
"","vo_minigame_1009_top_004","0","4","vo_minigame_1009","","4002","","","21","0"
"0","不曉得答案時\n可以試著憑直覺。\n","8","4","118511","0","4003","0","0","11","0"
"","taq_karin_talk_normal2","1","4","118511","0.2","4004","","","3",""
"","","","4","4003","","4005","","","91",""
"","taq_karin_idle","1","4","118511","0.2","4006","","","3",""
"-194","118511","100","5","1","1.65","5001","1","taq_karin_idle","1","72"
"","vo_minigame_1009_top_005","0","5","vo_minigame_1009","","5002","","","21","0"
"0","大家齊心協力\n朝向全題答對\n努力吧♪","7","5","118511","0","5003","0","0","11","0"
"","taq_karin_talk_joy3","1","5","118511","0.2","5004","","","3",""
"","","","5","5003","","5005","","","91",""
"","taq_karin_idle","1","5","118511","0.2","5006","","","3",""
