dcd97003a5055c26dc06c50b27b18e603ac88d070060ff0eb6a5adeb8939e32c,cda077d3a80e941c1773496538088774354c86518cd2c114ac73a5f0b9572274,31e9535ecc7329f0018f7ca9b03cf116feb5dced48cf0af822d10a7a81374d78,f20b20e2b164453e29a39dd5426f9ee5630fd8633b99c3952b6b23ae119e5520,eee29ecee4c54c0b689dc228c9e7c187557af073bfcc645230ec63a6b43d41ed,9feafa68f188d5287438779368bddac4421142f1b26336d4fc1cf13a3c7d0fef,60ae69e164c5624751c3e4d44bd28145996825e6c175096055558e51a3e69ded,bac825372bbf4e1332fcd69cd6775164107e05ebcc4470df56e96b728d6470a4,419151c7f72181b7aa522b0c45b89a267b00c158b55c8f415dafd01b34f69f4c,310a43136c365a9f43eeab811f02b24e645a3e532d0e5bb93f9de3d1ac80431d,2566dc7bc6976d0a91dcb3177f3c80e02cf034747b6259f13885944f28343345
"10000101","1000","10","進行1場戰鬥","7000","0","0","1","10000101","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000102","1000","10","進行5場戰鬥","7000","0","0","5","10000102","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000103","1000","10","進行10場戰鬥","7000","0","0","10","10000103","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000104","1000","10","進行15場戰鬥","7000","0","0","15","10000104","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000105","1000","10","進行20場戰鬥","7000","0","0","20","10000105","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000106","1000","10","進行25場戰鬥","7000","0","0","25","10000106","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000107","1000","10","進行30場戰鬥","7000","0","0","30","10000107","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000108","1000","10","進行35場戰鬥","7000","0","0","35","10000108","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10000109","1000","10","進行40場戰鬥","7000","0","0","40","10000109","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10050501","1005","50","對美空造成300萬累積傷害","7001","1005","0","3000000","10050501","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10050502","1005","50","對美空造成900萬累積傷害","7001","1005","0","9000000","10050502","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10050503","1005","50","對美空造成1500萬累積傷害","7001","1005","0","15000000","10050503","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10050511","1005","51","在1場戰鬥中對美空造成100萬傷害","7002","1005","1000000","1","10050511","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10050512","1005","51","在1場戰鬥中對美空造成300萬傷害","7002","1005","3000000","1","10050512","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10060601","1006","60","對蘭法造成500萬累積傷害","7001","1006","0","5000000","10060601","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10060602","1006","60","對蘭法造成1500萬累積傷害","7001","1006","0","15000000","10060602","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10060603","1006","60","對蘭法造成2400萬累積傷害","7001","1006","0","24000000","10060603","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10060611","1006","61","在1場戰鬥中對蘭法造成200萬傷害","7002","1006","2000000","1","10060611","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10060612","1006","61","在1場戰鬥中對蘭法造成500萬傷害","7002","1006","5000000","1","10060612","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10070701","1007","70","對阿澤爾德造成300萬累積傷害","7001","1007","0","3000000","10070701","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10070702","1007","70","對阿澤爾德造成900萬累積傷害","7001","1007","0","9000000","10070702","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10070703","1007","70","對阿澤爾德造成1500萬累積傷害","7001","1007","0","15000000","10070703","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10070711","1007","71","在1場戰鬥中對阿澤爾德造成100萬傷害","7002","1007","1000000","1","10070711","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10070712","1007","71","在1場戰鬥中對阿澤爾德造成300萬傷害","7002","1007","3000000","1","10070712","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10080801","1008","80","對卡里莎造成500萬累積傷害","7001","1008","0","5000000","10080801","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10080802","1008","80","對卡里莎造成1500萬累積傷害","7001","1008","0","15000000","10080802","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10080803","1008","80","對卡里莎造成2400萬累積傷害","7001","1008","0","24000000","10080803","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10080811","1008","81","在1場戰鬥中對卡里莎造成200萬傷害","7002","1008","2000000","1","10080811","2021/12/17 16:00:00","2021/12/24 15:59:59"
"10080812","1008","81","在1場戰鬥中對卡里莎造成500萬傷害","7002","1008","5000000","1","10080812","2021/12/17 16:00:00","2021/12/24 15:59:59"
