ee905bb12731e6708dc5739279d6a1fb4f2c0a9a84998599779f6b43b9dd0b2c,9e9846c4aae21748d0fc9e9d6337f79c46dad68d9a16b9aae3af03deb2b9a5da,404b5d7245e524d3bbf6623dc7441fce67878036bf2f0ff5c47565271f0681a8,2e4a37b1b79951f41b3c375b7256f9d51bb881bdc46e08a9746306ddb01aec32,f3e3fa65040aa2e57e427304b69f7be69338c4840424bd0f193bedf7aaa052cb,bd94182fba018bc493e574d8594a86ee458d51c584341b96d69be735bf7bc77c,67ecd11d730c1c980a94444f759754b75fce7b02d211a9f4e557400b8d762044,6a0cae2b94470ab295d8cd196cfd861dac64bb284f3e54ea446998ff7c5ba6c8,1d5e489ac95fbd71c0be57abb47dda34c2dd59fee7ff40970e59ceaabc56e241,8cb77a2bb06414804a7dea21d1948cdf6486214b4cd9c1bc82cbcc7afd10a522,46b5dbd638faed00a1d762a1a4eeefe0171133181329cf93168e81825daee272
"","","","1015","","","星","","","",""
"","","","1019","","","愛","衣","白","",""
"","","","1020","綠","","","","","",""
"","","","1021","","","普","","","",""
"","","","1070","","","","","","","K"
"","","","1071","","","短","","","",""
"","","","1079","","","順","","","",""
"","","","1080","","","七八九","","","",""
"","","","1131","","","H","","","",""
"","","","1196","U","","","","U","",""
"","","","1229","","","","跆","","",""
"","","","1242","","","三五七","","","",""
"","一","","1244","","","二","","","",""
"紅","","房","2002","","磚塊","","","","",""
"","蓑","","2011","笠","","","","","",""
"","","","2012","五","","南","","","",""
"","三五八九","","2024","","","","","","",""
"","","","2031","E","","S","","","",""
"","AE","","2032","","","","","","",""
"","","","2033","A","","","","R","",""
"","","","2034","E","","","","I","",""
"","","","2036","UA","","","","R","",""
"","Y","","2037","E","","","","L","","E"
"","I","","2038","E","","","","L","","V"
"","","","2040","L","","","","I","",""
"","","","2041","","","","","A","",""
"","","","2042","","","Y","","","",""
"","","","2043","","","K","","A","",""
"","","","2045","","","","","A","",""
"","","","2046","","","Q","","R","",""
"","","","2047","A","","","","R","",""
"","","","2048","","","KQ","","A","",""
"","","","2049","B","","","","","",""
"","T","","2050","U","","","","A","",""
"","P","","2052","EI","","","","C","",""
"","T","","2053","I","","","","A","",""
"W","S","R","2054","","E","","P","","O",""
"","","","2055","","","","","R","",""
"","","","2056","V","","","","","",""
"","","","2058","","","","","WU","",""
"","","","2059","","","R","","","",""
"","","","2060","","","R","","","",""
"","","","2062","","","","","S","",""
"","S","","2063","A","","","","E","","S"
"R","A","E","2064","","C","","F","A","O",""
"","S","","2065","A","","","","","",""
"","","","2066","","","C","","","",""
"","","","2067","B","","","","","",""
"","","","2068","I","","L","","","",""
"","","","2069","","","C","","E","",""
"","","","2070","E","","","","","","D"
"","I","","2071","A","","","","","","N"
"","A","","2074","","","","","C","",""
"","A","","2077","","","","","A","",""
"","","","2078","L","","","","R","",""
"","G","","2080","E","","O","","MF","","E"
"","","","2081","","","F","","","",""
"無","","","2084","","","","","","",""
"","H","","2085","P","","A","","L","","E"
"","EO","","2086","","","AI","","","",""
"","","","2092","","","P","","","",""
"","","","2093","","","","","C","",""
"","","","2096","","","萬","","","",""
"","華麗","","2101","華","","","","","",""
"","","","2102","","","","","e","",""
"","l","","2149","","","","","","","e"
"","","","2167","","","聖","","誕","",""
"","","","2194","","","佛","布","","萊",""
"加","","","2200","多","","","","耳","",""
"思","","","2237","","","","艾","","莉","游"
"","","","2244","","","","","a","",""
"","","","2278","","","聖","","誕","",""
"華","","美","2279","","美","契","","","鏡",""
"","","智","2280","","栞","","","","",""
"花","","緒","2281","","伊","","","","空",""
"梨","","夜","2282","","嘉","希","","","祈",""
"綾","","","2284","","音","","胡","","桃",""
"","A","","2294","","","E","","","",""
"","B","","2297","","","","","A","",""
"","Y","","2301","A","","","","W","","S"
"","S","","2302","O","","","","M","","T"
"","","","2305","","","","","A","",""
"","I","","2309","","","A","","P","","L"
"","","","3003","","","","","二","",""
"","","","3005","","","","","一三","",""
"","","","3006","","","","","一二","參",""
"","","","3008","","","三十","","","",""
"衣","","","3012","","","","","得","",""
"","","","3093","","","冬","","夜","",""
"","","","3106","","","亞","","","",""
"","","","3180","i","","","","h","",""
"","婆","","3187","多","夫","","","公","妻",""
"","","","3195","","","b","","","",""
"","","","3274","","","座","","再","",""
"","","","3302","","","二三","","","",""
"","鋰鈉銣","","4003","鋰鉀銣","","氧氰","","鈉鉀","","鋰鈉鉀"
"","鍶鐳","","4004","鋇鐳","","鍶鋇","","鍶鐳","","鍶鋇"
"","","","4010","","","","愛衣","","",""
"","","","4013","","","","愛衣","","",""
"","氖氬氙","","4034","氦氖","","氧氬氪","","氬氪氙","","氦氖氬氪"
"","","","4035","","","裴","加","","",""
"","","","4040","","","熱寒","","","",""
"","","","4041","","","熱溫","","","",""
"","E","","4042","N","","","","","",""
"","","","4062","","","","","O","",""
"","乙","","4069","","","乙四","","銷","",""
"","","","4072","","","網","","版","",""
"","大","","4110","","","大","","西","","西"
"","","","4143","二","","","","","",""
"","","","4144","一三","","","","","",""
"","","","4145","一二","","","","","",""
"","","","4153","","","氫","","氧","",""
"","","帶","4154","","","","","","",""
"","","","4157","異","","","","","",""
"","","","4158","","","","","","昇",""
"","","","4159","","","","","","","二三"
"","","","4161","","","","","","","一三"
"","","","4167","同","","","","","",""
"","倍","","4194","","","","","小","",""
"","約","","4195","","","","","大","",""
"底","","","4196","","","","高","","",""
"","","","4197","","","半","","","",""
"","a","","5010","","","","","o","",""
"","","","5013","","","伊","","比","",""
"","鹽","","5027","","司","印","愛","","",""
"","e","","5031","","","","","e","",""
"","e","","5056","","","","","a","",""
"","e","","5070","s","","","","","",""
"","","","5076","","","","","餅","","餅"
"","","","5079","","","上前","","","",""
"","","","5082","","","肩","","","",""
"","","","5098","","","微","","","",""
"","BC","","5102","AB","","大喊","","","","AC"
"","","","5103","","","","","布","",""
"醜","","","5162","","","西","","","",""
"","","","5164","","","固","","定","",""
"","","","5183","","","","","左","",""
"","","","5185","","","","","右","",""
"虎","戌酉子","","5193","戌卯辰","","卯辰戌","","戌酉卯","牛","卯戌子"
"","藍","","6008","","","","","","底","雀"
"e","","","6010","u","","","","u","e",""
"","線","","6012","","","","","","",""
"","","","6013","","","","","面","",""
"","k","","6015","m","","G","","o","",""
"","","","6022","m","","","","o","",""
"","","","6049","","","單二","","","",""
"","","","6073","","","","","","","火"
"","","","6075","巨","","","","","",""
"","a","","6076","","","","","","",""
"","e","","6082","","","","","","",""
"","","","6084","a","","C","","","",""
"","n","","6097","u","","","","","","w"
"","","","6098","出","","","湖","","",""
"與或","","","6135","","依","","茜","莉","","莉"
"","","","6136","","","","","","","喵"
"","霖","","6139","呼","","鈴","","嚕","",""
"得","","","6179","","","","","","",""
